year,fuel_category,total_generation_gwh
2021,biomass,108.57893251987497
2021,coal,18706.888047655062
2021,gas,6527.096078441746
2021,gas-cc,34581.12587548942
2021,hydro,125.92036495149999
2021,nuclear,10067.989290055606
2021,solar,3927.912094331364
2021,wind,23850.429104958013
2022,biomass,156.34140063424968
2022,coal,17878.324529529553
2022,gas,7407.184214218618
2022,gas-cc,38343.00948103934
2022,hydro,85.93261465062501
2022,nuclear,10414.9108094296
2022,solar,6048.257959574883
2022,wind,26817.7249893951
2023,biomass,94.52265052637505
2023,coal,15434.841825030997
2023,gas,9104.638225099483
2023,gas-cc,41002.77541526299
2023,hydro,86.40565394887464
2023,nuclear,10186.98795335906
2023,solar,8100.429326580484
2023,wind,27001.321091872538
2024,biomass,72.56085343562515
2024,coal,14580.137036578984
2024,gas,9958.212590577867
2024,gas-cc,41146.32241585955
2024,hydro,115.19992087762448
2024,nuclear,9684.106597491385
2024,solar,12055.377886405902
2024,wind,27926.076655569912
