hour_timestamp,zone_name,avg_hourly_lmp
2023-01-01 00:00:00,houston,-2.115
2023-01-01 00:00:00,west,-2.085
2023-01-01 01:00:00,houston,-1.1375000000000002
2023-01-01 01:00:00,west,-1.06
2023-01-01 02:00:00,houston,-1.17
2023-01-01 02:00:00,west,-1.1549999999999998
2023-01-01 03:00:00,houston,-0.015
2023-01-01 03:00:00,west,0.0
2023-01-01 04:00:00,houston,-0.8125
2023-01-01 04:00:00,west,-0.8125
2023-01-01 05:00:00,houston,-0.6824999999999999
2023-01-01 05:00:00,west,-0.6824999999999999
2023-01-01 06:00:00,houston,4.5249999999999995
2023-01-01 06:00:00,west,3.1725
2023-01-01 07:00:00,houston,16.79
2023-01-01 07:00:00,west,11.925
2023-01-01 08:00:00,houston,17.145
2023-01-01 08:00:00,west,12.755
2023-01-01 09:00:00,houston,9.9825
2023-01-01 09:00:00,west,8.6325
2023-01-01 10:00:00,houston,22.1925
2023-01-01 10:00:00,west,19.3675
2023-01-01 11:00:00,houston,18.9525
2023-01-01 11:00:00,west,14.2075
2023-01-01 12:00:00,houston,18.515
2023-01-01 12:00:00,west,13.8475
2023-01-01 13:00:00,houston,26.93
2023-01-01 13:00:00,west,20.2925
2023-01-01 14:00:00,houston,29.1875
2023-01-01 14:00:00,west,25.5475
2023-01-01 15:00:00,houston,28.637500000000003
2023-01-01 15:00:00,west,27.3575
2023-01-01 16:00:00,houston,47.457499999999996
2023-01-01 16:00:00,west,42.965
2023-01-01 17:00:00,houston,42.985
2023-01-01 17:00:00,west,35.645
2023-01-01 18:00:00,houston,17.6525
2023-01-01 18:00:00,west,17.65
2023-01-01 19:00:00,houston,5.835
2023-01-01 19:00:00,west,5.825
2023-01-01 20:00:00,houston,9.1375
2023-01-01 20:00:00,west,9.1375
2023-01-01 21:00:00,houston,4.46
2023-01-01 21:00:00,west,4.46
2023-01-01 22:00:00,houston,1.395
2023-01-01 22:00:00,west,1.395
2023-01-01 23:00:00,houston,-1.98
2023-01-01 23:00:00,west,-1.9849999999999999
2023-01-02 00:00:00,houston,-3.8425
2023-01-02 00:00:00,west,-3.845
2023-01-02 01:00:00,houston,-14.495000000000001
2023-01-02 01:00:00,west,-14.495000000000001
2023-01-02 02:00:00,houston,-26.08
2023-01-02 02:00:00,west,-26.08
2023-01-02 03:00:00,houston,-30.36
2023-01-02 03:00:00,west,-30.36
2023-01-02 04:00:00,houston,-27.265
2023-01-02 04:00:00,west,-27.265
2023-01-02 05:00:00,houston,-5.357499999999999
2023-01-02 05:00:00,west,-5.362499999999999
2023-01-02 06:00:00,houston,0.2099999999999999
2023-01-02 06:00:00,west,0.22499999999999987
2023-01-02 07:00:00,houston,4.717499999999999
2023-01-02 07:00:00,west,4.790000000000001
2023-01-02 08:00:00,houston,13.912499999999998
2023-01-02 08:00:00,west,14.1675
2023-01-02 09:00:00,houston,19.0775
2023-01-02 09:00:00,west,19.5875
2023-01-02 10:00:00,houston,23.3925
2023-01-02 10:00:00,west,24.37
2023-01-02 11:00:00,houston,17.555
2023-01-02 11:00:00,west,17.8075
2023-01-02 12:00:00,houston,11.6125
2023-01-02 12:00:00,west,9.522499999999999
2023-01-02 13:00:00,houston,15.1575
2023-01-02 13:00:00,west,2.64
2023-01-02 14:00:00,houston,17.685000000000002
2023-01-02 14:00:00,west,1.69
2023-01-02 15:00:00,houston,20.5425
2023-01-02 15:00:00,west,3.4274999999999998
2023-01-02 16:00:00,houston,21.3575
2023-01-02 16:00:00,west,2.9275
2023-01-02 17:00:00,houston,34.72
2023-01-02 17:00:00,west,15.314999999999998
2023-01-02 18:00:00,houston,63.3575
2023-01-02 18:00:00,west,63.01
2023-01-02 19:00:00,houston,43.6025
2023-01-02 19:00:00,west,43.355
2023-01-02 20:00:00,houston,37.3125
2023-01-02 20:00:00,west,37.1925
2023-01-02 21:00:00,houston,25.8675
2023-01-02 21:00:00,west,25.825
2023-01-02 22:00:00,houston,17.9525
2023-01-02 22:00:00,west,18.0675
2023-01-02 23:00:00,houston,8.4825
2023-01-02 23:00:00,west,8.515
2023-01-03 00:00:00,houston,1.8475
2023-01-03 00:00:00,west,1.83
2023-01-03 01:00:00,houston,-0.855
2023-01-03 01:00:00,west,-0.865
