timestamp,price,year,month,day,hour
2023-01-05 11:00:00,25.33,2023,1,5,11
2023-01-05 12:00:00,24.8,2023,1,5,12
2023-01-05 13:00:00,22.1,2023,1,5,13
2023-01-05 14:00:00,21.36,2023,1,5,14
2023-01-05 15:00:00,21.46,2023,1,5,15
2023-01-05 16:00:00,25.83,2023,1,5,16
2023-01-05 17:00:00,54.53,2023,1,5,17
2023-01-05 18:00:00,32.61,2023,1,5,18
2023-01-05 19:00:00,24.36,2023,1,5,19
2023-01-05 20:00:00,21.84,2023,1,5,20
2023-01-05 21:00:00,20.94,2023,1,5,21
2023-01-05 22:00:00,20.15,2023,1,5,22
2023-01-05 23:00:00,15.14,2023,1,5,23
2023-01-06 00:00:00,10.63,2023,1,6,0
2023-01-06 01:00:00,9.03,2023,1,6,1
2023-01-06 02:00:00,11.01,2023,1,6,2
2023-01-06 03:00:00,11.45,2023,1,6,3
2023-01-06 04:00:00,15.3,2023,1,6,4
2023-01-06 05:00:00,23.21,2023,1,6,5
2023-01-06 06:00:00,36.29,2023,1,6,6
2023-01-06 07:00:00,33.65,2023,1,6,7
2023-01-06 08:00:00,33.4,2023,1,6,8
2023-01-06 09:00:00,26.5,2023,1,6,9
2023-01-06 10:00:00,18.52,2023,1,6,10
2023-01-06 11:00:00,17.78,2023,1,6,11
2023-01-06 12:00:00,17.12,2023,1,6,12
2023-01-06 13:00:00,16.98,2023,1,6,13
2023-01-06 14:00:00,15.14,2023,1,6,14
2023-01-06 15:00:00,16.05,2023,1,6,15
2023-01-06 16:00:00,20.34,2023,1,6,16
2023-01-06 17:00:00,45.01,2023,1,6,17
2023-01-06 18:00:00,32.25,2023,1,6,18
2023-01-06 19:00:00,20.54,2023,1,6,19
2023-01-06 20:00:00,19.18,2023,1,6,20
2023-01-06 21:00:00,19.55,2023,1,6,21
2023-01-06 22:00:00,18.39,2023,1,6,22
2023-01-06 23:00:00,17.92,2023,1,6,23
2023-01-07 00:00:00,24.21,2023,1,7,0
2023-01-07 01:00:00,20.88,2023,1,7,1
2023-01-07 02:00:00,19.63,2023,1,7,2
2023-01-07 03:00:00,19.05,2023,1,7,3
2023-01-07 04:00:00,18.22,2023,1,7,4
2023-01-07 05:00:00,18.42,2023,1,7,5
2023-01-07 06:00:00,21.44,2023,1,7,6
2023-01-07 07:00:00,25.14,2023,1,7,7
2023-01-07 08:00:00,21.71,2023,1,7,8
2023-01-07 09:00:00,20.09,2023,1,7,9
2023-01-07 10:00:00,21.95,2023,1,7,10
2023-01-07 11:00:00,23.55,2023,1,7,11
2023-01-07 12:00:00,24.22,2023,1,7,12
2023-01-07 13:00:00,24.78,2023,1,7,13
2023-01-07 14:00:00,23.04,2023,1,7,14
2023-01-07 15:00:00,24.78,2023,1,7,15
2023-01-07 16:00:00,25.25,2023,1,7,16
2023-01-07 17:00:00,54.17,2023,1,7,17
2023-01-07 18:00:00,41.1,2023,1,7,18
2023-01-07 19:00:00,31.88,2023,1,7,19
2023-01-07 20:00:00,29.46,2023,1,7,20
2023-01-07 21:00:00,28.36,2023,1,7,21
2023-01-07 22:00:00,26.51,2023,1,7,22
2023-01-07 23:00:00,25.59,2023,1,7,23
2023-01-08 00:00:00,28.42,2023,1,8,0
2023-01-08 01:00:00,25.59,2023,1,8,1
2023-01-08 02:00:00,24.34,2023,1,8,2
2023-01-08 03:00:00,24.71,2023,1,8,3
2023-01-08 04:00:00,25.07,2023,1,8,4
2023-01-08 05:00:00,26.33,2023,1,8,5
2023-01-08 06:00:00,27.19,2023,1,8,6
2023-01-08 07:00:00,29.99,2023,1,8,7
2023-01-08 08:00:00,27.92,2023,1,8,8
2023-01-08 09:00:00,23.72,2023,1,8,9
2023-01-08 10:00:00,22.26,2023,1,8,10
2023-01-08 11:00:00,21.94,2023,1,8,11
2023-01-08 12:00:00,21.0,2023,1,8,12
2023-01-08 13:00:00,20.53,2023,1,8,13
2023-01-08 14:00:00,20.07,2023,1,8,14
2023-01-08 15:00:00,19.4,2023,1,8,15
2023-01-08 16:00:00,20.82,2023,1,8,16
2023-01-08 17:00:00,66.09,2023,1,8,17
2023-01-08 18:00:00,37.88,2023,1,8,18
2023-01-08 19:00:00,26.94,2023,1,8,19
2023-01-08 20:00:00,22.35,2023,1,8,20
2023-01-08 21:00:00,22.04,2023,1,8,21
2023-01-08 22:00:00,21.69,2023,1,8,22
2023-01-08 23:00:00,21.27,2023,1,8,23
2023-01-09 00:00:00,16.31,2023,1,9,0
2023-01-09 01:00:00,15.24,2023,1,9,1
2023-01-09 02:00:00,16.66,2023,1,9,2
2023-01-09 03:00:00,17.86,2023,1,9,3
2023-01-09 04:00:00,19.22,2023,1,9,4
