timestamp,total_load_mw,hour_of_day,day_of_week,month
2024-12-05 10:00:00,48632.838928,10,4,12
2024-12-05 11:00:00,48359.031218,11,4,12
2024-12-05 12:00:00,47844.135314,12,4,12
2024-12-05 13:00:00,47359.828968999995,13,4,12
2024-12-05 14:00:00,47229.88404800001,14,4,12
2024-12-05 15:00:00,47158.031047000004,15,4,12
2024-12-05 16:00:00,47296.427943999995,16,4,12
2024-12-05 17:00:00,47887.426542,17,4,12
2024-12-05 18:00:00,50110.813342,18,4,12
2024-12-05 19:00:00,51333.121213,19,4,12
2024-12-05 20:00:00,51471.057213,20,4,12
2024-12-05 21:00:00,51416.4366,21,4,12
2024-12-05 22:00:00,50557.780848999995,22,4,12
2024-12-05 23:00:00,48825.00451300001,23,4,12
2024-12-06 00:00:00,46988.530927,0,5,12
2024-12-06 01:00:00,45915.296896,1,5,12
2024-12-06 02:00:00,45581.211618999994,2,5,12
2024-12-06 03:00:00,45497.88658500001,3,5,12
2024-12-06 04:00:00,45753.756500999996,4,5,12
2024-12-06 05:00:00,46995.005776,5,5,12
2024-12-06 06:00:00,49513.290693999996,6,5,12
2024-12-06 07:00:00,53185.775368,7,5,12
2024-12-06 08:00:00,54973.73934500001,8,5,12
2024-12-06 09:00:00,54857.38332000001,9,5,12
2024-12-06 10:00:00,54091.222491,10,5,12
2024-12-06 11:00:00,53125.12522399999,11,5,12
2024-12-06 12:00:00,51925.481095,12,5,12
2024-12-06 13:00:00,50831.123989,13,5,12
2024-12-06 14:00:00,50269.159274,14,5,12
2024-12-06 15:00:00,49851.486471,15,5,12
2024-12-06 16:00:00,49849.329666000005,16,5,12
2024-12-06 17:00:00,50799.867268,17,5,12
2024-12-06 18:00:00,52800.466163,18,5,12
2024-12-06 19:00:00,53468.45683,19,5,12
2024-12-06 20:00:00,52953.063023,20,5,12
2024-12-06 21:00:00,52437.343952,21,5,12
2024-12-06 22:00:00,51550.107266,22,5,12
2024-12-06 23:00:00,49962.620253,23,5,12
2024-12-07 00:00:00,48225.82224000001,0,6,12
2024-12-07 01:00:00,46605.574174999994,1,6,12
2024-12-07 02:00:00,45437.97199600001,2,6,12
2024-12-07 03:00:00,44982.515482,3,6,12
2024-12-07 04:00:00,44860.511389,4,6,12
2024-12-07 05:00:00,45147.545298,5,6,12
2024-12-07 06:00:00,45957.67597,6,6,12
2024-12-07 07:00:00,47652.922162999996,7,6,12
2024-12-07 08:00:00,49241.699824,8,6,12
2024-12-07 09:00:00,50953.283049000005,9,6,12
2024-12-07 10:00:00,52293.534032,10,6,12
2024-12-07 11:00:00,53025.37278499999,11,6,12
2024-12-07 12:00:00,53063.081782,12,6,12
2024-12-07 13:00:00,52743.740645,13,6,12
2024-12-07 14:00:00,52331.218251000006,14,6,12
2024-12-07 15:00:00,51853.40792,15,6,12
2024-12-07 16:00:00,51840.833744999996,16,6,12
2024-12-07 17:00:00,52125.97173999999,17,6,12
2024-12-07 18:00:00,53049.428839,18,6,12
2024-12-07 19:00:00,52987.79914,19,6,12
2024-12-07 20:00:00,52490.35196,20,6,12
2024-12-07 21:00:00,51990.68125000001,21,6,12
2024-12-07 22:00:00,51017.478923,22,6,12
2024-12-07 23:00:00,49312.127671,23,6,12
2024-12-08 00:00:00,47511.675222000005,0,0,12
2024-12-08 01:00:00,45894.835806,1,0,12
2024-12-08 02:00:00,44920.824554,2,0,12
2024-12-08 03:00:00,44086.46361499999,3,0,12
2024-12-08 04:00:00,43780.071364,4,0,12
2024-12-08 05:00:00,43797.976737,5,0,12
2024-12-08 06:00:00,44273.49310199999,6,0,12
2024-12-08 07:00:00,45219.061283999996,7,0,12
2024-12-08 08:00:00,46241.106646,8,0,12
2024-12-08 09:00:00,47575.827391,9,0,12
2024-12-08 10:00:00,49043.930024,10,0,12
2024-12-08 11:00:00,49702.62904899999,11,0,12
