id,timestamp_utc,timestamp,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,timezone,source_file
171779210,2014-01-27 07:00:00+00:00,2014-01-27 02:00:00,32415069,LLOYD,34 KV,C,LOAD,ATSI,44.27,39.15,-4.9,-0.22,EST,day_ahead_hourly_LMPs_01-27.csv
171779211,2014-01-27 07:00:00+00:00,2014-01-27 02:00:00,32415071,LLOYD,34 KV,D,LOAD,ATSI,44.27,39.15,-4.9,-0.22,EST,day_ahead_hourly_LMPs_01-27.csv
171779212,2014-01-27 07:00:00+00:00,2014-01-27 02:00:00,32415073,LNCOLNPK,23 KV,A,LOAD,ATSI,44.27,35.66,-8.33,-0.28,EST,day_ahead_hourly_LMPs_01-27.csv
171779213,2014-01-27 07:00:00+00:00,2014-01-27 02:00:00,32415077,LONDONOE,69 KV,LOAD,LOAD,ATSI,44.27,32.83,-10.02,-1.42,EST,day_ahead_hourly_LMPs_01-27.csv
171779214,2014-01-27 07:00:00+00:00,2014-01-27 02:00:00,32415085,LOWELL,69 KV,A,LOAD,ATSI,44.27,35.36,-8.57,-0.34,EST,day_ahead_hourly_LMPs_01-27.csv
171779215,2014-01-27 07:00:00+00:00,2014-01-27 02:00:00,32415109,MAHONIFE,23 KV,A,LOAD,ATSI,44.27,35.33,-8.08,-0.86,EST,day_ahead_hourly_LMPs_01-27.csv
171779216,2014-01-27 07:00:00+00:00,2014-01-27 02:00:00,32415111,MAPLEOE,69 KV,A,LOAD,ATSI,44.27,33.93,-9.17,-1.17,EST,day_ahead_hourly_LMPs_01-27.csv
171779217,2014-01-27 07:00:00+00:00,2014-01-27 02:00:00,32415113,MASURY,69 KV,A,LOAD,ATSI,44.27,35.39,-8.39,-0.49,EST,day_ahead_hourly_LMPs_01-27.csv
171779218,2014-01-27 07:00:00+00:00,2014-01-27 02:00:00,32415115,MASURY,23 KV,B,LOAD,ATSI,44.27,35.43,-8.37,-0.47,EST,day_ahead_hourly_LMPs_01-27.csv
171779219,2014-01-27 07:00:00+00:00,2014-01-27 02:00:00,32415119,MAYSVILL,69 KV,A,LOAD,ATSI,44.27,35.78,-8.41,-0.08,EST,day_ahead_hourly_LMPs_01-27.csv
171779220,2014-01-27 07:00:00+00:00,2014-01-27 02:00:00,32415121,MCDOWLOE,69 KV,A,LOAD,ATSI,44.27,35.17,-8.54,-0.56,EST,day_ahead_hourly_LMPs_01-27.csv
171779221,2014-01-27 07:00:00+00:00,2014-01-27 02:00:00,32415139,NEVADAOE,69 KV,A,LOAD,ATSI,44.27,35.77,-8.2,-0.3,EST,day_ahead_hourly_LMPs_01-27.csv
