year,month,is_day_ahead,std_dev_price,price_range,observations
2020,1,False,37.157753306334264,627.73,2976
2020,1,True,14.972311624677006,100.64,744
2020,2,False,144.2975994778878,1874.785,2784
2020,2,True,38.72234205305035,230.15,696
2020,3,False,98.39444977749723,1302.055,2972
2020,3,True,40.320638673986124,342.03999999999996,743
2020,4,False,54.659845636709655,1298.0950000000003,2880
2020,4,True,23.56745687521128,295.21,720
2020,5,False,19.91815120730012,369.65500000000003,2976
2020,5,True,14.205355291105809,150.64,744
2020,6,False,10.009796727698301,445.935,2880
2020,6,True,17.037341700117878,253.59000000000003,720
2020,7,False,18.03885714156235,469.02,2976
2020,7,True,16.681570606205018,167.72,744
2020,8,False,102.3490150134707,2218.87,2976
2020,8,True,114.04903927295832,2005.2299999999998,744
2020,9,False,46.3293890109147,1365.71,2880
2020,9,True,9.578994960804877,68.42,720
2020,10,False,70.7863492938733,1580.54,2976
2020,10,True,20.476366136174107,170.8,744
2020,11,False,65.80781287245514,1149.3400000000001,2884
2020,11,True,20.987226210259813,151.36,721
2020,12,False,28.47076381884151,388.36999999999995,2976
2020,12,True,17.005157970360834,96.03,744
