hour_of_day,avg_loss_component,avg_total_lmp,avg_loss_percentage_of_lmp,avg_loss_to_lmp_ratio,observation_count
17,3.8124112663155447,57.920412373101186,6.814315108745457,6.582154908976556,4367
18,3.755964781746018,57.06284130799773,6.711227786657107,6.582155209329886,4368
16,3.075426205738715,47.28105769230783,6.698975643441326,6.504563044576426,4368
15,2.7707799145299092,43.14180898962166,6.639336398705736,6.422493584347512,4368
14,2.5109235729548214,40.811171779609076,6.579467100066503,6.1525397665973935,4368
13,2.45278712606838,39.01578430250297,6.501997036483374,6.286653388923484,4368
12,2.408645355942565,39.08111365719509,6.498732191870856,6.1631952893418065,4364
19,3.2385344169719175,53.429080815018516,6.4570246505077895,6.061370264228072,4368
11,2.39564971751413,38.508068025652705,6.417431464951634,6.221163097349453,4366
10,2.3366095063426555,40.074282133577846,6.338610791678399,5.830695852652176,4362
20,2.8441784951159907,47.823249007936404,6.262589631644362,5.9472715763079815,4368
9,2.187470238095239,37.461739735958496,6.13554013027953,5.839211562285096,4368
21,2.4686893315018303,41.406317918192954,6.112244027160045,5.962107851220325,4368
22,2.2115884462759463,37.164169337606864,6.030835347444802,5.950862041837738,4368
8,2.299692460317455,39.82543765262508,6.021651581950695,5.774431107013514,4368
7,2.3340470193115066,40.50708228379499,5.910756636210581,5.762071439653531,4367
23,2.0089743589743607,34.72957989926739,5.7678696434746035,5.78462038642955,4368
6,1.935320351279114,35.17544807178312,5.431656367368185,5.5019067485072926,4365
0,1.8140762362637417,33.4586729242979,5.4135356875746465,5.421841566664014,4368
1,1.6106320395738156,30.722127092846307,5.158664511425949,5.2425798340924565,4380
5,1.5546426935409943,30.441255916933844,4.985330284151826,5.1070254715613705,4366
2,1.4748687332567902,28.988670876387328,4.971412661991923,5.087741826956758,4355
3,1.4009664987790023,27.847283272283267,4.884522015427351,5.03089111092356,4368
4,1.3675414090527431,28.006365162964695,4.796018317041604,4.882966429578532,4367
