zone_name,hour,avg_hourly_price,count
houston,6,27.72434246575343,1460
houston,7,25.69234931506848,1460
houston,8,21.87573972602738,1460
houston,9,21.102993150684913,1460
houston,10,21.88549315068493,1460
houston,11,23.94711643835616,1460
houston,12,26.11350684931506,1460
houston,13,35.10115068493151,1460
houston,14,59.346773972602755,1460
houston,15,88.74804794520544,1460
houston,16,130.36978767123284,1460
houston,17,111.88043150684923,1460
houston,18,121.92217123287661,1460
houston,19,192.18145890410966,1460
west,6,31.358089041095898,1460
west,7,29.954554794520554,1460
west,8,20.94211643835616,1460
west,9,18.306917808219183,1460
west,10,18.26939041095889,1460
west,11,19.478835616438346,1460
west,12,21.601109589041087,1460
west,13,29.505294520547963,1460
west,14,51.71243835616436,1460
west,15,76.94947260273972,1460
west,16,116.24010273972598,1460
west,17,105.44432876712331,1460
west,18,125.37398630136978,1460
west,19,201.51658904109578,1460
