timestamp_utc,system_energy_price_da,day_of_week
2023-06-18 06:00:00+00:00,14.11,0
2023-06-18 06:00:00+00:00,14.11,0
2023-06-18 12:00:00+00:00,14.02,0
2023-06-18 12:00:00+00:00,14.02,0
2023-06-18 18:00:00+00:00,28.11,0
2023-06-18 18:00:00+00:00,28.11,0
2023-06-19 00:00:00+00:00,30.6,0
2023-06-19 00:00:00+00:00,30.6,0
2023-06-19 06:00:00+00:00,14.21,1
2023-06-19 06:00:00+00:00,14.21,1
2023-06-19 12:00:00+00:00,20.6,1
2023-06-19 12:00:00+00:00,20.6,1
2023-06-19 18:00:00+00:00,40.13,1
2023-06-19 18:00:00+00:00,40.13,1
2023-06-20 00:00:00+00:00,33.16,1
2023-06-20 00:00:00+00:00,33.16,1
2023-06-20 06:00:00+00:00,14.56,2
2023-06-20 06:00:00+00:00,14.56,2
2023-06-20 12:00:00+00:00,22.9,2
2023-06-20 12:00:00+00:00,22.9,2
2023-06-20 18:00:00+00:00,32.84,2
2023-06-20 18:00:00+00:00,32.84,2
2023-06-21 00:00:00+00:00,29.63,2
2023-06-21 00:00:00+00:00,29.63,2
2023-06-21 06:00:00+00:00,14.54,3
2023-06-21 06:00:00+00:00,14.54,3
2023-06-21 12:00:00+00:00,23.38,3
2023-06-21 12:00:00+00:00,23.38,3
2023-06-21 18:00:00+00:00,33.31,3
2023-06-21 18:00:00+00:00,33.31,3
2023-06-22 00:00:00+00:00,29.7,3
2023-06-22 00:00:00+00:00,29.7,3
2023-06-22 06:00:00+00:00,13.32,4
2023-06-22 06:00:00+00:00,13.32,4
2023-06-22 12:00:00+00:00,23.63,4
2023-06-22 12:00:00+00:00,23.63,4
2023-06-22 18:00:00+00:00,30.37,4
2023-06-22 18:00:00+00:00,30.37,4
2023-06-23 00:00:00+00:00,30.46,4
2023-06-23 00:00:00+00:00,30.46,4
2023-06-23 06:00:00+00:00,14.82,5
2023-06-23 06:00:00+00:00,14.82,5
2023-06-23 12:00:00+00:00,25.86,5
2023-06-23 12:00:00+00:00,25.86,5
2023-06-23 18:00:00+00:00,34.83,5
2023-06-23 18:00:00+00:00,34.83,5
2023-06-24 00:00:00+00:00,32.64,5
2023-06-24 00:00:00+00:00,32.64,5
2023-06-24 06:00:00+00:00,16.32,6
2023-06-24 06:00:00+00:00,16.32,6
2023-06-24 12:00:00+00:00,17.91,6
2023-06-24 12:00:00+00:00,17.91,6
2023-06-24 18:00:00+00:00,33.14,6
2023-06-24 18:00:00+00:00,33.14,6
2023-06-25 00:00:00+00:00,31.87,6
2023-06-25 00:00:00+00:00,31.87,6
2023-06-25 06:00:00+00:00,17.12,0
2023-06-25 06:00:00+00:00,17.12,0
2023-06-25 12:00:00+00:00,17.89,0
2023-06-25 12:00:00+00:00,17.89,0
2023-06-25 18:00:00+00:00,34.85,0
2023-06-25 18:00:00+00:00,34.85,0
2023-06-26 00:00:00+00:00,36.03,0
2023-06-26 00:00:00+00:00,36.03,0
2023-06-26 06:00:00+00:00,14.38,1
2023-06-26 06:00:00+00:00,14.38,1
2023-06-26 12:00:00+00:00,22.54,1
2023-06-26 12:00:00+00:00,22.54,1
2023-06-26 18:00:00+00:00,43.72,1
2023-06-26 18:00:00+00:00,43.72,1
2023-06-27 00:00:00+00:00,32.22,1
2023-06-27 00:00:00+00:00,32.22,1
2023-06-27 06:00:00+00:00,15.84,2
2023-06-27 06:00:00+00:00,15.84,2
2023-06-27 12:00:00+00:00,26.19,2
2023-06-27 12:00:00+00:00,26.19,2
2023-06-27 18:00:00+00:00,39.21,2
2023-06-27 18:00:00+00:00,39.21,2
2023-06-28 00:00:00+00:00,32.76,2
2023-06-28 00:00:00+00:00,32.76,2
2023-06-28 06:00:00+00:00,15.72,3
2023-06-28 06:00:00+00:00,15.72,3
2023-06-28 12:00:00+00:00,23.38,3
2023-06-28 12:00:00+00:00,23.38,3
2023-06-28 18:00:00+00:00,35.47,3
2023-06-28 18:00:00+00:00,35.47,3
2023-06-29 00:00:00+00:00,33.51,3
2023-06-29 00:00:00+00:00,33.51,3
2023-06-29 06:00:00+00:00,16.7,4
2023-06-29 06:00:00+00:00,16.7,4
2023-06-29 12:00:00+00:00,22.41,4
2023-06-29 12:00:00+00:00,22.41,4
2023-06-29 18:00:00+00:00,42.7,4
2023-06-29 18:00:00+00:00,42.7,4
2023-06-30 00:00:00+00:00,39.37,4
2023-06-30 00:00:00+00:00,39.37,4
2023-06-30 06:00:00+00:00,17.4,5
2023-06-30 06:00:00+00:00,17.4,5
2023-06-30 12:00:00+00:00,25.27,5
2023-06-30 12:00:00+00:00,25.27,5
2023-06-30 18:00:00+00:00,47.6,5
2023-06-30 18:00:00+00:00,47.6,5
