timestamp,utc_timestamp,lmp
2024-04-01 00:00:00,2024-04-01 05:00:00,1.88
2024-04-01 00:15:00,2024-04-01 05:15:00,2.86
2024-04-01 00:30:00,2024-04-01 05:30:00,3.1
2024-04-01 00:45:00,2024-04-01 05:45:00,2.0
2024-04-01 01:00:00,2024-04-01 06:00:00,1.93
2024-04-01 01:15:00,2024-04-01 06:15:00,1.14
2024-04-01 01:30:00,2024-04-01 06:30:00,1.46
2024-04-01 01:45:00,2024-04-01 06:45:00,1.3
2024-04-01 02:00:00,2024-04-01 07:00:00,1.18
2024-04-01 02:15:00,2024-04-01 07:15:00,1.94
2024-04-01 02:30:00,2024-04-01 07:30:00,1.87
2024-04-01 02:45:00,2024-04-01 07:45:00,0.48
2024-04-01 03:00:00,2024-04-01 08:00:00,1.35
2024-04-01 03:15:00,2024-04-01 08:15:00,1.85
2024-04-01 03:30:00,2024-04-01 08:30:00,2.05
2024-04-01 03:45:00,2024-04-01 08:45:00,4.19
2024-04-01 04:00:00,2024-04-01 09:00:00,4.46
2024-04-01 04:15:00,2024-04-01 09:15:00,5.75
2024-04-01 04:30:00,2024-04-01 09:30:00,6.34
2024-04-01 04:45:00,2024-04-01 09:45:00,7.32
2024-04-01 05:00:00,2024-04-01 10:00:00,7.17
2024-04-01 05:15:00,2024-04-01 10:15:00,12.66
2024-04-01 05:30:00,2024-04-01 10:30:00,14.4
2024-04-01 05:45:00,2024-04-01 10:45:00,12.02
2024-04-01 06:00:00,2024-04-01 11:00:00,11.01
2024-04-01 06:15:00,2024-04-01 11:15:00,13.11
2024-04-01 06:30:00,2024-04-01 11:30:00,16.37
2024-04-01 06:45:00,2024-04-01 11:45:00,19.16
2024-04-01 07:00:00,2024-04-01 12:00:00,17.64
2024-04-01 07:15:00,2024-04-01 12:15:00,18.1
2024-04-01 07:30:00,2024-04-01 12:30:00,18.1
2024-04-01 07:45:00,2024-04-01 12:45:00,18.08
2024-04-01 08:00:00,2024-04-01 13:00:00,22.48
2024-04-01 08:15:00,2024-04-01 13:15:00,21.37
2024-04-01 08:30:00,2024-04-01 13:30:00,22.58
2024-04-01 08:45:00,2024-04-01 13:45:00,22.82
2024-04-01 09:00:00,2024-04-01 14:00:00,18.73
2024-04-01 09:15:00,2024-04-01 14:15:00,21.45
2024-04-01 09:30:00,2024-04-01 14:30:00,24.32
2024-04-01 09:45:00,2024-04-01 14:45:00,21.64
2024-04-01 10:00:00,2024-04-01 15:00:00,21.95
2024-04-01 10:15:00,2024-04-01 15:15:00,20.49
2024-04-01 10:30:00,2024-04-01 15:30:00,20.67
2024-04-01 10:45:00,2024-04-01 15:45:00,18.99
