timestamp_utc,total_lmp_da
2023-01-01 05:00:00+00:00,23.92
2023-01-01 05:00:00+00:00,23.92
2023-01-01 05:00:00+00:00,23.94
2023-01-01 05:00:00+00:00,23.92
2023-01-01 05:00:00+00:00,23.84
2023-01-01 05:00:00+00:00,23.84
2023-01-01 05:00:00+00:00,23.86
2023-01-01 05:00:00+00:00,23.87
2023-01-01 05:00:00+00:00,23.94
2023-01-01 05:00:00+00:00,23.94
2023-01-01 05:00:00+00:00,23.78
2023-01-01 05:00:00+00:00,23.83
2023-01-01 05:00:00+00:00,23.94
2023-01-01 05:00:00+00:00,23.94
2023-01-01 05:00:00+00:00,23.94
2023-01-01 05:00:00+00:00,23.92
2023-01-01 05:00:00+00:00,23.81
2023-01-01 05:00:00+00:00,24.46
2023-01-01 05:00:00+00:00,24.46
2023-01-01 05:00:00+00:00,24.94
2023-01-01 05:00:00+00:00,24.41
2023-01-01 05:00:00+00:00,24.41
2023-01-01 05:00:00+00:00,24.09
2023-01-01 05:00:00+00:00,24.09
2023-01-01 05:00:00+00:00,25.34
2023-01-01 05:00:00+00:00,24.3
2023-01-01 05:00:00+00:00,24.3
2023-01-01 05:00:00+00:00,24.89
2023-01-01 05:00:00+00:00,23.98
2023-01-01 05:00:00+00:00,24.09
2023-01-01 05:00:00+00:00,24.08
2023-01-01 05:00:00+00:00,24.51
2023-01-01 05:00:00+00:00,24.07
2023-01-01 05:00:00+00:00,24.36
2023-01-01 05:00:00+00:00,24.89
2023-01-01 05:00:00+00:00,24.35
2023-01-01 05:00:00+00:00,24.35
2023-01-01 05:00:00+00:00,24.35
2023-01-01 05:00:00+00:00,24.35
2023-01-01 05:00:00+00:00,24.51
2023-01-01 05:00:00+00:00,24.51
2023-01-01 05:00:00+00:00,24.45
2023-01-01 05:00:00+00:00,24.55
2023-01-01 05:00:00+00:00,24.55
2023-01-01 05:00:00+00:00,24.55
2023-01-01 05:00:00+00:00,24.38
2023-01-01 05:00:00+00:00,24.14
2023-01-01 05:00:00+00:00,24.14
2023-01-01 05:00:00+00:00,24.43
2023-01-01 05:00:00+00:00,24.36
2023-01-01 05:00:00+00:00,24.57
2023-01-01 05:00:00+00:00,24.57
2023-01-01 05:00:00+00:00,24.57
2023-01-01 05:00:00+00:00,24.57
2023-01-01 05:00:00+00:00,24.96
2023-01-01 05:00:00+00:00,24.96
2023-01-01 05:00:00+00:00,24.96
2023-01-01 05:00:00+00:00,24.29
2023-01-01 05:00:00+00:00,24.97
2023-01-01 05:00:00+00:00,23.76
2023-01-01 05:00:00+00:00,23.76
2023-01-01 05:00:00+00:00,24.42
2023-01-01 05:00:00+00:00,24.43
2023-01-01 05:00:00+00:00,24.47
2023-01-01 05:00:00+00:00,24.47
2023-01-01 05:00:00+00:00,24.44
2023-01-01 05:00:00+00:00,24.44
2023-01-01 05:00:00+00:00,24.47
2023-01-01 05:00:00+00:00,24.42
2023-01-01 05:00:00+00:00,24.48
2023-01-01 05:00:00+00:00,24.48
2023-01-01 05:00:00+00:00,24.87
2023-01-01 05:00:00+00:00,24.41
2023-01-01 05:00:00+00:00,24.41
2023-01-01 05:00:00+00:00,24.55
2023-01-01 05:00:00+00:00,24.55
2023-01-01 05:00:00+00:00,24.55
2023-01-01 05:00:00+00:00,24.49
2023-01-01 05:00:00+00:00,24.53
2023-01-01 05:00:00+00:00,24.53
2023-01-01 05:00:00+00:00,24.53
2023-01-01 05:00:00+00:00,23.56
2023-01-01 05:00:00+00:00,24.22
2023-01-01 05:00:00+00:00,24.42
2023-01-01 05:00:00+00:00,24.49
2023-01-01 05:00:00+00:00,24.49
2023-01-01 05:00:00+00:00,24.55
2023-01-01 05:00:00+00:00,24.45
2023-01-01 05:00:00+00:00,24.69
2023-01-01 05:00:00+00:00,24.69
2023-01-01 05:00:00+00:00,24.44
2023-01-01 05:00:00+00:00,24.77
2023-01-01 05:00:00+00:00,24.77
2023-01-01 05:00:00+00:00,24.94
2023-01-01 05:00:00+00:00,23.81
2023-01-01 05:00:00+00:00,24.45
2023-01-01 05:00:00+00:00,25.12
2023-01-01 05:00:00+00:00,24.47
2023-01-01 05:00:00+00:00,24.77
2023-01-01 05:00:00+00:00,24.83
