utc_timestamp,locational_marginal_price
2023-01-01 00:00:00+00:00,47.72
2023-01-01 01:00:00+00:00,38.69
2023-01-01 02:00:00+00:00,38.7
2023-01-01 03:00:00+00:00,38.46
2023-01-01 04:00:00+00:00,38.29
2023-01-01 05:00:00+00:00,38.62
2023-01-01 06:00:00+00:00,30.6
2023-01-01 07:00:00+00:00,27.94
2023-01-01 08:00:00+00:00,26.36
2023-01-01 09:00:00+00:00,27.72
2023-01-01 10:00:00+00:00,29.17
2023-01-01 11:00:00+00:00,27.95
2023-01-01 12:00:00+00:00,28.55
2023-01-01 13:00:00+00:00,27.87
2023-01-01 14:00:00+00:00,27.92
2023-01-01 15:00:00+00:00,30.74
2023-01-01 16:00:00+00:00,30.31
2023-01-01 17:00:00+00:00,28.72
2023-01-01 18:00:00+00:00,28.23
2023-01-01 19:00:00+00:00,27.91
2023-01-01 20:00:00+00:00,29.07
2023-01-01 21:00:00+00:00,32.61
2023-01-01 22:00:00+00:00,41.31
2023-01-01 23:00:00+00:00,50.88
2023-01-02 00:00:00+00:00,45.44
2023-01-02 01:00:00+00:00,47.35
2023-01-02 02:00:00+00:00,35.19
2023-01-02 03:00:00+00:00,35.2
2023-01-02 04:00:00+00:00,31.62
2023-01-02 05:00:00+00:00,34.83
2023-01-02 06:00:00+00:00,33.27
2023-01-02 07:00:00+00:00,30.59
2023-01-02 08:00:00+00:00,30.58
2023-01-02 09:00:00+00:00,30.43
2023-01-02 10:00:00+00:00,31.7
2023-01-02 11:00:00+00:00,34.67
2023-01-02 12:00:00+00:00,31.21
2023-01-02 13:00:00+00:00,34.99
2023-01-02 14:00:00+00:00,35.01
2023-01-02 15:00:00+00:00,35.76
2023-01-02 16:00:00+00:00,35.05
2023-01-02 17:00:00+00:00,34.34
2023-01-02 18:00:00+00:00,34.28
2023-01-02 19:00:00+00:00,31.91
2023-01-02 20:00:00+00:00,34.39
2023-01-02 21:00:00+00:00,45.75
2023-01-02 22:00:00+00:00,60.08
2023-01-02 23:00:00+00:00,66.55
2023-01-03 00:00:00+00:00,65.09
2023-01-03 01:00:00+00:00,60.43
2023-01-03 02:00:00+00:00,57.85
2023-01-03 03:00:00+00:00,51.93
2023-01-03 04:00:00+00:00,44.71
2023-01-03 05:00:00+00:00,40.88
2023-01-03 06:00:00+00:00,41.28
2023-01-03 07:00:00+00:00,38.75
2023-01-03 08:00:00+00:00,37.75
2023-01-03 09:00:00+00:00,40.13
2023-01-03 10:00:00+00:00,37.67
2023-01-03 11:00:00+00:00,41.94
2023-01-03 12:00:00+00:00,42.48
2023-01-03 13:00:00+00:00,51.01
2023-01-03 14:00:00+00:00,48.16
2023-01-03 15:00:00+00:00,48.3
2023-01-03 16:00:00+00:00,53.68
2023-01-03 17:00:00+00:00,54.2
2023-01-03 18:00:00+00:00,53.78
2023-01-03 19:00:00+00:00,53.78
2023-01-03 20:00:00+00:00,55.71
2023-01-03 21:00:00+00:00,53.78
2023-01-03 22:00:00+00:00,66.68
2023-01-03 23:00:00+00:00,72.25
2023-01-04 00:00:00+00:00,53.75
2023-01-04 01:00:00+00:00,50.01
2023-01-04 02:00:00+00:00,44.35
2023-01-04 03:00:00+00:00,39.47
2023-01-04 04:00:00+00:00,34.99
2023-01-04 05:00:00+00:00,34.68
2023-01-04 06:00:00+00:00,37.33
2023-01-04 07:00:00+00:00,36.0
2023-01-04 08:00:00+00:00,37.21
2023-01-04 09:00:00+00:00,35.22
2023-01-04 10:00:00+00:00,35.99
2023-01-04 11:00:00+00:00,36.72
2023-01-04 12:00:00+00:00,41.25
2023-01-04 13:00:00+00:00,46.62
2023-01-04 14:00:00+00:00,46.19
2023-01-04 15:00:00+00:00,45.22
2023-01-04 16:00:00+00:00,38.91
2023-01-04 17:00:00+00:00,40.3
2023-01-04 18:00:00+00:00,38.71
2023-01-04 19:00:00+00:00,39.18
2023-01-04 20:00:00+00:00,41.68
2023-01-04 21:00:00+00:00,38.8
2023-01-04 22:00:00+00:00,48.4
2023-01-04 23:00:00+00:00,58.2
2023-01-05 00:00:00+00:00,49.52
2023-01-05 01:00:00+00:00,41.79
2023-01-05 02:00:00+00:00,35.48
2023-01-05 03:00:00+00:00,35.86
