timestamp,utc_timestamp,zone_name,lmp,timezone
2024-04-01 00:00:00,2024-04-01 05:00:00,west,1.88,CST
2024-04-01 00:15:00,2024-04-01 05:15:00,west,2.86,CST
2024-04-01 00:30:00,2024-04-01 05:30:00,west,3.1,CST
2024-04-01 00:45:00,2024-04-01 05:45:00,west,2.0,CST
2024-04-01 01:00:00,2024-04-01 06:00:00,west,1.93,CST
2024-04-01 01:15:00,2024-04-01 06:15:00,west,1.14,CST
2024-04-01 01:30:00,2024-04-01 06:30:00,west,1.46,CST
2024-04-01 01:45:00,2024-04-01 06:45:00,west,1.3,CST
2024-04-01 02:00:00,2024-04-01 07:00:00,west,1.18,CST
2024-04-01 02:15:00,2024-04-01 07:15:00,west,1.94,CST
2024-04-01 02:30:00,2024-04-01 07:30:00,west,1.87,CST
2024-04-01 02:45:00,2024-04-01 07:45:00,west,0.48,CST
2024-04-01 03:00:00,2024-04-01 08:00:00,west,1.35,CST
2024-04-01 03:15:00,2024-04-01 08:15:00,west,1.85,CST
2024-04-01 03:30:00,2024-04-01 08:30:00,west,2.05,CST
2024-04-01 03:45:00,2024-04-01 08:45:00,west,4.19,CST
2024-04-01 04:00:00,2024-04-01 09:00:00,west,4.46,CST
2024-04-01 04:15:00,2024-04-01 09:15:00,west,5.75,CST
2024-04-01 04:30:00,2024-04-01 09:30:00,west,6.34,CST
2024-04-01 04:45:00,2024-04-01 09:45:00,west,7.32,CST
2024-04-01 05:00:00,2024-04-01 10:00:00,west,7.17,CST
2024-04-01 05:15:00,2024-04-01 10:15:00,west,12.66,CST
2024-04-01 05:30:00,2024-04-01 10:30:00,west,14.4,CST
2024-04-01 05:45:00,2024-04-01 10:45:00,west,12.02,CST
2024-04-01 06:00:00,2024-04-01 11:00:00,west,11.01,CST
2024-04-01 06:15:00,2024-04-01 11:15:00,west,13.11,CST
2024-04-01 06:30:00,2024-04-01 11:30:00,west,16.37,CST
2024-04-01 06:45:00,2024-04-01 11:45:00,west,19.16,CST
2024-04-01 07:00:00,2024-04-01 12:00:00,west,17.64,CST
2024-04-01 07:15:00,2024-04-01 12:15:00,west,18.1,CST
2024-04-01 07:30:00,2024-04-01 12:30:00,west,18.1,CST
2024-04-01 07:45:00,2024-04-01 12:45:00,west,18.08,CST
2024-04-01 08:00:00,2024-04-01 13:00:00,west,22.48,CST
2024-04-01 08:15:00,2024-04-01 13:15:00,west,21.37,CST
2024-04-01 08:30:00,2024-04-01 13:30:00,west,22.58,CST
2024-04-01 08:45:00,2024-04-01 13:45:00,west,22.82,CST
2024-04-01 09:00:00,2024-04-01 14:00:00,west,18.73,CST
2024-04-01 09:15:00,2024-04-01 14:15:00,west,21.45,CST
2024-04-01 09:30:00,2024-04-01 14:30:00,west,24.32,CST
2024-04-01 09:45:00,2024-04-01 14:45:00,west,21.64,CST
2024-04-01 10:00:00,2024-04-01 15:00:00,west,21.95,CST
2024-04-01 10:15:00,2024-04-01 15:15:00,west,20.49,CST
2024-04-01 10:30:00,2024-04-01 15:30:00,west,20.67,CST
2024-04-01 10:45:00,2024-04-01 15:45:00,west,18.99,CST
2024-04-01 11:00:00,2024-04-01 16:00:00,west,17.82,CST
2024-04-01 11:15:00,2024-04-01 16:15:00,west,20.22,CST
2024-04-01 11:30:00,2024-04-01 16:30:00,west,18.65,CST
2024-04-01 11:45:00,2024-04-01 16:45:00,west,18.41,CST
2024-04-01 12:00:00,2024-04-01 17:00:00,west,16.31,CST
2024-04-01 12:15:00,2024-04-01 17:15:00,west,17.72,CST
2024-04-01 12:30:00,2024-04-01 17:30:00,west,15.69,CST
2024-04-01 12:45:00,2024-04-01 17:45:00,west,20.17,CST
2024-04-01 13:00:00,2024-04-01 18:00:00,west,20.98,CST
2024-04-01 13:15:00,2024-04-01 18:15:00,west,16.58,CST
2024-04-01 13:30:00,2024-04-01 18:30:00,west,13.5,CST
2024-04-01 13:45:00,2024-04-01 18:45:00,west,13.3,CST
2024-04-01 14:00:00,2024-04-01 19:00:00,west,12.99,CST
2024-04-01 14:15:00,2024-04-01 19:15:00,west,13.52,CST
2024-04-01 14:30:00,2024-04-01 19:30:00,west,12.12,CST
2024-04-01 14:45:00,2024-04-01 19:45:00,west,9.94,CST
2024-04-01 15:00:00,2024-04-01 20:00:00,west,7.55,CST
2024-04-01 15:15:00,2024-04-01 20:15:00,west,3.71,CST
2024-04-01 15:30:00,2024-04-01 20:30:00,west,3.88,CST
2024-04-01 15:45:00,2024-04-01 20:45:00,west,2.32,CST
2024-04-01 16:00:00,2024-04-01 21:00:00,west,1.77,CST
2024-04-01 16:15:00,2024-04-01 21:15:00,west,1.42,CST
2024-04-01 16:30:00,2024-04-01 21:30:00,west,1.22,CST
2024-04-01 16:45:00,2024-04-01 21:45:00,west,-2.92,CST
2024-04-01 17:00:00,2024-04-01 22:00:00,west,-4.28,CST
2024-04-01 17:15:00,2024-04-01 22:15:00,west,-1.98,CST
2024-04-01 17:30:00,2024-04-01 22:30:00,west,-0.22,CST
2024-04-01 17:45:00,2024-04-01 22:45:00,west,2.4,CST
2024-04-01 18:00:00,2024-04-01 23:00:00,west,2.38,CST
2024-04-01 18:15:00,2024-04-01 23:15:00,west,5.24,CST
2024-04-01 18:30:00,2024-04-01 23:30:00,west,6.8,CST
2024-04-01 18:45:00,2024-04-01 23:45:00,west,12.27,CST
2024-04-01 19:00:00,2024-04-02 00:00:00,west,16.29,CST
2024-04-01 19:15:00,2024-04-02 00:15:00,west,14.61,CST
2024-04-01 19:30:00,2024-04-02 00:30:00,west,8.82,CST
2024-04-01 19:45:00,2024-04-02 00:45:00,west,3.4,CST
2024-04-01 20:00:00,2024-04-02 01:00:00,west,3.38,CST
2024-04-01 20:15:00,2024-04-02 01:15:00,west,8.68,CST
2024-04-01 20:30:00,2024-04-02 01:30:00,west,18.7,CST
2024-04-01 20:45:00,2024-04-02 01:45:00,west,20.36,CST
2024-04-01 21:00:00,2024-04-02 02:00:00,west,22.18,CST
2024-04-01 21:15:00,2024-04-02 02:15:00,west,20.18,CST
2024-04-01 21:30:00,2024-04-02 02:30:00,west,15.98,CST
2024-04-01 21:45:00,2024-04-02 02:45:00,west,14.63,CST
2024-04-01 22:00:00,2024-04-02 03:00:00,west,12.02,CST
2024-04-01 22:15:00,2024-04-02 03:15:00,west,12.91,CST
2024-04-01 22:30:00,2024-04-02 03:30:00,west,13.81,CST
2024-04-01 22:45:00,2024-04-02 03:45:00,west,14.25,CST
2024-04-01 23:00:00,2024-04-02 04:00:00,west,13.12,CST
