timestamp,load_mw,is_day_ahead,count
2024-01-01 00:00:00,10819.435761,False,1
2024-01-01 01:00:00,10484.137154,False,1
2024-01-01 02:00:00,10365.816869,False,1
2024-01-01 03:00:00,10206.968091,False,1
2024-01-01 04:00:00,10086.531805,False,1
2024-01-01 05:00:00,10097.438645,False,1
2024-01-01 06:00:00,10194.600576,False,1
2024-01-01 07:00:00,10344.874447,False,1
2024-01-01 08:00:00,10379.993893,False,1
2024-01-01 09:00:00,10409.818631,False,1
2024-01-01 10:00:00,10615.383403,False,1
2024-01-01 11:00:00,10851.983861,False,1
2024-01-01 12:00:00,11037.476991,False,1
2024-01-01 13:00:00,11153.521771,False,1
2024-01-01 14:00:00,11138.282527,False,1
2024-01-01 15:00:00,11132.887854,False,1
2024-01-01 16:00:00,11219.910376,False,1
2024-01-01 17:00:00,11357.365773,False,1
2024-01-01 18:00:00,11843.417815,False,1
2024-01-01 19:00:00,12095.186422,False,1
2024-01-01 20:00:00,12046.068724,False,1
2024-01-01 21:00:00,11982.718235,False,1
2024-01-01 22:00:00,11839.3521,False,1
2024-01-01 23:00:00,11528.263382,False,1
2024-01-02 00:00:00,11167.110076,False,1
2024-01-02 01:00:00,10942.112971,False,1
2024-01-02 02:00:00,10812.566184,False,1
2024-01-02 03:00:00,10760.421199,False,1
2024-01-02 04:00:00,10866.231602,False,1
2024-01-02 05:00:00,11170.620638,False,1
2024-01-02 06:00:00,11743.526296,False,1
2024-01-02 07:00:00,12498.121481,False,1
2024-01-02 08:00:00,12940.494001,False,1
2024-01-02 09:00:00,13198.529429,False,1
2024-01-02 10:00:00,13390.773108,False,1
2024-01-02 11:00:00,13452.064469,False,1
2024-01-02 12:00:00,13448.305683,False,1
2024-01-02 13:00:00,13315.754859,False,1
2024-01-02 14:00:00,13252.83431,False,1
2024-01-02 15:00:00,13094.924649,False,1
2024-01-02 16:00:00,13082.362836,False,1
2024-01-02 17:00:00,13101.696765,False,1
2024-01-02 18:00:00,13539.684104,False,1
2024-01-02 19:00:00,13621.865442,False,1
2024-01-02 20:00:00,13471.646455,False,1
2024-01-02 21:00:00,13175.862413,False,1
2024-01-02 22:00:00,12822.872732,False,1
2024-01-02 23:00:00,12347.50363,False,1
2024-01-03 00:00:00,11909.314655,False,1
2024-01-03 01:00:00,11634.185261,False,1
2024-01-03 02:00:00,11418.284209,False,1
2024-01-03 03:00:00,11347.977885,False,1
2024-01-03 04:00:00,11361.374702,False,1
2024-01-03 05:00:00,11553.798032,False,1
2024-01-03 06:00:00,12080.322358,False,1
2024-01-03 07:00:00,12754.396572,False,1
2024-01-03 08:00:00,13196.846625,False,1
2024-01-03 09:00:00,13368.720091,False,1
2024-01-03 10:00:00,13487.657662,False,1
2024-01-03 11:00:00,13361.116012,False,1
2024-01-03 12:00:00,13007.467265,False,1
2024-01-03 13:00:00,12718.420926,False,1
2024-01-03 14:00:00,12563.267661,False,1
2024-01-03 15:00:00,12407.942685,False,1
2024-01-03 16:00:00,12276.713469,False,1
2024-01-03 17:00:00,12281.992133,False,1
2024-01-03 18:00:00,12700.769595,False,1
2024-01-03 19:00:00,13036.052969,False,1
2024-01-03 20:00:00,13035.143555,False,1
2024-01-03 21:00:00,12968.886948,False,1
2024-01-03 22:00:00,12704.773989,False,1
2024-01-03 23:00:00,12241.835257,False,1
2024-01-04 00:00:00,11858.65172,False,1
2024-01-04 01:00:00,11566.605296,False,1
2024-01-04 02:00:00,11411.728806,False,1
2024-01-04 03:00:00,11428.466859,False,1
2024-01-04 04:00:00,11512.386731,False,1
2024-01-04 05:00:00,11832.957885,False,1
2024-01-04 06:00:00,12455.87228,False,1
2024-01-04 07:00:00,13285.912912,False,1
2024-01-04 08:00:00,13658.657708,False,1
2024-01-04 09:00:00,13594.702648,False,1
2024-01-04 10:00:00,13321.674177,False,1
2024-01-04 11:00:00,13021.834438,False,1
2024-01-04 12:00:00,12747.356321,False,1
2024-01-04 13:00:00,12512.682467,False,1
2024-01-04 14:00:00,12398.268104,False,1
2024-01-04 15:00:00,12291.311053,False,1
2024-01-04 16:00:00,12252.613894,False,1
2024-01-04 17:00:00,12302.779259,False,1
2024-01-04 18:00:00,12709.690192,False,1
2024-01-04 19:00:00,12988.57642,False,1
2024-01-04 20:00:00,12931.554923,False,1
2024-01-04 21:00:00,12749.329035,False,1
2024-01-04 22:00:00,12415.018958,False,1
2024-01-04 23:00:00,11894.197832,False,1
