utc_timestamp,date_local,gen_mw
2023-12-01 05:00:37+00:00,12/01/2023 00:00:37,2121.0
2023-12-01 05:01:26+00:00,12/01/2023 00:01:26,2121.0
2023-12-01 05:02:24+00:00,12/01/2023 00:02:24,2121.0
2023-12-01 05:02:48+00:00,12/01/2023 00:02:48,2122.0
2023-12-01 05:06:56+00:00,12/01/2023 00:06:56,2120.0
2023-12-01 05:09:49+00:00,12/01/2023 00:09:49,2120.0
2023-12-01 05:09:53+00:00,12/01/2023 00:09:53,2121.0
2023-12-01 05:14:32+00:00,12/01/2023 00:14:32,2119.0
2023-12-01 05:18:52+00:00,12/01/2023 00:18:52,2120.0
2023-12-01 05:19:16+00:00,12/01/2023 00:19:16,2120.0
2023-12-01 05:21:25+00:00,12/01/2023 00:21:25,2122.0
2023-12-01 05:26:06+00:00,12/01/2023 00:26:06,2122.0
2023-12-01 05:27:20+00:00,12/01/2023 00:27:20,2122.0
2023-12-01 05:31:55+00:00,12/01/2023 00:31:55,2122.0
2023-12-01 05:38:01+00:00,12/01/2023 00:38:01,2120.0
2023-12-01 05:43:49+00:00,12/01/2023 00:43:49,2120.0
2023-12-01 05:48:24+00:00,12/01/2023 00:48:24,2121.0
2023-12-01 05:53:58+00:00,12/01/2023 00:53:58,2121.0
2023-12-01 05:59:14+00:00,12/01/2023 00:59:14,2121.0
2023-12-01 06:03:05+00:00,12/01/2023 01:03:05,2121.0
2023-12-01 06:08:51+00:00,12/01/2023 01:08:51,2121.0
2023-12-01 06:11:35+00:00,12/01/2023 01:11:35,2121.0
2023-12-01 06:16:56+00:00,12/01/2023 01:16:56,2121.0
2023-12-01 06:21:14+00:00,12/01/2023 01:21:14,2122.0
2023-12-01 06:23:21+00:00,12/01/2023 01:23:21,2122.0
2023-12-01 06:26:50+00:00,12/01/2023 01:26:50,2121.0
2023-12-01 06:28:51+00:00,12/01/2023 01:28:51,2121.0
2023-12-01 06:34:05+00:00,12/01/2023 01:34:05,2123.0
2023-12-01 06:39:29+00:00,12/01/2023 01:39:29,2121.0
2023-12-01 06:44:52+00:00,12/01/2023 01:44:52,2121.0
2023-12-01 06:50:22+00:00,12/01/2023 01:50:22,2120.0
2023-12-01 06:55:30+00:00,12/01/2023 01:55:30,2120.0
2023-12-01 06:57:39+00:00,12/01/2023 01:57:39,2120.0
2023-12-01 07:01:15+00:00,12/01/2023 02:01:15,2120.0
2023-12-01 07:05:39+00:00,12/01/2023 02:05:39,2120.0
2023-12-01 07:09:20+00:00,12/01/2023 02:09:20,2122.0
2023-12-01 07:12:29+00:00,12/01/2023 02:12:29,2121.0
2023-12-01 07:18:25+00:00,12/01/2023 02:18:25,2121.0
2023-12-01 07:22:56+00:00,12/01/2023 02:22:56,2121.0
