id,timestamp,fuel_category,generation_mw,is_day_ahead,source_file,timezone,utc_timestamp,created_at
771302586,2023-01-20 02:30:00,wind,806.0,False,20230120rtfuelmix.csv,EST,2023-01-20 07:30:00,2025-06-02 00:52:04.860781+00:00
771302587,2023-01-20 02:35:00,wind,813.0,False,20230120rtfuelmix.csv,EST,2023-01-20 07:35:00,2025-06-02 00:52:04.860781+00:00
771302588,2023-01-20 02:40:00,wind,838.0,False,20230120rtfuelmix.csv,EST,2023-01-20 07:40:00,2025-06-02 00:52:04.860781+00:00
771302589,2023-01-20 02:45:00,wind,875.0,False,20230120rtfuelmix.csv,EST,2023-01-20 07:45:00,2025-06-02 00:52:04.860781+00:00
771302590,2023-01-20 02:50:00,wind,868.0,False,20230120rtfuelmix.csv,EST,2023-01-20 07:50:00,2025-06-02 00:52:04.860781+00:00
771302591,2023-01-20 02:55:00,wind,837.0,False,20230120rtfuelmix.csv,EST,2023-01-20 07:55:00,2025-06-02 00:52:04.860781+00:00
771302592,2023-01-20 03:00:00,wind,817.0,False,20230120rtfuelmix.csv,EST,2023-01-20 08:00:00,2025-06-02 00:52:04.860781+00:00
771302593,2023-01-20 03:05:00,wind,848.0,False,20230120rtfuelmix.csv,EST,2023-01-20 08:05:00,2025-06-02 00:52:04.860781+00:00
771302594,2023-01-20 03:10:00,wind,877.0,False,20230120rtfuelmix.csv,EST,2023-01-20 08:10:00,2025-06-02 00:52:04.860781+00:00
771302595,2023-01-20 03:15:00,wind,888.0,False,20230120rtfuelmix.csv,EST,2023-01-20 08:15:00,2025-06-02 00:52:04.860781+00:00
771302596,2023-01-20 03:20:00,wind,888.0,False,20230120rtfuelmix.csv,EST,2023-01-20 08:20:00,2025-06-02 00:52:04.860781+00:00
771302597,2023-01-20 03:25:00,wind,888.0,False,20230120rtfuelmix.csv,EST,2023-01-20 08:25:00,2025-06-02 00:52:04.860781+00:00
771302598,2023-01-20 03:30:00,wind,894.0,False,20230120rtfuelmix.csv,EST,2023-01-20 08:30:00,2025-06-02 00:52:04.860781+00:00
771302599,2023-01-20 03:35:00,wind,911.0,False,20230120rtfuelmix.csv,EST,2023-01-20 08:35:00,2025-06-02 00:52:04.860781+00:00
771302600,2023-01-20 03:40:00,wind,911.0,False,20230120rtfuelmix.csv,EST,2023-01-20 08:40:00,2025-06-02 00:52:04.860781+00:00
