q_year,count
2020.0,1
2019.0,18
2018.0,14
2017.0,30
2016.0,14
2015.0,43
2014.0,33
2013.0,17
2012.0,7
2011.0,12
2010.0,13
2009.0,19
2008.0,23
2007.0,38
2006.0,23
2005.0,36
2004.0,25
2003.0,37
2002.0,27
2001.0,21
2000.0,21
1999.0,6
1970.0,14
