hour_of_day,avg_load
11,nan
12,nan
17,6415.750153648682
16,6373.094452367914
18,6318.18080320088
15,6302.471575948672
14,6251.138730272831
13,6218.078664951431
19,6192.701712830144
20,6052.943956826822
10,6006.423837624479
21,5891.0177407179735
9,5885.828118875231
8,5685.055989883098
22,5637.213006014732
7,5400.581100557824
23,5337.521030752889
0,5061.077632304921
6,5033.861059359824
1,4847.553021643201
5,4716.314116306169
2,4700.7262307001565
3,4605.206020875065
4,4590.826754735871
