timestamp,load_mw
2024-11-01 00:00:00,4881.0117
2024-11-01 00:05:00,4823.706
2024-11-01 00:10:00,4844.4033
2024-11-01 00:15:00,4791.2764
2024-11-01 00:20:00,4797.888
2024-11-01 00:25:00,4769.65
2024-11-01 00:30:00,4731.091
2024-11-01 00:35:00,4680.9062
2024-11-01 00:40:00,4667.552
2024-11-01 00:45:00,4634.6123
2024-11-01 00:50:00,4619.1973
2024-11-01 00:55:00,4629.667
2024-11-01 01:00:00,4595.255
2024-11-01 01:05:00,4568.8696
2024-11-01 01:10:00,4552.579
2024-11-01 01:15:00,4562.8813
2024-11-01 01:20:00,4534.778
2024-11-01 01:25:00,4509.47
2024-11-01 01:30:00,4513.5557
2024-11-01 01:35:00,4489.475
2024-11-01 01:40:00,4471.416
2024-11-01 01:45:00,4465.5176
2024-11-01 01:50:00,4460.5186
2024-11-01 01:55:00,4428.754
2024-11-01 02:00:00,4428.2065
2024-11-01 02:05:00,4424.0938
2024-11-01 02:10:00,4405.783
2024-11-01 02:15:00,4388.1772
2024-11-01 02:20:00,4371.0728
2024-11-01 02:25:00,4362.9277
2024-11-01 02:30:00,4360.4756
2024-11-01 02:35:00,4352.304
2024-11-01 02:40:00,4339.4434
2024-11-01 02:45:00,4312.1357
2024-11-01 02:50:00,4317.3735
2024-11-01 02:55:00,4303.598
2024-11-01 03:00:00,4306.78
2024-11-01 03:05:00,4302.6016
2024-11-01 03:10:00,4273.376
2024-11-01 03:15:00,4272.886
2024-11-01 03:20:00,4261.9785
2024-11-01 03:25:00,4256.829
2024-11-01 03:30:00,4282.8125
2024-11-01 03:35:00,4264.527
2024-11-01 03:40:00,4265.22
2024-11-01 03:45:00,4244.4956
2024-11-01 03:50:00,4247.877
2024-11-01 03:55:00,4229.917
2024-11-01 04:00:00,4249.9897
2024-11-01 04:05:00,4225.2275
2024-11-01 04:10:00,4242.0127
2024-11-01 04:15:00,4250.419
2024-11-01 04:20:00,4260.3984
2024-11-01 04:25:00,4257.412
2024-11-01 04:30:00,4235.1465
2024-11-01 04:35:00,4237.8594
2024-11-01 04:40:00,4256.6523
2024-11-01 04:45:00,4255.173
2024-11-01 04:50:00,4269.5996
2024-11-01 04:55:00,4272.8804
2024-11-01 05:00:00,4293.9595
2024-11-01 05:05:00,4287.7915
2024-11-01 05:10:00,4331.053
2024-11-01 05:15:00,4348.829
2024-11-01 05:20:00,4370.028
2024-11-01 05:25:00,4385.4746
2024-11-01 05:30:00,4413.294
2024-11-01 05:35:00,4415.0874
2024-11-01 05:40:00,4466.574
2024-11-01 05:45:00,4462.5176
2024-11-01 05:50:00,4493.2676
2024-11-01 05:55:00,4529.7173
2024-11-01 06:00:00,4528.8223
2024-11-01 06:05:00,4579.657
2024-11-01 06:10:00,4691.508
2024-11-01 06:15:00,4718.7227
2024-11-01 06:20:00,4754.058
2024-11-01 06:25:00,4806.118
2024-11-01 06:30:00,4857.6904
2024-11-01 06:35:00,4864.2554
2024-11-01 06:40:00,4854.127
2024-11-01 06:45:00,4946.1025
2024-11-01 06:50:00,4981.6514
2024-11-01 06:55:00,5020.079
2024-11-01 07:00:00,5050.91
2024-11-01 07:05:00,5060.7866
2024-11-01 07:10:00,5111.638
2024-11-01 07:15:00,5179.657
2024-11-01 07:20:00,5199.0117
2024-11-01 07:25:00,5264.422
2024-11-01 07:30:00,5262.1836
2024-11-01 07:35:00,5274.975
2024-11-01 07:40:00,5279.6855
2024-11-01 07:45:00,5334.711
2024-11-01 07:50:00,5360.055
2024-11-01 07:55:00,5372.3506
2024-11-01 08:00:00,5385.165
2024-11-01 08:05:00,5438.3057
2024-11-01 08:10:00,5459.283
2024-11-01 08:15:00,5498.8125
