date,daily_min,daily_max,daily_spread,p10_price,p90_price,p90_p10_spread
2020-08-31,13.36,1939.96,1926.6000000000001,14.445,117.925,103.47999999999999
2021-02-06,1.7,1899.35,1897.6499999999999,2.7,43.0,40.3
2021-02-12,75.86,1970.74,1894.88,82.295,892.97,810.6750000000001
2021-06-14,22.52,1852.59,1830.07,22.98,438.065,415.085
2021-06-13,18.69,1820.37,1801.6799999999998,19.130000000000003,965.915,946.785
2018-07-28,18.81,1806.01,1787.2,19.44,606.89,587.4499999999999
2023-08-27,17.7,1803.81,1786.11,24.61,346.595,321.985
2011-08-08,18.82,1802.76,1783.94,22.14,81.07,58.92999999999999
2019-09-06,8.43,1778.84,1770.4099999999999,11.695,643.99,632.295
2011-05-20,-2.55,1761.7,1764.25,13.925,50.53,36.605000000000004
2019-08-14,16.36,1768.92,1752.5600000000002,17.225,276.605,259.38
2022-10-12,1.39,1734.83,1733.4399999999998,2.69,134.29,131.6
