timestamp,zone_name,lmp
2023-01-01 00:00:00,houston,-2.56
2023-01-01 00:00:00,west,-2.56
2023-01-01 00:15:00,houston,-2.34
2023-01-01 00:15:00,west,-2.34
2023-01-01 00:30:00,houston,-1.96
2023-01-01 00:30:00,west,-1.92
2023-01-01 00:45:00,houston,-1.6
2023-01-01 00:45:00,west,-1.52
2023-01-01 01:00:00,houston,-1.49
2023-01-01 01:00:00,west,-1.41
2023-01-01 01:15:00,houston,-0.75
2023-01-01 01:15:00,west,-0.68
2023-01-01 01:30:00,houston,-1.16
2023-01-01 01:30:00,west,-1.08
2023-01-01 01:45:00,houston,-1.15
2023-01-01 01:45:00,west,-1.07
2023-01-01 02:00:00,houston,-1.01
2023-01-01 02:00:00,west,-0.98
2023-01-01 02:15:00,houston,-1.17
2023-01-01 02:15:00,west,-1.17
2023-01-01 02:30:00,houston,-1.16
2023-01-01 02:30:00,west,-1.16
2023-01-01 02:45:00,houston,-1.34
2023-01-01 02:45:00,west,-1.31
2023-01-01 03:00:00,houston,-0.06
2023-01-01 03:00:00,west,0.0
2023-01-01 03:15:00,houston,0.0
2023-01-01 03:15:00,west,0.0
2023-01-01 03:30:00,houston,0.0
2023-01-01 03:30:00,west,0.0
2023-01-01 03:45:00,houston,0.0
2023-01-01 03:45:00,west,0.0
2023-01-01 04:00:00,houston,0.0
2023-01-01 04:00:00,west,0.0
2023-01-01 04:15:00,houston,-1.48
2023-01-01 04:15:00,west,-1.48
2023-01-01 04:30:00,houston,-0.87
2023-01-01 04:30:00,west,-0.87
2023-01-01 04:45:00,houston,-0.9
2023-01-01 04:45:00,west,-0.9
2023-01-01 05:00:00,houston,-1.55
2023-01-01 05:00:00,west,-1.55
2023-01-01 05:15:00,houston,-1.5
2023-01-01 05:15:00,west,-1.5
2023-01-01 05:30:00,houston,-0.3
2023-01-01 05:30:00,west,-0.3
2023-01-01 05:45:00,houston,0.62
2023-01-01 05:45:00,west,0.62
2023-01-01 06:00:00,houston,2.57
2023-01-01 06:00:00,west,1.88
2023-01-01 06:15:00,houston,2.78
2023-01-01 06:15:00,west,1.97
2023-01-01 06:30:00,houston,4.55
2023-01-01 06:30:00,west,2.54
2023-01-01 06:45:00,houston,8.2
2023-01-01 06:45:00,west,6.3
2023-01-01 07:00:00,houston,12.52
2023-01-01 07:00:00,west,9.2
2023-01-01 07:15:00,houston,16.08
2023-01-01 07:15:00,west,11.87
2023-01-01 07:30:00,houston,18.5
2023-01-01 07:30:00,west,13.55
2023-01-01 07:45:00,houston,20.06
2023-01-01 07:45:00,west,13.08
2023-01-01 08:00:00,houston,23.79
2023-01-01 08:00:00,west,16.57
2023-01-01 08:15:00,houston,18.58
2023-01-01 08:15:00,west,14.84
2023-01-01 08:30:00,houston,11.24
2023-01-01 08:30:00,west,8.4
2023-01-01 08:45:00,houston,14.97
2023-01-01 08:45:00,west,11.21
2023-01-01 09:00:00,houston,11.05
2023-01-01 09:00:00,west,10.1
2023-01-01 09:15:00,houston,2.9
2023-01-01 09:15:00,west,2.9
2023-01-01 09:30:00,houston,10.38
2023-01-01 09:30:00,west,7.95
2023-01-01 09:45:00,houston,15.6
2023-01-01 09:45:00,west,13.58
2023-01-01 10:00:00,houston,20.23
2023-01-01 10:00:00,west,20.18
2023-01-01 10:15:00,houston,24.05
2023-01-01 10:15:00,west,22.09
2023-01-01 10:30:00,houston,26.24
2023-01-01 10:30:00,west,19.82
2023-01-01 10:45:00,houston,18.25
2023-01-01 10:45:00,west,15.38
2023-01-01 11:00:00,houston,22.01
2023-01-01 11:00:00,west,16.51
2023-01-01 11:15:00,houston,22.71
2023-01-01 11:15:00,west,16.98
2023-01-01 11:30:00,houston,18.42
2023-01-01 11:30:00,west,13.82
2023-01-01 11:45:00,houston,12.67
2023-01-01 11:45:00,west,9.52
2023-01-01 12:00:00,houston,13.32
2023-01-01 12:00:00,west,10.88
2023-01-01 12:15:00,houston,16.56
2023-01-01 12:15:00,west,12.25
