timestamp,utc_timestamp,zone_name,lmp
2024-04-01 00:00:00,2024-04-01 05:00:00,west,1.88
2024-04-01 00:00:00,2024-04-01 05:00:00,west,1.59
2024-04-01 00:15:00,2024-04-01 05:15:00,west,2.86
2024-04-01 00:15:00,2024-04-01 05:15:00,west,2.55
2024-04-01 00:30:00,2024-04-01 05:30:00,west,3.1
2024-04-01 00:30:00,2024-04-01 05:30:00,west,2.8
2024-04-01 00:45:00,2024-04-01 05:45:00,west,2.0
2024-04-01 00:45:00,2024-04-01 05:45:00,west,1.7
2024-04-01 01:00:00,2024-04-01 06:00:00,west,1.93
2024-04-01 01:00:00,2024-04-01 06:00:00,west,1.6
2024-04-01 01:15:00,2024-04-01 06:15:00,west,1.14
2024-04-01 01:15:00,2024-04-01 06:15:00,west,0.825
2024-04-01 01:30:00,2024-04-01 06:30:00,west,1.46
2024-04-01 01:30:00,2024-04-01 06:30:00,west,1.13
2024-04-01 01:45:00,2024-04-01 06:45:00,west,1.3
2024-04-01 01:45:00,2024-04-01 06:45:00,west,1.03
2024-04-01 02:00:00,2024-04-01 07:00:00,west,1.18
2024-04-01 02:00:00,2024-04-01 07:00:00,west,0.94
2024-04-01 02:15:00,2024-04-01 07:15:00,west,1.94
2024-04-01 02:15:00,2024-04-01 07:15:00,west,1.7
2024-04-01 02:30:00,2024-04-01 07:30:00,west,1.87
2024-04-01 02:30:00,2024-04-01 07:30:00,west,1.66
2024-04-01 02:45:00,2024-04-01 07:45:00,west,0.48
2024-04-01 02:45:00,2024-04-01 07:45:00,west,0.37
2024-04-01 03:00:00,2024-04-01 08:00:00,west,1.35
2024-04-01 03:00:00,2024-04-01 08:00:00,west,1.21
2024-04-01 03:15:00,2024-04-01 08:15:00,west,1.85
2024-04-01 03:15:00,2024-04-01 08:15:00,west,1.74
2024-04-01 03:30:00,2024-04-01 08:30:00,west,2.05
2024-04-01 03:30:00,2024-04-01 08:30:00,west,1.91
2024-04-01 03:45:00,2024-04-01 08:45:00,west,4.19
2024-04-01 03:45:00,2024-04-01 08:45:00,west,4.06
2024-04-01 04:00:00,2024-04-01 09:00:00,west,4.46
2024-04-01 04:00:00,2024-04-01 09:00:00,west,4.25
2024-04-01 04:15:00,2024-04-01 09:15:00,west,5.75
2024-04-01 04:15:00,2024-04-01 09:15:00,west,5.54
2024-04-01 04:30:00,2024-04-01 09:30:00,west,6.34
2024-04-01 04:30:00,2024-04-01 09:30:00,west,6.09
2024-04-01 04:45:00,2024-04-01 09:45:00,west,7.32
2024-04-01 04:45:00,2024-04-01 09:45:00,west,7.14
2024-04-01 05:00:00,2024-04-01 10:00:00,west,7.17
2024-04-01 05:00:00,2024-04-01 10:00:00,west,7.01
2024-04-01 05:15:00,2024-04-01 10:15:00,west,12.66
2024-04-01 05:15:00,2024-04-01 10:15:00,west,12.77
2024-04-01 05:30:00,2024-04-01 10:30:00,west,14.4
2024-04-01 05:30:00,2024-04-01 10:30:00,west,14.36
2024-04-01 05:45:00,2024-04-01 10:45:00,west,12.02
2024-04-01 05:45:00,2024-04-01 10:45:00,west,12.06
2024-04-01 06:00:00,2024-04-01 11:00:00,west,11.01
2024-04-01 06:00:00,2024-04-01 11:00:00,west,11.04
2024-04-01 06:15:00,2024-04-01 11:15:00,west,13.11
2024-04-01 06:15:00,2024-04-01 11:15:00,west,13.35
2024-04-01 06:30:00,2024-04-01 11:30:00,west,16.37
2024-04-01 06:30:00,2024-04-01 11:30:00,west,16.66
2024-04-01 06:45:00,2024-04-01 11:45:00,west,19.16
2024-04-01 06:45:00,2024-04-01 11:45:00,west,19.48
2024-04-01 07:00:00,2024-04-01 12:00:00,west,17.64
2024-04-01 07:00:00,2024-04-01 12:00:00,west,17.93
2024-04-01 07:15:00,2024-04-01 12:15:00,west,18.1
2024-04-01 07:15:00,2024-04-01 12:15:00,west,18.42
2024-04-01 07:30:00,2024-04-01 12:30:00,west,18.1
2024-04-01 07:30:00,2024-04-01 12:30:00,west,18.42
2024-04-01 07:45:00,2024-04-01 12:45:00,west,18.08
2024-04-01 07:45:00,2024-04-01 12:45:00,west,18.4
2024-04-01 08:00:00,2024-04-01 13:00:00,west,22.48
2024-04-01 08:00:00,2024-04-01 13:00:00,west,22.83
2024-04-01 08:15:00,2024-04-01 13:15:00,west,21.37
2024-04-01 08:15:00,2024-04-01 13:15:00,west,21.55
2024-04-01 08:30:00,2024-04-01 13:30:00,west,22.58
2024-04-01 08:30:00,2024-04-01 13:30:00,west,22.69
2024-04-01 08:45:00,2024-04-01 13:45:00,west,22.82
2024-04-01 08:45:00,2024-04-01 13:45:00,west,23.055
2024-04-01 09:00:00,2024-04-01 14:00:00,west,18.73
2024-04-01 09:00:00,2024-04-01 14:00:00,west,18.95
2024-04-01 09:15:00,2024-04-01 14:15:00,west,21.45
2024-04-01 09:15:00,2024-04-01 14:15:00,west,21.56
2024-04-01 09:30:00,2024-04-01 14:30:00,west,24.32
2024-04-01 09:30:00,2024-04-01 14:30:00,west,24.6
2024-04-01 09:45:00,2024-04-01 14:45:00,west,21.64
2024-04-01 09:45:00,2024-04-01 14:45:00,west,21.965
2024-04-01 10:00:00,2024-04-01 15:00:00,west,21.95
2024-04-01 10:00:00,2024-04-01 15:00:00,west,22.26
2024-04-01 10:15:00,2024-04-01 15:15:00,west,20.49
2024-04-01 10:15:00,2024-04-01 15:15:00,west,20.79
2024-04-01 10:30:00,2024-04-01 15:30:00,west,20.67
2024-04-01 10:30:00,2024-04-01 15:30:00,west,20.89
2024-04-01 10:45:00,2024-04-01 15:45:00,west,18.99
2024-04-01 10:45:00,2024-04-01 15:45:00,west,19.33
2024-04-01 11:00:00,2024-04-01 16:00:00,west,17.82
2024-04-01 11:00:00,2024-04-01 16:00:00,west,18.14
2024-04-01 11:15:00,2024-04-01 16:15:00,west,20.22
2024-04-01 11:15:00,2024-04-01 16:15:00,west,20.54
2024-04-01 11:30:00,2024-04-01 16:30:00,west,18.65
2024-04-01 11:30:00,2024-04-01 16:30:00,west,18.74
2024-04-01 11:45:00,2024-04-01 16:45:00,west,18.41
2024-04-01 11:45:00,2024-04-01 16:45:00,west,18.33
2024-04-01 12:00:00,2024-04-01 17:00:00,west,16.31
2024-04-01 12:00:00,2024-04-01 17:00:00,west,16.18
2024-04-01 12:15:00,2024-04-01 17:15:00,west,17.72
2024-04-01 12:15:00,2024-04-01 17:15:00,west,17.62
