date,fuel_type,avg_generation_mw,avg_percentage_of_total
2023-12-01,Gas,44217.208333333336,0.4424166666666667
2023-12-01,Nuclear,33759.458333333336,0.3387083333333334
2023-12-01,Coal,15353.041666666666,0.15391666666666667
2023-12-01,Wind,3320.125,0.032208333333333346
2023-12-01,Hydro,1693.5,0.017375000000000005
2023-12-01,Other Renewables,672.8333333333334,0.010000000000000004
2023-12-01,Multiple Fuels,376.4166666666667,0.0011666666666666668
2023-12-01,Solar,277.8333333333333,0.0024583333333333336
2023-12-01,Oil,243.375,0.0
2023-12-01,Storage,3.2916666666666665,0.0
2023-12-02,Gas,38986.5,0.42624999999999996
2023-12-02,Nuclear,33729.25,0.369875
2023-12-02,Coal,13978.0,0.15312499999999996
2023-12-02,Wind,1651.6666666666667,0.017250000000000005
2023-12-02,Hydro,1366.5833333333333,0.015
2023-12-02,Other Renewables,660.625,0.010000000000000004
2023-12-02,Multiple Fuels,347.7916666666667,0.0
2023-12-02,Solar,244.625,0.0023750000000000004
2023-12-02,Oil,238.33333333333334,0.0
2023-12-02,Storage,2.2916666666666665,0.0
2023-12-03,Gas,36765.166666666664,0.4135416666666667
2023-12-03,Nuclear,33712.541666666664,0.3804166666666666
2023-12-03,Coal,12799.333333333334,0.14366666666666666
2023-12-03,Wind,2750.7083333333335,0.030000000000000002
2023-12-03,Hydro,1348.625,0.014583333333333337
2023-12-03,Other Renewables,654.5833333333334,0.010000000000000004
2023-12-03,Multiple Fuels,345.875,0.0
2023-12-03,Solar,229.16666666666666,0.002625
2023-12-03,Oil,222.41666666666666,0.0
2023-12-03,Storage,1.25,0.0
2023-12-04,Gas,41501.333333333336,0.4316250000000001
2023-12-04,Nuclear,33753.083333333336,0.3530416666666667
2023-12-04,Coal,15039.458333333334,0.15641666666666668
2023-12-04,Wind,2051.0,0.021708333333333343
2023-12-04,Hydro,1529.25,0.016166666666666666
2023-12-04,Solar,715.9583333333334,0.006958333333333333
2023-12-04,Other Renewables,667.4583333333334,0.010000000000000004
2023-12-04,Multiple Fuels,352.0,0.0
2023-12-04,Oil,252.25,0.0
2023-12-04,Storage,2.25,0.0
