hour_ending_local,avg_loss,avg_abs_loss,avg_lmp,avg_abs_lmp,avg_abs_loss_share
0,1.8140762362637395,1.8232154304029338,33.45867292429784,33.45867292429784,0.05413535687574648
1,1.6106320395738176,1.613042998477927,30.722127092846303,30.722127092846303,0.05158664511425969
2,1.4745301499846966,1.476127946127947,28.982015993266018,28.982015993266018,0.04971412661991929
3,1.4009664987790031,1.4009664987790031,27.847283272283263,27.847283272283263,0.04884522015427354
4,1.3672283272283285,1.3674160561660573,27.999953449328494,27.999953449328494,0.04796018317041615
5,1.5544986263736218,1.5551030219780169,30.359355158730164,30.495280067155093,0.04983430238288554
6,1.934851953601947,1.9355158730158666,35.09539396367525,35.207184256715536,0.05429441479200023
7,2.333888125763121,2.3350511294261254,40.490798611111046,40.5048187576312,0.05910629626102931
8,2.2996924603174578,2.2996924603174578,39.82543765262514,39.82543765262514,0.060216515819507196
9,2.1874702380952398,2.1887614468864487,37.461739735958474,37.461739735958474,0.06135540130279527
10,2.335077991452994,2.3378710317460345,40.006490079365015,40.03198000610496,0.06360092534691197
11,2.395205280830286,2.399152167277172,38.483027701465275,38.49784455128213,0.06418525730033083
12,2.4073378357753397,2.4082764804639845,39.02876831501818,39.06188186813174,0.06498212909132535
13,2.4527871260683773,2.4527871260683773,39.015784302502965,39.015784302502965,0.06501997036483405
14,2.5109235729548303,2.5137211920024494,40.811171779609126,40.811171779609126,0.06579467100066495
15,2.770779914529913,2.770779914529913,43.14180898962158,43.14180898962158,0.06639336398705763
16,3.0754262057387125,3.0762870115995185,47.281057692307854,47.281057692307854,0.06698975643441331
17,3.811256868131869,3.8118200549450556,57.90261694902312,57.91168746184363,0.06814176525927752
18,3.755964781746027,3.755964781746027,57.06284130799771,57.06284130799771,0.06711227786657108
19,3.2372226037851055,3.2391639957264977,53.41868933150203,53.41868933150203,0.06454635322316249
20,2.8432650335775347,2.8449637515262522,47.832369887057254,47.832369887057254,0.06259065865289695
21,2.4685313644688667,2.4693143315018338,41.41504273504266,41.41504273504266,0.06110663499479187
22,2.2102880799755757,2.210924526862023,37.16282547313803,37.16282547313803,0.06027361048500133
23,2.007046703296705,2.008214285714287,34.719206730769294,34.719206730769294,0.057634399881980526
