timestamp_utc,timestamp,pnode_name,type,zone,total_lmp_da,system_energy_price_da,congestion_price_da,marginal_loss_price_da
2023-07-01 00:00:00+00:00,2023-06-30 20:00:00,AEP-DAYTON HUB,HUB,NaN,40.314219,36.79,3.04729,0.476929
2023-07-01 01:00:00+00:00,2023-06-30 21:00:00,AEP-DAYTON HUB,HUB,NaN,35.923705,33.22,2.248563,0.455142
2023-07-01 02:00:00+00:00,2023-06-30 22:00:00,AEP-DAYTON HUB,HUB,NaN,31.655711,29.69,1.263442,0.702269
2023-07-01 03:00:00+00:00,2023-06-30 23:00:00,AEP-DAYTON HUB,HUB,NaN,29.163051,27.36,1.085041,0.71801
2023-07-01 04:00:00+00:00,2023-07-01 00:00:00,AEP-DAYTON HUB,HUB,NaN,25.341971,24.12,0.809286,0.412685
2023-07-01 05:00:00+00:00,2023-07-01 01:00:00,AEP-DAYTON HUB,HUB,NaN,22.835791,21.42,1.025172,0.390619
2023-07-01 06:00:00+00:00,2023-07-01 02:00:00,AEP-DAYTON HUB,HUB,NaN,21.305871,20.08,0.799801,0.42607
2023-07-01 07:00:00+00:00,2023-07-01 03:00:00,AEP-DAYTON HUB,HUB,NaN,19.844619,18.65,0.78284,0.411779
2023-07-01 08:00:00+00:00,2023-07-01 04:00:00,AEP-DAYTON HUB,HUB,NaN,19.393156,18.44,0.569857,0.383299
2023-07-01 09:00:00+00:00,2023-07-01 05:00:00,AEP-DAYTON HUB,HUB,NaN,18.820378,17.87,0.598262,0.352116
2023-07-01 10:00:00+00:00,2023-07-01 06:00:00,AEP-DAYTON HUB,HUB,NaN,18.571103,17.7,0.547234,0.323869
2023-07-01 11:00:00+00:00,2023-07-01 07:00:00,AEP-DAYTON HUB,HUB,NaN,19.551648,18.49,0.636283,0.425365
2023-07-01 12:00:00+00:00,2023-07-01 08:00:00,AEP-DAYTON HUB,HUB,NaN,24.445167,22.95,1.0001,0.495067
2023-07-01 13:00:00+00:00,2023-07-01 09:00:00,AEP-DAYTON HUB,HUB,NaN,27.39049,25.68,1.235073,0.475417
2023-07-01 14:00:00+00:00,2023-07-01 10:00:00,AEP-DAYTON HUB,HUB,NaN,28.425155,26.68,1.372629,0.372526
2023-07-01 15:00:00+00:00,2023-07-01 11:00:00,AEP-DAYTON HUB,HUB,NaN,31.962163,29.85,1.716078,0.396085
2023-07-01 16:00:00+00:00,2023-07-01 12:00:00,AEP-DAYTON HUB,HUB,NaN,33.599547,31.24,2.044012,0.315535
2023-07-01 17:00:00+00:00,2023-07-01 13:00:00,AEP-DAYTON HUB,HUB,NaN,34.587064,32.39,1.807083,0.389981
2023-07-01 18:00:00+00:00,2023-07-01 14:00:00,AEP-DAYTON HUB,HUB,NaN,35.358632,33.54,1.422615,0.396017
