zone_name,hour_of_day,avg_hourly_price,count
houston,0,18.959171232876713,1460
houston,1,17.5670081967213,1464
houston,2,16.676778846153844,1456
houston,3,16.631657534246553,1460
houston,4,17.797109589041074,1460
houston,5,21.164157534246566,1460
houston,6,27.724342465753452,1460
houston,7,25.69234931506846,1460
houston,8,21.875739726027405,1460
houston,9,21.10299315068491,1460
houston,10,21.88549315068492,1460
houston,11,23.94711643835618,1460
houston,12,26.113506849315048,1460
houston,13,35.1011506849315,1460
houston,14,59.3467739726026,1460
houston,15,88.7480479452055,1460
houston,16,130.36978767123276,1460
houston,17,111.8804315068494,1460
houston,18,121.9221712328769,1460
houston,19,192.18145890410975,1460
houston,20,97.07284246575341,1460
houston,21,30.747780821917786,1460
houston,22,24.641958904109597,1460
houston,23,20.78910958904111,1460
west,0,22.11013698630137,1460
west,1,20.640437158469968,1464
west,2,20.1357967032967,1456
west,3,20.125109589041127,1460
west,4,21.993013698630126,1460
west,5,25.977034246575407,1460
west,6,31.35808904109587,1460
west,7,29.95455479452054,1460
west,8,20.942116438356162,1460
west,9,18.306917808219172,1460
west,10,18.269390410958884,1460
west,11,19.478835616438356,1460
west,12,21.601109589041105,1460
west,13,29.50529452054795,1460
west,14,51.71243835616438,1460
west,15,76.94947260273968,1460
west,16,116.24010273972603,1460
west,17,105.44432876712335,1460
west,18,125.37398630137004,1460
west,19,201.5165890410959,1460
west,20,104.55244520547967,1460
west,21,34.55171232876711,1460
west,22,26.916267123287685,1460
west,23,23.05315753424657,1460
