month,hour_of_day,avg_loss_component,avg_total_lmp,avg_loss_percentage_of_lmp,observation_count
1,0,2.84075268817204,54.69908602150541,5.161588197832475,372
1,1,2.5736693548387115,50.13091397849465,4.939188721902461,372
1,2,2.406061827956989,46.12657258064512,4.9950887442118015,372
1,3,2.336420250896055,42.84703405017919,5.082217565813294,372
1,4,2.128655913978493,44.20117383512547,4.821708740763793,372
1,5,2.5613978494623653,47.783870967741954,5.161597478540785,372
1,6,3.2665725806451595,55.7701075268817,5.746367379170729,372
1,7,4.260770609318995,66.12357526881718,6.212530934623189,372
1,8,3.9456989247311864,65.38396505376348,6.146121008717972,372
1,9,3.348181003584226,65.9043055555555,5.745794659890098,372
1,10,4.2347045045045055,80.17003243243252,5.989615354965525,370
1,11,4.137813620071683,75.25409498207883,5.761247043512302,372
1,12,4.074569892473121,75.03950268817204,6.310764381127416,372
1,13,3.8743906810035837,74.18377240143366,5.555680783293926,372
1,14,3.586693548387098,83.06675179211469,5.343191367734902,372
1,15,3.5726792114695365,70.13139784946235,5.61782172539587,372
1,16,4.465649641577061,80.19363799283146,5.826194684923896,372
1,17,4.894704301075269,81.99409498207879,6.320090985967081,372
1,18,4.4447311827957,80.83118279569887,5.977468983293742,372
1,19,3.9176030465949827,85.520958781362,5.801379530719972,372
1,20,3.7587724014336934,87.97226702508955,5.420956248437673,372
1,21,3.2656182795698916,68.11419354838709,5.4076975502818225,372
1,22,3.2181496415770603,61.669211469534076,5.622437461132548,372
1,23,3.2154166666666644,58.56743279569894,5.679430637754591,372
2,0,1.497529761904761,26.581071428571416,5.785716669340025,336
2,1,1.3468601190476193,26.255089285714273,5.279200884719031,336
2,2,1.2781150793650775,25.264067460317452,5.196597431384121,336
2,3,1.2705357142857145,25.74776785714284,5.026489415590813,336
2,4,1.3657142857142852,27.00690476190476,5.0567240972013945,336
2,5,1.5960119047619041,28.567604166666676,5.686366610050682,336
2,6,2.328829365079366,36.88663690476191,6.36872377355292,336
2,7,2.4953521825396856,36.702881944444435,6.907597863269139,336
2,8,2.3634077380952365,34.586874999999985,7.038069762690012,336
2,9,2.124791666666666,32.821726190476205,6.858867032536448,336
2,10,2.044940476190475,32.394107142857166,6.621744120330243,336
2,11,1.9499107142857155,33.368288690476156,6.355244958621908,336
2,12,1.7716467065868264,33.89482035928146,6.297205800569779,334
2,13,1.6812599206349192,28.165059523809532,6.2761534731992885,336
2,14,1.6989285714285716,28.183035714285694,6.432571881522189,336
2,15,1.810615079365078,29.02939484126982,6.567116316394977,336
2,16,2.118382936507938,31.36101686507938,6.978156381021508,336
2,17,2.692708333333332,37.40659226190475,7.239303348128293,336
2,18,3.191183035714284,44.95361359126985,7.323212451998844,336
2,19,2.8724652777777777,41.740788690476144,7.097101294824471,336
2,20,2.8348363095238107,44.37754464285712,6.747342975214692,336
2,21,2.1644841269841266,35.45022321428576,6.447938781834657,336
2,22,1.8673412698412686,30.92056547619047,6.330078046010361,336
2,23,1.6596924603174574,27.214370039682564,6.211508565484996,336
3,0,0.8865143369175627,24.009036738351256,3.7315499816021966,372
3,1,0.7783422939068096,23.217356630824362,3.4149463598444867,372
3,2,0.6989722222222223,22.100333333333342,3.1837255252349386,360
3,3,0.6830107526881722,21.343118279569882,3.193165226079779,372
3,4,0.7227419354838713,22.91290322580644,3.1280841080047095,372
3,5,0.8638888888888893,24.920331541218637,3.4587694444714767,372
3,6,1.2304301075268829,27.382356630824386,4.3996948961297555,372
3,7,1.7788037634408618,34.833024193548376,5.105379135187429,372
3,8,2.370761648745519,46.18656810035842,4.99763421680606,372
3,9,1.3301702508960573,27.236922043010743,4.87683019444397,372
3,10,1.281989247311828,25.34572580645164,5.01365273934343,372
