hour_ending,n,avg_abs_losses,avg_abs_losses_share,avg_losses,avg_lmp
17,4368,3.8118200549450587,0.0681417652592777,3.8112568681318733,57.90261694902322
18,4368,3.7559647817460307,0.06711227786657115,3.7559647817460307,57.06284130799756
16,4368,3.07628701159952,0.06698975643441361,3.0754262057387134,47.28105769230769
15,4368,2.770779914529916,0.06639336398705722,2.770779914529916,43.14180898962154
14,4368,2.5137211920024374,0.06579467100066505,2.5109235729548183,40.8111717796092
13,4368,2.452787126068375,0.06501997036483396,2.452787126068375,39.01578430250295
12,4368,2.4082764804639805,0.06498212909132527,2.4073378357753357,39.0287683150183
19,4368,3.2404758089133074,0.06457024650507784,3.2385344169719157,53.42908081501858
11,4368,2.39915216727717,0.06418525730033078,2.395205280830284,38.483027701465154
10,4368,2.3378710317460354,0.06360092534691202,2.335077991452995,40.00649007936503
20,4368,2.845877213064719,0.0626258963164438,2.8441784951160005,47.82324900793647
9,4368,2.188761446886449,0.061355401302795355,2.18747023809524,37.461739735958496
21,4368,2.46947229853479,0.061122440271600756,2.468689331501823,41.406317918192805
22,4368,2.21222489316239,0.0603083534744478,2.2115884462759428,37.1641693376069
8,4368,2.299692460317459,0.060216515819507,2.299692460317459,39.82543765262516
7,4368,2.3350511294261316,0.059106296261029166,2.333888125763128,40.49079861111101
23,4368,2.0101419413919426,0.05767869643474612,2.0089743589743603,34.72957989926733
6,4368,1.9355158730158715,0.05429441479200027,1.9348519536019526,35.095393963675136
0,4368,1.8232154304029315,0.054135356875746485,1.8140762362637373,33.4586729242979
1,4380,1.6130429984779266,0.051586645114259554,1.6106320395738172,30.722127092846296
5,4368,1.5551030219780195,0.04983430238288559,1.5544986263736245,30.359355158730146
2,4356,1.476127946127947,0.04971412661991923,1.4745301499846968,28.98201599326605
3,4368,1.4009664987790038,0.04884522015427353,1.4009664987790038,27.847283272283196
4,4368,1.367416056166057,0.0479601831704161,1.367228327228328,27.99995344932851
