year,month,avg_price,median_price,p75_price,p90_price,max_price
2021,1,20.42257392473117,17.96,21.77,28.115000000000002,704.26
2021,2,1531.1820238095256,20.465,441.7275,8992.899000000001,9310.49
2021,3,16.56265814266484,15.73,19.2325,23.956000000000003,768.64
2021,4,39.19919444444438,18.34,25.335,35.133,2011.48
2021,5,20.156011424731204,18.54,21.96,27.83,942.95
2021,6,36.37874652777783,23.41,30.012500000000003,36.281,1852.59
2021,7,36.72727486559145,29.44,36.98,46.42,704.48
2021,8,33.817090053763465,31.5,39.442499999999995,46.03,899.57
2021,9,38.98149305555559,38.260000000000005,47.12,59.79699999999999,439.24
2021,10,37.1699731182796,36.58,52.81,69.345,981.28
2021,11,37.102825936199665,31.715,46.1,70.18100000000001,994.09
2021,12,21.36080309139787,23.59,29.94,39.14,907.76
2022,1,25.93684811827957,25.12,35.2225,43.165,501.71
2022,2,43.270494791666636,25.86,37.6025,49.228000000000016,4041.87
2022,3,25.566763122476416,22.96,35.055,55.035000000000004,766.24
2022,4,36.66175694444438,26.84,48.489999999999995,68.142,3601.17
2022,5,66.42314852150533,50.29,70.72749999999999,85.45,4607.17
2022,6,57.50799652777777,58.345,76.13499999999999,86.98100000000001,287.53
2022,7,145.11908266129058,64.81,82.6425,130.185,5500.35
2022,8,88.78133064516139,78.995,88.39750000000001,117.15,975.83
2022,9,63.36492361111121,59.870000000000005,74.3925,82.81,727.07
2022,10,45.65592741935476,42.33,53.4175,63.915,1734.83
2022,11,36.27825589459082,33.96,53.09,69.77100000000002,893.07
2022,12,52.29204973118279,33.465,50.58,68.755,4008.75
2023,1,20.558659274193538,16.925,26.384999999999998,38.209999999999994,733.82
2023,2,17.701134672619023,13.215,23.83,45.064000000000014,330.24
2023,3,27.237937415881543,17.96,29.6125,56.11300000000001,939.57
2023,4,18.31017361111112,13.375,21.8825,33.373999999999995,466.63
2023,5,30.010369623655862,21.985,27.2075,46.63,1973.5
2023,6,61.58677430555558,21.715,27.4725,57.223,5272.33
2023,7,42.79558467741932,24.69,31.69,63.21,3943.63
2023,8,196.36763440860176,32.004999999999995,69.9575,278.45,5236.81
2023,9,89.25598958333336,25.525,38.71,73.07199999999997,5333.97
2023,10,29.65733870967741,22.41,31.192500000000003,49.185,1279.69
2023,11,31.29522191400833,23.605,37.835,57.71200000000007,968.61
2023,12,25.586391129032247,17.81,28.09,54.105000000000004,886.14
2024,1,34.34904569892467,22.13,35.175,74.855,1174.66
2024,2,15.672000718390796,10.55,20.5425,39.27600000000002,343.33
2024,3,26.422284656796755,15.84,36.0925,67.122,944.62
2024,4,22.778552083333363,10.265,20.2125,42.205999999999996,2415.32
2024,5,34.75714381720429,18.375,29.0925,61.56,4981.33
2024,6,25.014003472222264,21.095,29.405,46.514999999999986,615.59
2024,7,22.966767473118317,20.57,25.9325,37.245000000000005,427.83
2024,8,37.50457661290324,23.205,31.15,48.894999999999996,4844.87
2024,9,27.125975694444453,21.33,27.9825,43.001999999999995,497.75
2024,10,22.459771505376377,18.28,28.24,44.03,571.33
2024,11,30.495995145631078,20.175,30.415,51.53900000000002,3904.26
2024,12,28.929438844086054,26.735,36.515,50.010000000000005,1613.07
