year,month,hour,avg_solar_generation_mw,data_points
2021,1,0,0.012390739837398374,123
2021,1,1,0.012295548387096773,124
2021,1,2,0.012285548387096773,124
2021,1,3,0.024422282258064514,124
2021,1,4,0.03737316935483871,124
2021,1,5,0.02100791935483871,124
2021,1,6,0.012193104838709676,124
2021,1,7,0.4247014999999999,124
2021,1,8,120.60378858064514,124
2021,1,9,535.2103792661292,124
2021,1,10,689.1187240322581,124
2021,1,11,734.0222438467744,124
2021,1,12,744.0806845967742,124
2021,1,13,752.7068128951613,124
2021,1,14,758.2827210483871,124
2021,1,15,739.9584225483871,124
2021,1,16,619.5114982903225,124
2021,1,17,249.44427512096775,124
2021,1,18,9.14099381451613,124
2021,1,19,0.4668292016129032,124
2021,1,20,0.08632501612903225,124
2021,1,21,0.02612398387096774,124
2021,1,22,0.012341935483870968,124
2021,1,23,0.012414516129032258,124
2021,2,0,2.806249999999999e-05,112
2021,2,1,2.614285714285714e-05,112
2021,2,2,5.458035714285715e-05,112
2021,2,3,0.006597383928571428,112
2021,2,4,0.010406330357142857,112
2021,2,5,0.045915205357142864,112
2021,2,6,0.04652675,112
2021,2,7,4.2431129017857145,112
2021,2,8,198.1878518482143,112
2021,2,9,555.6701995535715,112
2021,2,10,663.8360888303572,112
2021,2,11,718.4618846339288,112
2021,2,12,740.9822397142858,112
2021,2,13,726.4808220714286,112
2021,2,14,716.3275717321429,112
2021,2,15,698.2403893660714,112
2021,2,16,632.3991349821429,112
2021,2,17,411.3847971339287,112
2021,2,18,62.07049583035713,112
2021,2,19,0.2985627589285715,112
2021,2,20,0.021521669642857143,112
2021,2,21,0.017660633928571427,112
2021,2,22,0.05618474107142857,112
2021,2,23,0.022050875,112
2021,3,0,0.0006110080645161291,124
2021,3,1,6.988709677419355e-05,124
2021,3,2,6.803225806451612e-05,124
2021,3,3,7.201612903225807e-05,124
2021,3,4,0.0011828467741935484,124
2021,3,5,0.025482693548387093,124
2021,3,6,0.029753258064516133,124
2021,3,7,13.726864548387095,124
2021,3,8,259.7098038306451,124
2021,3,9,717.5995309838711,124
2021,3,10,842.5334229354839,124
2021,3,11,873.0135753548386,124
2021,3,12,904.7150249032258,124
2021,3,13,910.9108158306452,124
2021,3,14,921.4035158548387,124
2021,3,15,923.488610532258,124
2021,3,16,896.2796071451611,124
2021,3,17,789.845688403226,124
2021,3,18,532.8860154435484,124
2021,3,19,160.91251044354837,124
2021,3,20,2.5478167177419353,124
2021,3,21,0.14767410483870969,124
2021,3,22,0.00015269354838709677,124
2021,3,23,0.0001529032258064516,124
2021,4,0,1.2333333333333333e-05,120
2021,4,1,0.00012928333333333332,120
2021,4,2,1.7316666666666666e-05,120
2021,4,3,1.885e-05,120
2021,4,4,2.0416666666666667e-05,120
2021,4,5,0.012645566666666667,120
2021,4,6,0.061624000000000005,120
2021,4,7,10.100073766666666,120
2021,4,8,238.90998133333335,120
2021,4,9,590.6141927416667,120
2021,4,10,719.9385313416667,120
2021,4,11,801.7104966583333,120
2021,4,12,885.7175472416665,120
2021,4,13,928.2453951416666,120
2021,4,14,932.8209802666668,120
2021,4,15,904.1847605416667,120
2021,4,16,860.6821189833333,120
2021,4,17,768.941142325,120
2021,4,18,599.4217873916667,120
2021,4,19,271.6090424083333,120
2021,4,20,14.604347224999998,120
2021,4,21,0.10556340833333334,120
2021,4,22,4.965000000000001e-05,120
2021,4,23,2.2466666666666666e-05,120
2021,5,0,0.013063693548387097,124
2021,5,1,0.013171951612903226,124
2021,5,2,0.012086524193548385,124
2021,5,3,0.012313596774193549,124
2021,5,4,0.013365032258064518,124
2021,5,5,0.01059533870967742,124
2021,5,6,0.12350187096774191,124
2021,5,7,63.10553206451613,124
2021,5,8,441.73692379838707,124
2021,5,9,730.6281667419355,124
2021,5,10,866.979252669355,124
2021,5,11,1018.2154131854842,124
2021,5,12,1132.0378112903225,124
2021,5,13,1183.0408209032255,124
2021,5,14,1206.7588260483872,124
2021,5,15,1173.6193350725807,124
2021,5,16,1096.897107346774,124
2021,5,17,981.3334566290322,124
2021,5,18,836.6011554596776,124
2021,5,19,493.5556631129033,124
2021,5,20,65.93435745161291,124
2021,5,21,0.05294848387096774,124
2021,5,22,0.020012750000000006,124
2021,5,23,0.01615943548387097,124
2021,6,0,0.15206239999999996,120
2021,6,1,0.20564929166666668,120
2021,6,2,0.32561829166666667,120
2021,6,3,0.3205808916666667,120
2021,6,4,0.2790681333333333,120
2021,6,5,0.17390377499999993,120
2021,6,6,0.5724188416666666,120
2021,6,7,124.50524724166668,120
2021,6,8,666.6943020333334,120
2021,6,9,993.3293936083332,120
2021,6,10,1186.5714813666666,120
2021,6,11,1316.2069807916666,120
2021,6,12,1361.9520675166661,120
2021,6,13,1370.2390006083335,120
2021,6,14,1360.9667956166668,120
2021,6,15,1325.210823425,120
2021,6,16,1279.0990276333332,120
2021,6,17,1206.0796719833331,120
2021,6,18,1065.9836057583334,120
2021,6,19,703.4829745666667,120
2021,6,20,152.61138345833334,120
2021,6,21,1.3620215416666663,120
2021,6,22,0.4236097583333333,120
2021,6,23,0.15556026666666664,120
2021,7,0,0.24644718548387093,124
2021,7,1,0.26107387096774193,124
2021,7,2,0.2656968225806452,124
2021,7,3,0.22238884677419357,124
2021,7,4,0.2698315967741935,124
2021,7,5,0.2115924516129032,124
2021,7,6,0.19178859677419358,124
2021,7,7,79.61983048387097,124
2021,7,8,620.1559609919353,124
2021,7,9,1118.123731362903,124
2021,7,10,1310.394815096774,124
2021,7,11,1397.7466430483869,124
2021,7,12,1437.520850403226,124
2021,7,13,1458.060337193548,124
2021,7,14,1464.18242625,124
2021,7,15,1444.074221830645,124
2021,7,16,1389.6706998145162,124
2021,7,17,1309.2608962661286,124
2021,7,18,1158.0881165645167,124
2021,7,19,751.9771103064518,124
2021,7,20,156.79556344354836,124
2021,7,21,0.37054075806451614,124
2021,7,22,0.4179848225806453,124
2021,7,23,0.3983404758064516,124
2021,8,0,0.0007176451612903224,124
2021,8,1,0.0003540725806451613,124
2021,8,2,0.0003216532258064516,124
2021,8,3,0.0003810967741935484,124
2021,8,4,0.0003920887096774194,124
2021,8,5,0.00038598387096774195,124
2021,8,6,0.0004114112903225807,124
2021,8,7,24.20744548387097,124
2021,8,8,486.5741810080646,124
2021,8,9,1073.1706769435484,124
2021,8,10,1282.4050856774195,124
2021,8,11,1404.6165113790323,124
2021,8,12,1447.1481504596773,124
2021,8,13,1437.883295467742,124
2021,8,14,1424.3112551532258,124
2021,8,15,1373.3087395645164,124
2021,8,16,1299.0264263064516,124
2021,8,17,1165.7754894435484,124
2021,8,18,964.0333884516132,124
2021,8,19,492.1563347258065,124
2021,8,20,44.512465137096775,124
2021,8,21,0.09519092741935485,124
2021,8,22,0.028324346774193546,124
2021,8,23,0.0005203548387096774,124
2021,9,0,0.0015310166666666666,120
2021,9,1,0.00031775000000000005,120
2021,9,2,0.00020497500000000004,120
2021,9,3,0.0005666416666666666,120
2021,9,4,0.000205725,120
2021,9,5,0.000154725,120
2021,9,6,0.00021580833333333333,120
2021,9,7,5.436614841666666,120
2021,9,8,371.61090065000013,120
2021,9,9,1174.1066977083333,120
2021,9,10,1475.3158772166666,120
2021,9,11,1577.3794131333334,120
2021,9,12,1596.7601930916671,120
2021,9,13,1576.1152142083336,120
2021,9,14,1541.7534643666665,120
2021,9,15,1499.45991515,120
2021,9,16,1437.9152236416664,120
2021,9,17,1321.5571060500001,120
2021,9,18,948.7213666833334,120
2021,9,19,232.31776426666667,120
2021,9,20,1.2649123083333336,120
2021,9,21,0.0003760416666666667,120
2021,9,22,0.0011061,120
2021,9,23,0.00032114999999999997,120
2021,10,0,0.0014441612903225809,124
2021,10,1,0.003483766129032258,124
2021,10,2,0.004551314516129031,124
2021,10,3,0.004539209677419355,124
2021,10,4,0.002825999999999999,124
2021,10,5,0.005613080645161291,124
2021,10,6,0.02232878225806453,124
2021,10,7,0.4775587983870967,124
2021,10,8,163.7285605241935,124
2021,10,9,871.6274867903225,124
2021,10,10,1187.4341587258066,124
2021,10,11,1287.082466467742,124
2021,10,12,1349.4876212903225,124
2021,10,13,1345.3602180483872,124
2021,10,14,1317.0807314999997,124
2021,10,15,1299.407027201613,124
2021,10,16,1259.0947064677418,124
2021,10,17,1095.7573584919355,124
2021,10,18,536.7246113790325,124
2021,10,19,31.232662483870964,124
2021,10,20,0.22865694354838706,124
2021,10,21,0.009581016129032262,124
2021,10,22,0.0012429758064516129,124
2021,10,23,0.0004904677419354839,124
2021,11,0,0.0006271333333333333,120
2021,11,1,0.0010326500000000002,120
2021,11,2,0.0006539291666666665,120
2021,11,3,0.0005157083333333335,120
2021,11,4,0.0005086416666666666,120
2021,11,5,0.0006714416666666667,120
2021,11,6,0.0014971583333333331,120
2021,11,7,26.050090816666668,120
2021,11,8,461.63465407499984,120
2021,11,9,1012.5471562000001,120
2021,11,10,1169.919532891667,120
2021,11,11,1214.2261875833333,120
2021,11,12,1218.61356715,120
2021,11,13,1242.8199979083336,120
2021,11,14,1256.5419230833331,120
2021,11,15,1196.001751283333,120
2021,11,16,945.2244764416664,120
2021,11,17,340.4288806916666,120
2021,11,18,47.27606148333334,120
2021,11,19,0.4534136500000001,120
2021,11,20,0.020078541666666668,120
2021,11,21,0.0028814916666666662,120
2021,11,22,0.0015415916666666669,120
2021,11,23,0.0010090166666666665,120
2021,12,0,0.040503782258064516,124
2021,12,1,0.01026709677419355,124
2021,12,2,0.009123193548387094,124
2021,12,3,0.00865273387096774,124
2021,12,4,0.00889773387096774,124
2021,12,5,0.03269619354838711,124
2021,12,6,0.13675348387096772,124
2021,12,7,2.6383888629032266,124
2021,12,8,235.28226125000003,124
2021,12,9,829.115580201613,124
2021,12,10,1059.5131095806453,124
2021,12,11,1088.0300491451612,124
2021,12,12,1073.2472700403225,124
2021,12,13,1059.2320345887101,124
2021,12,14,1061.788873774194,124
2021,12,15,1031.5752646935482,124
2021,12,16,792.3145760887097,124
2021,12,17,178.30557623387097,124
2021,12,18,0.6962809193548386,124
2021,12,19,0.06628812096774193,124
2021,12,20,0.016765088709677422,124
2021,12,21,0.013552282258064522,124
2021,12,22,0.02667025,124
2021,12,23,0.06893825806451612,124
