utc_ts,fuel_category,generation_mw
2024-01-09 12:15:00+00:00,wind,4695.975014
2024-01-09 12:30:00+00:00,wind,4603.632013
2024-01-09 12:45:00+00:00,wind,4548.792313
2024-01-09 13:00:00+00:00,wind,4555.308224
2024-01-09 13:15:00+00:00,wind,4557.126661
2024-01-09 13:30:00+00:00,wind,4571.917624
2024-01-09 13:45:00+00:00,wind,4638.938217
2024-01-09 14:00:00+00:00,wind,4569.514728
2024-01-09 14:15:00+00:00,wind,4425.606803
2024-01-09 14:30:00+00:00,wind,4357.57487
2024-01-09 14:45:00+00:00,wind,4232.084691
2024-01-09 15:00:00+00:00,wind,4093.658226
2024-01-09 15:15:00+00:00,wind,3911.393912
2024-01-09 15:30:00+00:00,wind,3699.614551
2024-01-09 15:45:00+00:00,wind,3491.835343
2024-01-09 16:00:00+00:00,wind,3252.984483
2024-01-09 16:15:00+00:00,wind,3000.211255
2024-01-09 16:30:00+00:00,wind,2735.859321
2024-01-09 16:45:00+00:00,wind,2445.279153
2024-01-09 17:00:00+00:00,wind,2089.678252
2024-01-09 17:15:00+00:00,wind,1741.638102
2024-01-09 17:30:00+00:00,wind,1367.530517
2024-01-09 17:45:00+00:00,wind,1125.989909
2024-01-09 18:00:00+00:00,wind,1020.730655
2024-01-09 18:15:00+00:00,wind,983.095079
2024-01-09 18:30:00+00:00,wind,973.849269
2024-01-09 18:45:00+00:00,wind,992.288674
2024-01-09 19:00:00+00:00,wind,1049.633118
2024-01-09 19:15:00+00:00,wind,1147.154366
2024-01-09 19:30:00+00:00,wind,1276.437457
2024-01-09 19:45:00+00:00,wind,1388.666563
2024-01-09 20:00:00+00:00,wind,1510.3172
2024-01-09 20:15:00+00:00,wind,1667.63247
2024-01-09 20:30:00+00:00,wind,1920.29209
2024-01-09 20:45:00+00:00,wind,2201.747864
2024-01-09 21:00:00+00:00,wind,2412.408266
2024-01-09 21:15:00+00:00,wind,2623.76378
2024-01-09 21:30:00+00:00,wind,2841.753035
2024-01-09 21:45:00+00:00,wind,3074.692906
2024-01-09 22:00:00+00:00,wind,3321.541022
2024-01-09 22:15:00+00:00,wind,3521.66397
2024-01-09 22:30:00+00:00,wind,3825.536006
2024-01-09 22:45:00+00:00,wind,4133.386442
2024-01-09 23:00:00+00:00,wind,4394.828895
2024-01-09 23:15:00+00:00,wind,4689.915712
2024-01-09 23:30:00+00:00,wind,5027.235188
2024-01-09 23:45:00+00:00,wind,5346.849344
2024-01-10 00:00:00+00:00,wind,5527.147356
2024-01-10 00:15:00+00:00,wind,5683.160198
2024-01-10 00:30:00+00:00,wind,5835.030711
2024-01-10 00:45:00+00:00,wind,5879.473762
2024-01-10 01:00:00+00:00,wind,5935.901148
2024-01-10 01:15:00+00:00,wind,5962.512689
2024-01-10 01:30:00+00:00,wind,5970.511626
2024-01-10 01:45:00+00:00,wind,5996.433029
2024-01-10 02:00:00+00:00,wind,6036.890482
2024-01-10 02:15:00+00:00,wind,6131.598774
2024-01-10 02:30:00+00:00,wind,6154.155019
2024-01-10 02:45:00+00:00,wind,6158.111278
2024-01-10 03:00:00+00:00,wind,6161.151962
2024-01-10 03:15:00+00:00,wind,6162.593346
2024-01-10 03:30:00+00:00,wind,6195.224445
2024-01-10 03:45:00+00:00,wind,6199.415948
2024-01-10 04:00:00+00:00,wind,6230.847337
2024-01-10 04:15:00+00:00,wind,6223.457586
2024-01-10 04:30:00+00:00,wind,6239.828865
2024-01-10 04:45:00+00:00,wind,6246.674632
2024-01-10 05:00:00+00:00,wind,6257.809882
2024-01-10 05:15:00+00:00,wind,6258.326054
2024-01-10 05:30:00+00:00,wind,6309.087481
2024-01-10 05:45:00+00:00,wind,6353.418205
2024-01-10 06:00:00+00:00,wind,6370.027127
2024-01-10 06:15:00+00:00,wind,6411.320849
2024-01-10 06:30:00+00:00,wind,6395.122959
2024-01-10 06:45:00+00:00,wind,6375.237106
2024-01-10 07:00:00+00:00,wind,6362.774958
2024-01-10 07:15:00+00:00,wind,6374.828736
2024-01-10 07:30:00+00:00,wind,6398.742854
2024-01-10 07:45:00+00:00,wind,6420.954472
2024-01-10 08:00:00+00:00,wind,6405.850309
2024-01-10 08:15:00+00:00,wind,6263.075681
2024-01-10 08:30:00+00:00,wind,6133.534583
2024-01-10 08:45:00+00:00,wind,5991.763953
2024-01-10 09:00:00+00:00,wind,5819.197053
2024-01-10 09:15:00+00:00,wind,5601.653818
2024-01-10 09:30:00+00:00,wind,5339.87938
2024-01-10 09:45:00+00:00,wind,5175.590799
2024-01-10 10:00:00+00:00,wind,5038.149947
2024-01-10 10:15:00+00:00,wind,4977.841994
2024-01-10 10:30:00+00:00,wind,4973.261414
2024-01-10 10:45:00+00:00,wind,4978.294116
2024-01-10 11:00:00+00:00,wind,4939.184621
2024-01-10 11:15:00+00:00,wind,4998.832396
2024-01-10 11:30:00+00:00,wind,5064.372643
2024-01-10 11:45:00+00:00,wind,5121.003886
2024-01-10 12:00:00+00:00,wind,5116.163479
2024-01-10 12:15:00+00:00,wind,5062.570568
2024-01-10 12:30:00+00:00,wind,5023.696417
2024-01-10 12:45:00+00:00,wind,4968.353488
2024-01-10 13:00:00+00:00,wind,4899.162253
2024-01-10 13:15:00+00:00,wind,4691.786133
2024-01-10 13:30:00+00:00,wind,4647.091923
2024-01-10 13:45:00+00:00,wind,4553.781476
2024-01-10 14:00:00+00:00,wind,4486.210534
2024-01-10 14:15:00+00:00,wind,4301.449348
2024-01-10 14:30:00+00:00,wind,4208.522067
2024-01-10 14:45:00+00:00,wind,4096.121385
2024-01-10 15:00:00+00:00,wind,4046.644299
2024-01-10 15:15:00+00:00,wind,3968.658653
2024-01-10 15:30:00+00:00,wind,3812.453493
2024-01-10 15:45:00+00:00,wind,3576.045096
2024-01-10 16:00:00+00:00,wind,3400.800876
2024-01-10 16:15:00+00:00,wind,3302.637345
2024-01-10 16:30:00+00:00,wind,3204.106515
