timestamp,utc_timestamp,zone_name,zone_type,lmp,is_day_ahead,timezone
2024-04-01 17:00:00,2024-04-01 22:00:00,west,hub,-4.28,False,CST
2024-04-01 17:15:00,2024-04-01 22:15:00,west,hub,-1.98,False,CST
2024-04-01 17:30:00,2024-04-01 22:30:00,west,hub,-0.22,False,CST
2024-04-01 17:45:00,2024-04-01 22:45:00,west,hub,2.4,False,CST
2024-04-01 18:00:00,2024-04-01 23:00:00,west,hub,2.38,False,CST
2024-04-01 18:15:00,2024-04-01 23:15:00,west,hub,5.24,False,CST
2024-04-01 18:30:00,2024-04-01 23:30:00,west,hub,6.8,False,CST
2024-04-01 18:45:00,2024-04-01 23:45:00,west,hub,12.27,False,CST
2024-04-01 19:00:00,2024-04-02 00:00:00,west,hub,16.29,False,CST
2024-04-01 19:15:00,2024-04-02 00:15:00,west,hub,14.61,False,CST
2024-04-01 19:30:00,2024-04-02 00:30:00,west,hub,8.82,False,CST
2024-04-01 19:45:00,2024-04-02 00:45:00,west,hub,3.4,False,CST
2024-04-01 20:00:00,2024-04-02 01:00:00,west,hub,3.38,False,CST
2024-04-01 20:15:00,2024-04-02 01:15:00,west,hub,8.68,False,CST
2024-04-01 20:30:00,2024-04-02 01:30:00,west,hub,18.7,False,CST
2024-04-01 20:45:00,2024-04-02 01:45:00,west,hub,20.36,False,CST
2024-04-01 21:00:00,2024-04-02 02:00:00,west,hub,22.18,False,CST
2024-04-01 21:15:00,2024-04-02 02:15:00,west,hub,20.18,False,CST
2024-04-01 21:30:00,2024-04-02 02:30:00,west,hub,15.98,False,CST
2024-04-01 21:45:00,2024-04-02 02:45:00,west,hub,14.63,False,CST
2024-04-01 22:00:00,2024-04-02 03:00:00,west,hub,12.02,False,CST
2024-04-01 22:15:00,2024-04-02 03:15:00,west,hub,12.91,False,CST
2024-04-01 22:30:00,2024-04-02 03:30:00,west,hub,13.81,False,CST
2024-04-01 22:45:00,2024-04-02 03:45:00,west,hub,14.25,False,CST
2024-04-01 23:00:00,2024-04-02 04:00:00,west,hub,13.12,False,CST
2024-04-01 23:15:00,2024-04-02 04:15:00,west,hub,13.26,False,CST
2024-04-01 23:30:00,2024-04-02 04:30:00,west,hub,7.97,False,CST
2024-04-01 23:45:00,2024-04-02 04:45:00,west,hub,6.78,False,CST
