timestamp,fuel_category,generation_mw
2024-12-01 00:00:00,biomass,3.237487
2024-12-01 00:00:00,coal,2210.974737
2024-12-01 00:00:00,gas,1608.026396
2024-12-01 00:00:00,gas-cc,4931.360268
2024-12-01 00:00:00,hydro,23.424792
2024-12-01 00:00:00,nuclear,1271.822483
2024-12-01 00:00:00,other,27.741622
2024-12-01 00:00:00,solar,7.2e-05
2024-12-01 00:00:00,wind,1199.958912
2024-12-01 00:00:00,wsl,-124.809871
2024-12-01 00:15:00,biomass,3.240559
2024-12-01 00:15:00,coal,2215.960506
2024-12-01 00:15:00,gas,1506.076773
2024-12-01 00:15:00,gas-cc,4927.840042
2024-12-01 00:15:00,hydro,23.46962
2024-12-01 00:15:00,nuclear,1272.010588
2024-12-01 00:15:00,other,21.130553
2024-12-01 00:15:00,solar,0.001709
2024-12-01 00:15:00,wind,1253.158579
2024-12-01 00:15:00,wsl,-159.646325
2024-12-01 00:30:00,biomass,3.235178
2024-12-01 00:30:00,coal,2220.399668
2024-12-01 00:30:00,gas,1501.756024
2024-12-01 00:30:00,gas-cc,4874.071873
2024-12-01 00:30:00,hydro,23.447879
2024-12-01 00:30:00,nuclear,1271.876172
2024-12-01 00:30:00,other,3.949557
2024-12-01 00:30:00,solar,0.001424
2024-12-01 00:30:00,wind,1270.054258
2024-12-01 00:30:00,wsl,-158.160937
2024-12-01 00:45:00,biomass,3.240539
2024-12-01 00:45:00,coal,2226.311305
2024-12-01 00:45:00,gas,1476.787466
2024-12-01 00:45:00,gas-cc,4862.28041
2024-12-01 00:45:00,hydro,23.472461
2024-12-01 00:45:00,nuclear,1272.089174
2024-12-01 00:45:00,other,12.308124
2024-12-01 00:45:00,solar,0.001309
2024-12-01 00:45:00,wind,1296.96038
2024-12-01 00:45:00,wsl,-227.339998
