date,hour,day_of_week,month,avg_load_mw,data_points
2020-01-06,2,1,1,4564.633333333333,12
2020-01-06,3,1,1,4512.916666666667,12
2020-01-06,4,1,1,4552.891666666666,12
2020-01-06,5,1,1,4783.316666666667,12
2020-01-06,6,1,1,5258.075,12
2020-01-06,7,1,1,5792.900000000001,12
2020-01-06,8,1,1,6123.591666666667,12
2020-01-06,9,1,1,6347.819444444444,12
2020-01-06,10,1,1,6436.8499999999985,12
2020-01-06,11,1,1,6401.629166666667,12
2020-01-06,12,1,1,6333.975000000001,12
2020-01-06,13,1,1,6348.708333333333,12
2020-01-06,14,1,1,6297.683333333333,12
2020-01-06,15,1,1,6328.150000000001,12
2020-01-06,16,1,1,6406.0694444444425,12
2020-01-06,17,1,1,6573.541666666667,12
2020-01-06,18,1,1,6481.508333333334,12
2020-01-06,19,1,1,6321.475000000001,12
2020-01-06,20,1,1,6124.875,12
2020-01-06,21,1,1,5896.3,12
2020-01-06,22,1,1,5564.633333333334,12
2020-01-06,23,1,1,5183.2138888888885,12
2020-01-07,0,2,1,4834.647222222223,12
2020-01-07,1,2,1,4626.041666666667,12
2020-01-07,2,2,1,4499.108333333333,12
2020-01-07,3,2,1,4445.666666666667,12
2020-01-07,4,2,1,4477.575,12
2020-01-07,5,2,1,4707.941666666667,12
2020-01-07,6,2,1,5207.666666666666,12
2020-01-07,7,2,1,5746.783333333333,12
2020-01-07,8,2,1,6067.833333333333,12
2020-01-07,9,2,1,6210.974999999999,12
2020-01-07,10,2,1,6242.508333333334,12
2020-01-07,11,2,1,6257.608333333334,12
2020-01-07,12,2,1,6264.133333333334,12
2020-01-07,13,2,1,6246.400000000001,12
2020-01-07,14,2,1,6252.466666666666,12
2020-01-07,15,2,1,6325.225000000001,12
2020-01-07,16,2,1,6464.208333333335,12
2020-01-07,17,2,1,6575.866666666668,12
2020-01-07,18,2,1,6448.658333333334,12
2020-01-07,19,2,1,6305.775000000001,12
2020-01-07,20,2,1,6118.691666666667,12
2020-01-07,21,2,1,5871.266666666667,12
2020-01-07,22,2,1,5535.125,12
2020-01-07,23,2,1,5168.224999999999,12
2020-01-08,0,3,1,4856.075,12
2020-01-08,1,3,1,4654.183333333333,12
2020-01-08,2,3,1,4535.483333333334,12
2020-01-08,3,3,1,4484.916666666666,12
2020-01-08,4,3,1,4525.016666666666,12
2020-01-08,5,3,1,4765.55,12
2020-01-08,6,3,1,5274.883333333333,12
2020-01-08,7,3,1,5848.216666666666,12
2020-01-08,8,3,1,6161.486111111112,12
2020-01-08,9,3,1,6347.283333333334,12
2020-01-08,10,3,1,6344.191666666667,12
2020-01-08,11,3,1,6345.066666666667,12
2020-01-08,12,3,1,6337.891666666666,12
2020-01-08,13,3,1,6330.075,12
2020-01-08,14,3,1,6326.0,12
2020-01-08,15,3,1,6405.600000000001,12
2020-01-08,16,3,1,6564.4833333333345,12
2020-01-08,17,3,1,6756.575,12
2020-01-08,18,3,1,6697.933333333334,12
2020-01-08,19,3,1,6570.783333333333,12
2020-01-08,20,3,1,6408.349999999999,12
2020-01-08,21,3,1,6182.508333333334,12
2020-01-08,22,3,1,5856.458333333333,12
2020-01-08,23,3,1,5478.491666666666,12
2020-01-09,0,4,1,5163.641666666666,12
2020-01-09,1,4,1,4966.916666666666,12
2020-01-09,2,4,1,4846.508333333333,12
2020-01-09,3,4,1,4796.499999999999,12
2020-01-09,4,4,1,4826.55,12
2020-01-09,5,4,1,5046.616666666666,12
2020-01-09,6,4,1,5565.741666666668,12
2020-01-09,7,4,1,6121.366666666666,12
2020-01-09,8,4,1,6432.708333333333,12
2020-01-09,9,4,1,6588.483333333334,12
2020-01-09,10,4,1,6603.916666666667,12
2020-01-09,11,4,1,6605.95,12
2020-01-09,12,4,1,6582.150000000001,12
2020-01-09,13,4,1,6568.791666666667,12
2020-01-09,14,4,1,6542.191666666667,12
2020-01-09,15,4,1,6573.299999999998,12
2020-01-09,16,4,1,6704.316666666667,12
2020-01-09,17,4,1,6863.766666666666,12
2020-01-09,18,4,1,6767.299999999999,12
2020-01-09,19,4,1,6600.450000000001,12
2020-01-09,20,4,1,6409.633333333334,12
2020-01-09,21,4,1,6151.479166666667,12
2020-01-09,22,4,1,5815.791666666667,12
2020-01-09,23,4,1,5426.2666666666655,12
2020-01-10,0,5,1,5082.116666666667,12
2020-01-10,1,5,1,4858.116666666667,12
2020-01-10,2,5,1,4720.05,12
2020-01-10,3,5,1,4647.266666666667,12
2020-01-10,4,5,1,4650.033333333333,12
2020-01-10,5,5,1,4866.970833333334,12
2020-01-10,6,5,1,5333.275000000001,12
2020-01-10,7,5,1,5857.108333333334,12
2020-01-10,8,5,1,6146.575000000001,12
2020-01-10,9,5,1,6354.191666666667,12
2020-01-10,10,5,1,6426.375,12
2020-01-10,11,5,1,6446.616666666666,12
2020-01-10,12,5,1,6401.400000000001,12
2020-01-10,13,5,1,6295.624999999999,12
2020-01-10,14,5,1,6234.099999999999,12
2020-01-10,15,5,1,6216.941666666667,12
2020-01-10,16,5,1,6279.912500000001,12
2020-01-10,17,5,1,6392.0125,12
2020-01-10,18,5,1,6253.75,12
2020-01-10,19,5,1,6058.874999999999,12
2020-01-10,20,5,1,5859.925,12
2020-01-10,21,5,1,5639.45,12
2020-01-10,22,5,1,5366.050000000001,12
2020-01-10,23,5,1,5059.966666666666,12
2020-01-11,0,6,1,4760.05,12
2020-01-11,1,6,1,4541.999999999999,12
2020-01-11,2,6,1,4384.958333333333,12
2020-01-11,3,6,1,4304.775000000001,12
2020-01-11,4,6,1,4280.8,12
2020-01-11,5,6,1,4327.283333333334,12
2020-01-11,6,6,1,4480.7,12
2020-01-11,7,6,1,4690.666666666667,12
2020-01-11,8,6,1,4917.100000000001,12
2020-01-11,9,6,1,5077.95,12
2020-01-11,10,6,1,5224.950000000001,12
2020-01-11,11,6,1,5323.433333333333,12
2020-01-11,12,6,1,5320.133333333333,12
2020-01-11,13,6,1,5303.358333333334,12
2020-01-11,14,6,1,5306.516666666667,12
2020-01-11,15,6,1,5298.583333333334,12
2020-01-11,16,6,1,5366.808333333333,12
2020-01-11,17,6,1,5534.991666666666,12
2020-01-11,18,6,1,5542.583333333333,12
2020-01-11,19,6,1,5485.929166666668,12
2020-01-11,20,6,1,5377.049999999999,12
2020-01-11,21,6,1,5238.791666666667,12
2020-01-11,22,6,1,5064.816666666667,12
2020-01-11,23,6,1,4841.933333333333,12
2020-01-12,0,0,1,4606.716666666667,12
2020-01-12,1,0,1,4395.483333333334,12
2020-01-12,2,0,1,4246.891666666666,12
2020-01-12,3,0,1,4152.666666666667,12
