timestamp,utc_timestamp,region,zone_name,load_mw
2024-01-01 00:00:00,2024-01-01 06:00:00,coast,houston,10819.435761
2024-01-01 01:00:00,2024-01-01 07:00:00,coast,houston,10484.137154
2024-01-01 02:00:00,2024-01-01 08:00:00,coast,houston,10365.816869
2024-01-01 03:00:00,2024-01-01 09:00:00,coast,houston,10206.968091
2024-01-01 04:00:00,2024-01-01 10:00:00,coast,houston,10086.531805
2024-01-01 05:00:00,2024-01-01 11:00:00,coast,houston,10097.438645
2024-01-01 06:00:00,2024-01-01 12:00:00,coast,houston,10194.600576
2024-01-01 07:00:00,2024-01-01 13:00:00,coast,houston,10344.874447
2024-01-01 08:00:00,2024-01-01 14:00:00,coast,houston,10379.993893
2024-01-01 09:00:00,2024-01-01 15:00:00,coast,houston,10409.818631
2024-01-01 10:00:00,2024-01-01 16:00:00,coast,houston,10615.383403
2024-01-01 11:00:00,2024-01-01 17:00:00,coast,houston,10851.983861
2024-01-01 12:00:00,2024-01-01 18:00:00,coast,houston,11037.476991
2024-01-01 13:00:00,2024-01-01 19:00:00,coast,houston,11153.521771
2024-01-01 14:00:00,2024-01-01 20:00:00,coast,houston,11138.282527
2024-01-01 15:00:00,2024-01-01 21:00:00,coast,houston,11132.887854
2024-01-01 16:00:00,2024-01-01 22:00:00,coast,houston,11219.910376
2024-01-01 17:00:00,2024-01-01 23:00:00,coast,houston,11357.365773
2024-01-01 18:00:00,2024-01-02 00:00:00,coast,houston,11843.417815
2024-01-01 19:00:00,2024-01-02 01:00:00,coast,houston,12095.186422
2024-01-01 20:00:00,2024-01-02 02:00:00,coast,houston,12046.068724
2024-01-01 21:00:00,2024-01-02 03:00:00,coast,houston,11982.718235
2024-01-01 22:00:00,2024-01-02 04:00:00,coast,houston,11839.3521
2024-01-01 23:00:00,2024-01-02 05:00:00,coast,houston,11528.263382
2024-01-02 00:00:00,2024-01-02 06:00:00,coast,houston,11167.110076
2024-01-02 01:00:00,2024-01-02 07:00:00,coast,houston,10942.112971
2024-01-02 02:00:00,2024-01-02 08:00:00,coast,houston,10812.566184
2024-01-02 03:00:00,2024-01-02 09:00:00,coast,houston,10760.421199
2024-01-02 04:00:00,2024-01-02 10:00:00,coast,houston,10866.231602
2024-01-02 05:00:00,2024-01-02 11:00:00,coast,houston,11170.620638
2024-01-02 06:00:00,2024-01-02 12:00:00,coast,houston,11743.526296
2024-01-02 07:00:00,2024-01-02 13:00:00,coast,houston,12498.121481
2024-01-02 08:00:00,2024-01-02 14:00:00,coast,houston,12940.494001
2024-01-02 09:00:00,2024-01-02 15:00:00,coast,houston,13198.529429
2024-01-02 10:00:00,2024-01-02 16:00:00,coast,houston,13390.773108
2024-01-02 11:00:00,2024-01-02 17:00:00,coast,houston,13452.064469
2024-01-02 12:00:00,2024-01-02 18:00:00,coast,houston,13448.305683
2024-01-02 13:00:00,2024-01-02 19:00:00,coast,houston,13315.754859
2024-01-02 14:00:00,2024-01-02 20:00:00,coast,houston,13252.83431
2024-01-02 15:00:00,2024-01-02 21:00:00,coast,houston,13094.924649
2024-01-02 16:00:00,2024-01-02 22:00:00,coast,houston,13082.362836
2024-01-02 17:00:00,2024-01-02 23:00:00,coast,houston,13101.696765
2024-01-02 18:00:00,2024-01-03 00:00:00,coast,houston,13539.684104
2024-01-02 19:00:00,2024-01-03 01:00:00,coast,houston,13621.865442
2024-01-02 20:00:00,2024-01-03 02:00:00,coast,houston,13471.646455
2024-01-02 21:00:00,2024-01-03 03:00:00,coast,houston,13175.862413
2024-01-02 22:00:00,2024-01-03 04:00:00,coast,houston,12822.872732
2024-01-02 23:00:00,2024-01-03 05:00:00,coast,houston,12347.50363
2024-01-03 00:00:00,2024-01-03 06:00:00,coast,houston,11909.314655
2024-01-03 01:00:00,2024-01-03 07:00:00,coast,houston,11634.185261
2024-01-03 02:00:00,2024-01-03 08:00:00,coast,houston,11418.284209
2024-01-03 03:00:00,2024-01-03 09:00:00,coast,houston,11347.977885
2024-01-03 04:00:00,2024-01-03 10:00:00,coast,houston,11361.374702
2024-01-03 05:00:00,2024-01-03 11:00:00,coast,houston,11553.798032
2024-01-03 06:00:00,2024-01-03 12:00:00,coast,houston,12080.322358
2024-01-03 07:00:00,2024-01-03 13:00:00,coast,houston,12754.396572
2024-01-03 08:00:00,2024-01-03 14:00:00,coast,houston,13196.846625
2024-01-03 09:00:00,2024-01-03 15:00:00,coast,houston,13368.720091
2024-01-03 10:00:00,2024-01-03 16:00:00,coast,houston,13487.657662
2024-01-03 11:00:00,2024-01-03 17:00:00,coast,houston,13361.116012
2024-01-03 12:00:00,2024-01-03 18:00:00,coast,houston,13007.467265
2024-01-03 13:00:00,2024-01-03 19:00:00,coast,houston,12718.420926
2024-01-03 14:00:00,2024-01-03 20:00:00,coast,houston,12563.267661
2024-01-03 15:00:00,2024-01-03 21:00:00,coast,houston,12407.942685
2024-01-03 16:00:00,2024-01-03 22:00:00,coast,houston,12276.713469
2024-01-03 17:00:00,2024-01-03 23:00:00,coast,houston,12281.992133
2024-01-03 18:00:00,2024-01-04 00:00:00,coast,houston,12700.769595
2024-01-03 19:00:00,2024-01-04 01:00:00,coast,houston,13036.052969
2024-01-03 20:00:00,2024-01-04 02:00:00,coast,houston,13035.143555
2024-01-03 21:00:00,2024-01-04 03:00:00,coast,houston,12968.886948
2024-01-03 22:00:00,2024-01-04 04:00:00,coast,houston,12704.773989
2024-01-03 23:00:00,2024-01-04 05:00:00,coast,houston,12241.835257
2024-01-04 00:00:00,2024-01-04 06:00:00,coast,houston,11858.65172
2024-01-04 01:00:00,2024-01-04 07:00:00,coast,houston,11566.605296
2024-01-04 02:00:00,2024-01-04 08:00:00,coast,houston,11411.728806
2024-01-04 03:00:00,2024-01-04 09:00:00,coast,houston,11428.466859
2024-01-04 04:00:00,2024-01-04 10:00:00,coast,houston,11512.386731
2024-01-04 05:00:00,2024-01-04 11:00:00,coast,houston,11832.957885
2024-01-04 06:00:00,2024-01-04 12:00:00,coast,houston,12455.87228
2024-01-04 07:00:00,2024-01-04 13:00:00,coast,houston,13285.912912
2024-01-04 08:00:00,2024-01-04 14:00:00,coast,houston,13658.657708
2024-01-04 09:00:00,2024-01-04 15:00:00,coast,houston,13594.702648
2024-01-04 10:00:00,2024-01-04 16:00:00,coast,houston,13321.674177
2024-01-04 11:00:00,2024-01-04 17:00:00,coast,houston,13021.834438
2024-01-04 12:00:00,2024-01-04 18:00:00,coast,houston,12747.356321
2024-01-04 13:00:00,2024-01-04 19:00:00,coast,houston,12512.682467
2024-01-04 14:00:00,2024-01-04 20:00:00,coast,houston,12398.268104
2024-01-04 15:00:00,2024-01-04 21:00:00,coast,houston,12291.311053
2024-01-04 16:00:00,2024-01-04 22:00:00,coast,houston,12252.613894
2024-01-04 17:00:00,2024-01-04 23:00:00,coast,houston,12302.779259
