timestamp,generation_mw,hour,minute,day
2024-12-02 03:45:00,1265.730295,3,45,2
2024-12-02 04:00:00,1265.567248,4,0,2
2024-12-02 04:15:00,1265.90631,4,15,2
2024-12-02 04:30:00,1265.754774,4,30,2
2024-12-02 04:45:00,1265.650552,4,45,2
2024-12-02 05:00:00,1265.672469,5,0,2
2024-12-02 05:15:00,1265.704799,5,15,2
2024-12-02 05:30:00,1265.795695,5,30,2
2024-12-02 05:45:00,1265.897821,5,45,2
2024-12-02 06:00:00,1265.521798,6,0,2
2024-12-02 06:15:00,1265.654949,6,15,2
2024-12-02 06:30:00,1265.62573,6,30,2
2024-12-02 06:45:00,1265.864987,6,45,2
2024-12-02 07:00:00,1266.300115,7,0,2
2024-12-02 07:15:00,1266.194961,7,15,2
2024-12-02 07:30:00,1266.220032,7,30,2
2024-12-02 07:45:00,1266.341009,7,45,2
2024-12-02 08:00:00,1266.269123,8,0,2
2024-12-02 08:15:00,1266.386093,8,15,2
2024-12-02 08:30:00,1265.976327,8,30,2
2024-12-02 08:45:00,1265.92301,8,45,2
2024-12-02 09:00:00,1266.175684,9,0,2
2024-12-02 09:15:00,1266.056959,9,15,2
2024-12-02 09:30:00,1265.729944,9,30,2
2024-12-02 09:45:00,1265.260282,9,45,2
2024-12-02 10:00:00,1265.43087,10,0,2
2024-12-02 10:15:00,1265.226951,10,15,2
2024-12-02 10:30:00,1265.275127,10,30,2
2024-12-02 10:45:00,1265.46261,10,45,2
2024-12-02 11:00:00,1265.222025,11,0,2
2024-12-02 11:15:00,1265.53393,11,15,2
2024-12-02 11:30:00,1265.461869,11,30,2
2024-12-02 11:45:00,1265.432362,11,45,2
2024-12-02 12:00:00,1265.25601,12,0,2
2024-12-02 12:15:00,1265.448919,12,15,2
2024-12-02 12:30:00,1265.6798,12,30,2
2024-12-02 12:45:00,1268.086809,12,45,2
2024-12-02 13:00:00,1268.289835,13,0,2
2024-12-02 13:15:00,1268.282791,13,15,2
2024-12-02 13:30:00,1268.321531,13,30,2
2024-12-02 13:45:00,1268.001127,13,45,2
2024-12-02 14:00:00,1268.005784,14,0,2
2024-12-02 14:15:00,1268.211218,14,15,2
2024-12-02 14:30:00,1267.870969,14,30,2
2024-12-02 14:45:00,1267.376143,14,45,2
2024-12-02 15:00:00,1267.153061,15,0,2
2024-12-02 15:15:00,1267.233448,15,15,2
