month,avg_lmp
2010-12-01 00:00:00,23.94007283197829
2011-01-01 00:00:00,31.275295698924793
2011-02-01 00:00:00,49.32702938988088
2011-03-01 00:00:00,17.12669690860214
2011-04-01 00:00:00,19.400475694444427
2011-05-01 00:00:00,26.434769825268788
2011-06-01 00:00:00,34.8792829861111
2011-07-01 00:00:00,49.46011760752694
2011-08-01 00:00:00,127.92090893817208
2011-09-01 00:00:00,33.48855034722214
2011-10-01 00:00:00,24.07376848118277
2011-11-01 00:00:00,23.72123611111114
2011-12-01 00:00:00,25.16964045698924
2012-01-01 00:00:00,17.556263440860192
2012-02-01 00:00:00,16.294611170976985
2012-03-01 00:00:00,27.706753192204317
2012-04-01 00:00:00,27.5290607638889
2012-05-01 00:00:00,22.59820984543011
2012-06-01 00:00:00,34.673539062500005
2012-07-01 00:00:00,38.228176243279535
2012-08-01 00:00:00,39.56448924731182
2012-09-01 00:00:00,31.322544270833404
2012-10-01 00:00:00,42.55244791666664
2012-11-01 00:00:00,27.590073784722243
2012-12-01 00:00:00,23.044710181451617
2013-01-01 00:00:00,23.14877352150541
2013-02-01 00:00:00,23.34441778273811
2013-03-01 00:00:00,29.800985383064575
2013-04-01 00:00:00,34.16048350694453
2013-05-01 00:00:00,34.180642641128955
2013-06-01 00:00:00,33.72830555555551
2013-07-01 00:00:00,34.706524697580655
2013-08-01 00:00:00,37.67603494623657
2013-09-01 00:00:00,40.19186024305553
2013-10-01 00:00:00,38.06293010752668
2013-11-01 00:00:00,30.523118923610998
2013-12-01 00:00:00,32.853091397849475
2014-01-01 00:00:00,42.56393229166669
2014-02-01 00:00:00,48.45542689732152
2014-03-01 00:00:00,50.00447664650534
2014-04-01 00:00:00,46.21000173611107
2014-05-01 00:00:00,39.179206989247184
2014-06-01 00:00:00,36.21628559027773
2014-07-01 00:00:00,35.30157594086029
2014-08-01 00:00:00,36.73080309139775
2014-09-01 00:00:00,37.25785763888882
2014-10-01 00:00:00,39.09065776209676
2014-11-01 00:00:00,32.6802369791667
2014-12-01 00:00:00,25.880507392473092
2015-01-01 00:00:00,24.34164650537639
2015-02-01 00:00:00,26.15675223214283
2015-03-01 00:00:00,28.257632728494603
2015-04-01 00:00:00,24.093008680555528
2015-05-01 00:00:00,27.724379200268814
2015-06-01 00:00:00,24.485976562499957
2015-07-01 00:00:00,28.908047715053844
2015-08-01 00:00:00,33.55327032930101
2015-09-01 00:00:00,24.103512152777803
2015-10-01 00:00:00,20.2338348454301
2015-11-01 00:00:00,17.23970920138889
2015-12-01 00:00:00,15.95339213709675
2016-01-01 00:00:00,17.996744791666693
2016-02-01 00:00:00,14.253546156609197
2016-03-01 00:00:00,16.690548555107583
2016-04-01 00:00:00,15.384482638888896
2016-05-01 00:00:00,16.19827116935482
2016-06-01 00:00:00,21.613385416666638
2016-07-01 00:00:00,25.10330225134402
2016-08-01 00:00:00,27.83316112231188
2016-09-01 00:00:00,26.51915277777778
2016-10-01 00:00:00,24.230845094086
2016-11-01 00:00:00,20.60095659722223
2016-12-01 00:00:00,22.799411962365635
2017-01-01 00:00:00,23.755879536290315
2017-02-01 00:00:00,17.72723307291665
2017-03-01 00:00:00,17.875840893817198
2017-04-01 00:00:00,20.96499479166667
2017-05-01 00:00:00,24.610454469086044
2017-06-01 00:00:00,25.471411458333357
2017-07-01 00:00:00,28.339575772849415
2017-08-01 00:00:00,26.443851646505376
2017-09-01 00:00:00,24.79820659722226
2017-10-01 00:00:00,21.94004032258067
2017-11-01 00:00:00,20.320427083333357
2017-12-01 00:00:00,23.044629536290316
2018-01-01 00:00:00,32.556354166666594
2018-02-01 00:00:00,23.722205171130902
2018-03-01 00:00:00,19.225959341397882
2018-04-01 00:00:00,18.145889756944428
2018-05-01 00:00:00,38.69837701612905
2018-06-01 00:00:00,47.09982725694442
2018-07-01 00:00:00,52.137219422043046
2018-08-01 00:00:00,34.972596606182876
2018-09-01 00:00:00,26.41266406250002
2018-10-01 00:00:00,33.48840221774194
2018-11-01 00:00:00,33.901434895833304
2018-12-01 00:00:00,31.36144069220427
2019-01-01 00:00:00,23.34623907930106
2019-02-01 00:00:00,25.98074032738095
2019-03-01 00:00:00,26.02874579973126
2019-04-01 00:00:00,24.018302083333314
2019-05-01 00:00:00,27.1372085013441
2019-06-01 00:00:00,28.76146788194448
2019-07-01 00:00:00,30.574700940860215
2019-08-01 00:00:00,134.801896001344
2019-09-01 00:00:00,53.81344270833331
2019-10-01 00:00:00,44.881433131720506
2019-11-01 00:00:00,38.790794270833395
2019-12-01 00:00:00,26.92533938172041
2020-01-01 00:00:00,19.105263776881714
2020-02-01 00:00:00,44.68845545977007
2020-03-01 00:00:00,44.382975470430104
2020-04-01 00:00:00,17.130139756944445
2020-05-01 00:00:00,14.538722278225817
2020-06-01 00:00:00,14.607737847222252
2020-07-01 00:00:00,18.775163810483885
2020-08-01 00:00:00,33.1691641465054
2020-09-01 00:00:00,20.586730902777823
2020-10-01 00:00:00,27.47500336021504
2020-11-01 00:00:00,26.71851302083324
2020-12-01 00:00:00,20.676624663978494
2021-01-01 00:00:00,20.299019657258068
2021-02-01 00:00:00,1536.076885230657
2021-03-01 00:00:00,16.246613743279557
2021-04-01 00:00:00,39.42701822916664
2021-05-01 00:00:00,20.549337197580655
2021-06-01 00:00:00,36.963377604166695
2021-07-01 00:00:00,37.82361559139803
2021-08-01 00:00:00,34.27369875672043
2021-09-01 00:00:00,41.03249739583334
2021-10-01 00:00:00,39.27219926075271
2021-11-01 00:00:00,38.939568576388844
2021-12-01 00:00:00,21.724839549731147
2022-01-01 00:00:00,26.525707325268854
2022-02-01 00:00:00,43.395657552083335
2022-03-01 00:00:00,29.032604166666623
2022-04-01 00:00:00,43.61563628472224
2022-05-01 00:00:00,69.79147933467746
2022-06-01 00:00:00,58.043624999999984
2022-07-01 00:00:00,146.2609425403228
2022-08-01 00:00:00,89.37352318548376
2022-09-01 00:00:00,64.42731944444424
2022-10-01 00:00:00,47.268461861559075
2022-11-01 00:00:00,38.485649305555555
2022-12-01 00:00:00,60.18795026881718
2023-01-01 00:00:00,26.83936155913975
2023-02-01 00:00:00,22.2664360119048
2023-03-01 00:00:00,39.34035450268819
2023-04-01 00:00:00,28.90901475694446
2023-05-01 00:00:00,33.99399025537633
2023-06-01 00:00:00,62.755860243055565
2023-07-01 00:00:00,39.78162046370969
2023-08-01 00:00:00,200.8796883400535
2023-09-01 00:00:00,92.26705642361115
2023-10-01 00:00:00,34.546528897849456
2023-11-01 00:00:00,35.73095920138883
2023-12-01 00:00:00,32.86922631048386
2024-01-01 00:00:00,37.33680611559132
2024-02-01 00:00:00,17.918133979885045
2024-03-01 00:00:00,34.469675739247286
2024-04-01 00:00:00,25.334175347222203
2024-05-01 00:00:00,38.145533434139736
2024-06-01 00:00:00,26.965786458333472
2024-07-01 00:00:00,26.148181283602185
2024-08-01 00:00:00,41.38838877688173
2024-09-01 00:00:00,32.40765017361108
2024-10-01 00:00:00,27.578061155914018
2024-11-01 00:00:00,35.33882378472212
2024-12-01 00:00:00,34.710897177419376
