hour_start,avg_lmp
2024-04-01 00:00:00,2.46
2024-04-01 01:00:00,1.4574999999999998
2024-04-01 02:00:00,1.3675000000000002
2024-04-01 03:00:00,2.3600000000000003
2024-04-01 04:00:00,5.9675
2024-04-01 05:00:00,11.5625
2024-04-01 06:00:00,14.912499999999998
2024-04-01 07:00:00,17.98
2024-04-01 08:00:00,22.3125
2024-04-01 09:00:00,21.535
2024-04-01 10:00:00,20.525
2024-04-01 11:00:00,18.775
2024-04-01 12:00:00,17.4725
2024-04-01 13:00:00,16.09
2024-04-01 14:00:00,12.142499999999998
2024-04-01 15:00:00,4.365
2024-04-01 16:00:00,0.37250000000000005
2024-04-01 17:00:00,-1.02
2024-04-01 18:00:00,6.672499999999999
2024-04-01 19:00:00,10.78
2024-04-01 20:00:00,12.78
2024-04-01 21:00:00,18.2425
2024-04-01 22:00:00,13.2475
2024-04-01 23:00:00,10.2825
