utc_timestamp,zone_name,lmp
2023-01-01 00:00:00,houston,26.99
2023-01-01 00:00:00,west,26.86
2023-01-01 00:15:00,houston,16.1
2023-01-01 00:15:00,west,16.1
2023-01-01 00:30:00,houston,14.77
2023-01-01 00:30:00,west,14.77
2023-01-01 00:45:00,houston,13.89
2023-01-01 00:45:00,west,13.89
2023-01-01 01:00:00,houston,10.66
2023-01-01 01:00:00,west,10.66
2023-01-01 01:15:00,houston,12.95
2023-01-01 01:15:00,west,12.95
2023-01-01 01:30:00,houston,7.64
2023-01-01 01:30:00,west,6.88
2023-01-01 01:45:00,houston,5.85
2023-01-01 01:45:00,west,5.26
2023-01-01 02:00:00,houston,11.57
2023-01-01 02:00:00,west,8.72
2023-01-01 02:15:00,houston,5.02
2023-01-01 02:15:00,west,4.13
2023-01-01 02:30:00,houston,10.64
2023-01-01 02:30:00,west,4.91
2023-01-01 02:45:00,houston,5.77
2023-01-01 02:45:00,west,5.15
2023-01-01 03:00:00,houston,5.6
2023-01-01 03:00:00,west,5.33
2023-01-01 03:15:00,houston,2.85
2023-01-01 03:15:00,west,2.85
2023-01-01 03:30:00,houston,1.68
2023-01-01 03:30:00,west,1.62
2023-01-01 03:45:00,houston,-0.26
2023-01-01 03:45:00,west,-0.23
2023-01-01 04:00:00,houston,-1.27
2023-01-01 04:00:00,west,-1.27
2023-01-01 04:15:00,houston,-1.49
2023-01-01 04:15:00,west,-1.49
2023-01-01 04:30:00,houston,-1.45
2023-01-01 04:30:00,west,-1.56
2023-01-01 04:45:00,houston,-2.28
2023-01-01 04:45:00,west,-2.28
2023-01-01 05:00:00,houston,-2.53
2023-01-01 05:00:00,west,-2.54
2023-01-01 05:15:00,houston,-2.67
2023-01-01 05:15:00,west,-2.67
2023-01-01 05:30:00,houston,-2.77
2023-01-01 05:30:00,west,-2.77
2023-01-01 05:45:00,houston,-2.36
2023-01-01 05:45:00,west,-2.36
2023-01-01 06:00:00,houston,-2.56
2023-01-01 06:00:00,west,-2.56
2023-01-01 06:15:00,houston,-2.34
2023-01-01 06:15:00,west,-2.34
2023-01-01 06:30:00,houston,-1.96
2023-01-01 06:30:00,west,-1.92
2023-01-01 06:45:00,houston,-1.6
2023-01-01 06:45:00,west,-1.52
2023-01-01 07:00:00,houston,-1.49
2023-01-01 07:00:00,west,-1.41
2023-01-01 07:15:00,houston,-0.75
2023-01-01 07:15:00,west,-0.68
2023-01-01 07:30:00,houston,-1.16
2023-01-01 07:30:00,west,-1.08
2023-01-01 07:45:00,houston,-1.15
2023-01-01 07:45:00,west,-1.07
2023-01-01 08:00:00,houston,-1.01
2023-01-01 08:00:00,west,-0.98
2023-01-01 08:15:00,houston,-1.17
2023-01-01 08:15:00,west,-1.17
2023-01-01 08:30:00,houston,-1.16
2023-01-01 08:30:00,west,-1.16
2023-01-01 08:45:00,houston,-1.34
2023-01-01 08:45:00,west,-1.31
2023-01-01 09:00:00,houston,-0.06
2023-01-01 09:00:00,west,0.0
2023-01-01 09:15:00,houston,0.0
2023-01-01 09:15:00,west,0.0
2023-01-01 09:30:00,houston,0.0
2023-01-01 09:30:00,west,0.0
2023-01-01 09:45:00,houston,0.0
2023-01-01 09:45:00,west,0.0
2023-01-01 10:00:00,houston,0.0
2023-01-01 10:00:00,west,0.0
2023-01-01 10:15:00,houston,-1.48
2023-01-01 10:15:00,west,-1.48
2023-01-01 10:30:00,houston,-0.87
2023-01-01 10:30:00,west,-0.87
2023-01-01 10:45:00,houston,-0.9
2023-01-01 10:45:00,west,-0.9
2023-01-01 11:00:00,houston,-1.55
2023-01-01 11:00:00,west,-1.55
2023-01-01 11:15:00,houston,-1.5
2023-01-01 11:15:00,west,-1.5
2023-01-01 11:30:00,houston,-0.3
2023-01-01 11:30:00,west,-0.3
2023-01-01 11:45:00,houston,0.62
2023-01-01 11:45:00,west,0.62
2023-01-01 12:00:00,houston,2.57
2023-01-01 12:00:00,west,1.88
2023-01-01 12:15:00,houston,2.78
2023-01-01 12:15:00,west,1.97
2023-01-01 12:30:00,houston,4.55
2023-01-01 12:30:00,west,2.54
2023-01-01 12:45:00,houston,8.2
2023-01-01 12:45:00,west,6.3
2023-01-01 13:00:00,houston,12.52
2023-01-01 13:00:00,west,9.2
2023-01-01 13:15:00,houston,16.08
2023-01-01 13:15:00,west,11.87
2023-01-01 13:30:00,houston,18.5
2023-01-01 13:30:00,west,13.55
2023-01-01 13:45:00,houston,20.06
2023-01-01 13:45:00,west,13.08
2023-01-01 14:00:00,houston,23.79
2023-01-01 14:00:00,west,16.57
2023-01-01 14:15:00,houston,18.58
2023-01-01 14:15:00,west,14.84
2023-01-01 14:30:00,houston,11.24
2023-01-01 14:30:00,west,8.4
2023-01-01 14:45:00,houston,14.97
2023-01-01 14:45:00,west,11.21
2023-01-01 15:00:00,houston,11.05
2023-01-01 15:00:00,west,10.1
2023-01-01 15:15:00,houston,2.9
2023-01-01 15:15:00,west,2.9
2023-01-01 15:30:00,houston,10.38
2023-01-01 15:30:00,west,7.95
2023-01-01 15:45:00,houston,15.6
2023-01-01 15:45:00,west,13.58
2023-01-01 16:00:00,houston,20.23
2023-01-01 16:00:00,west,20.18
2023-01-01 16:15:00,houston,24.05
2023-01-01 16:15:00,west,22.09
2023-01-01 16:30:00,houston,26.24
2023-01-01 16:30:00,west,19.82
2023-01-01 16:45:00,houston,18.25
2023-01-01 16:45:00,west,15.38
2023-01-01 17:00:00,houston,22.01
2023-01-01 17:00:00,west,16.51
2023-01-01 17:15:00,houston,22.71
2023-01-01 17:15:00,west,16.98
2023-01-01 17:30:00,houston,18.42
2023-01-01 17:30:00,west,13.82
2023-01-01 17:45:00,houston,12.67
2023-01-01 17:45:00,west,9.52
2023-01-01 18:00:00,houston,13.32
2023-01-01 18:00:00,west,10.88
2023-01-01 18:15:00,houston,16.56
2023-01-01 18:15:00,west,12.25
2023-01-01 18:30:00,houston,20.68
2023-01-01 18:30:00,west,14.97
2023-01-01 18:45:00,houston,23.5
2023-01-01 18:45:00,west,17.29
2023-01-01 19:00:00,houston,21.94
2023-01-01 19:00:00,west,16.23
2023-01-01 19:15:00,houston,39.15
2023-01-01 19:15:00,west,29.25
2023-01-01 19:30:00,houston,22.53
2023-01-01 19:30:00,west,17.16
2023-01-01 19:45:00,houston,24.1
2023-01-01 19:45:00,west,18.53
2023-01-01 20:00:00,houston,41.47
2023-01-01 20:00:00,west,34.08
2023-01-01 20:15:00,houston,35.03
2023-01-01 20:15:00,west,27.85
2023-01-01 20:30:00,houston,22.53
2023-01-01 20:30:00,west,22.46
2023-01-01 20:45:00,houston,17.72
2023-01-01 20:45:00,west,17.8
2023-01-01 21:00:00,houston,24.23
2023-01-01 21:00:00,west,23.23
2023-01-01 21:15:00,houston,27.39
2023-01-01 21:15:00,west,25.62
2023-01-01 21:30:00,houston,30.8
2023-01-01 21:30:00,west,29.88
2023-01-01 21:45:00,houston,32.13
2023-01-01 21:45:00,west,30.7
2023-01-01 22:00:00,houston,45.82
2023-01-01 22:00:00,west,45.78
2023-01-01 22:15:00,houston,37.46
2023-01-01 22:15:00,west,34.57
2023-01-01 22:30:00,houston,69.61
2023-01-01 22:30:00,west,54.84
2023-01-01 22:45:00,houston,36.94
2023-01-01 22:45:00,west,36.67
2023-01-01 23:00:00,houston,37.03
2023-01-01 23:00:00,west,37.03
2023-01-01 23:15:00,houston,65.77
2023-01-01 23:15:00,west,46.46
2023-01-01 23:30:00,houston,36.68
2023-01-01 23:30:00,west,26.63
2023-01-01 23:45:00,houston,32.46
2023-01-01 23:45:00,west,32.46
2023-01-02 00:00:00,houston,26.62
2023-01-02 00:00:00,west,26.62
2023-01-02 00:15:00,houston,17.21
2023-01-02 00:15:00,west,17.21
2023-01-02 00:30:00,houston,14.42
2023-01-02 00:30:00,west,14.42
2023-01-02 00:45:00,houston,12.36
2023-01-02 00:45:00,west,12.35
2023-01-02 01:00:00,houston,8.28
2023-01-02 01:00:00,west,8.26
2023-01-02 01:15:00,houston,2.67
2023-01-02 01:15:00,west,2.66
2023-01-02 01:30:00,houston,4.98
2023-01-02 01:30:00,west,4.97
2023-01-02 01:45:00,houston,7.41
2023-01-02 01:45:00,west,7.41
2023-01-02 02:00:00,houston,7.9
2023-01-02 02:00:00,west,7.9
2023-01-02 02:15:00,houston,7.72
2023-01-02 02:15:00,west,7.72
2023-01-02 02:30:00,houston,10.42
2023-01-02 02:30:00,west,10.42
2023-01-02 02:45:00,houston,10.51
2023-01-02 02:45:00,west,10.51
2023-01-02 03:00:00,houston,10.84
2023-01-02 03:00:00,west,10.84
2023-01-02 03:15:00,houston,2.85
2023-01-02 03:15:00,west,2.85
2023-01-02 03:30:00,houston,2.11
2023-01-02 03:30:00,west,2.11
2023-01-02 03:45:00,houston,2.04
2023-01-02 03:45:00,west,2.04
2023-01-02 04:00:00,houston,2.42
2023-01-02 04:00:00,west,2.42
2023-01-02 04:15:00,houston,1.88
2023-01-02 04:15:00,west,1.88
2023-01-02 04:30:00,houston,1.54
2023-01-02 04:30:00,west,1.54
2023-01-02 04:45:00,houston,-0.26
2023-01-02 04:45:00,west,-0.26
2023-01-02 05:00:00,houston,-1.48
2023-01-02 05:00:00,west,-1.49
2023-01-02 05:15:00,houston,-1.81
2023-01-02 05:15:00,west,-1.81
2023-01-02 05:30:00,houston,-2.31
2023-01-02 05:30:00,west,-2.31
2023-01-02 05:45:00,houston,-2.32
2023-01-02 05:45:00,west,-2.33
2023-01-02 06:00:00,houston,-2.59
2023-01-02 06:00:00,west,-2.6
2023-01-02 06:15:00,houston,-2.91
2023-01-02 06:15:00,west,-2.91
2023-01-02 06:30:00,houston,-4.45
2023-01-02 06:30:00,west,-4.45
2023-01-02 06:45:00,houston,-5.42
2023-01-02 06:45:00,west,-5.42
2023-01-02 07:00:00,houston,-5.46
2023-01-02 07:00:00,west,-5.46
2023-01-02 07:15:00,houston,-8.7
2023-01-02 07:15:00,west,-8.7
2023-01-02 07:30:00,houston,-18.54
2023-01-02 07:30:00,west,-18.54
2023-01-02 07:45:00,houston,-25.28
2023-01-02 07:45:00,west,-25.28
2023-01-02 08:00:00,houston,-26.01
2023-01-02 08:00:00,west,-26.01
2023-01-02 08:15:00,houston,-25.85
2023-01-02 08:15:00,west,-25.85
2023-01-02 08:30:00,houston,-23.56
2023-01-02 08:30:00,west,-23.56
2023-01-02 08:45:00,houston,-28.9
2023-01-02 08:45:00,west,-28.9
2023-01-02 09:00:00,houston,-30.75
2023-01-02 09:00:00,west,-30.75
2023-01-02 09:15:00,houston,-29.48
2023-01-02 09:15:00,west,-29.48
2023-01-02 09:30:00,houston,-30.56
2023-01-02 09:30:00,west,-30.56
2023-01-02 09:45:00,houston,-30.65
2023-01-02 09:45:00,west,-30.65
2023-01-02 10:00:00,houston,-30.56
2023-01-02 10:00:00,west,-30.56
2023-01-02 10:15:00,houston,-22.76
2023-01-02 10:15:00,west,-22.76
2023-01-02 10:30:00,houston,-26.87
2023-01-02 10:30:00,west,-26.87
2023-01-02 10:45:00,houston,-28.87
2023-01-02 10:45:00,west,-28.87
2023-01-02 11:00:00,houston,-10.27
2023-01-02 11:00:00,west,-10.27
2023-01-02 11:15:00,houston,-6.17
2023-01-02 11:15:00,west,-6.17
2023-01-02 11:30:00,houston,-2.58
2023-01-02 11:30:00,west,-2.59
2023-01-02 11:45:00,houston,-2.41
2023-01-02 11:45:00,west,-2.42
2023-01-02 12:00:00,houston,-2.2
2023-01-02 12:00:00,west,-2.21
2023-01-02 12:15:00,houston,-1.02
2023-01-02 12:15:00,west,-1.03
2023-01-02 12:30:00,houston,2.07
2023-01-02 12:30:00,west,2.03
2023-01-02 12:45:00,houston,1.99
2023-01-02 12:45:00,west,2.11
2023-01-02 13:00:00,houston,1.53
2023-01-02 13:00:00,west,1.5
2023-01-02 13:15:00,houston,2.42
2023-01-02 13:15:00,west,2.59
2023-01-02 13:30:00,houston,5.97
2023-01-02 13:30:00,west,6.19
2023-01-02 13:45:00,houston,8.95
2023-01-02 13:45:00,west,8.88
2023-01-02 14:00:00,houston,10.69
2023-01-02 14:00:00,west,10.62
2023-01-02 14:15:00,houston,11.25
2023-01-02 14:15:00,west,11.59
2023-01-02 14:30:00,houston,16.63
2023-01-02 14:30:00,west,17.44
2023-01-02 14:45:00,houston,17.08
2023-01-02 14:45:00,west,17.02
2023-01-02 15:00:00,houston,23.78
2023-01-02 15:00:00,west,24.72
2023-01-02 15:15:00,houston,16.46
2023-01-02 15:15:00,west,16.74
2023-01-02 15:30:00,houston,15.88
2023-01-02 15:30:00,west,16.14
2023-01-02 15:45:00,houston,20.19
2023-01-02 15:45:00,west,20.75
2023-01-02 16:00:00,houston,19.86
2023-01-02 16:00:00,west,20.48
2023-01-02 16:15:00,houston,17.86
2023-01-02 16:15:00,west,18.67
2023-01-02 16:30:00,houston,37.11
2023-01-02 16:30:00,west,39.17
2023-01-02 16:45:00,houston,18.74
2023-01-02 16:45:00,west,19.16
2023-01-02 17:00:00,houston,19.09
2023-01-02 17:00:00,west,19.37
2023-01-02 17:15:00,houston,15.94
2023-01-02 17:15:00,west,16.18
2023-01-02 17:30:00,houston,20.0
2023-01-02 17:30:00,west,20.28
2023-01-02 17:45:00,houston,15.19
2023-01-02 17:45:00,west,15.4
2023-01-02 18:00:00,houston,10.17
2023-01-02 18:00:00,west,10.25
2023-01-02 18:15:00,houston,8.67
2023-01-02 18:15:00,west,8.12
2023-01-02 18:30:00,houston,12.79
2023-01-02 18:30:00,west,11.28
2023-01-02 18:45:00,houston,14.82
