year,hour,avg_lmp,data_points
2021,0,150.19789726027398,1460
2021,1,145.37065573770494,1464
2021,2,135.25388049450544,1456
2021,3,143.4582808219178,1460
2021,4,148.65718493150692,1460
2021,5,152.42460958904107,1460
2021,6,158.76948630136982,1460
2021,7,157.0381301369863,1460
2021,8,164.41438356164383,1460
2021,9,144.71078082191784,1460
2021,10,135.41706849315065,1460
2021,11,121.44693150684925,1460
2021,12,124.67341780821921,1460
2021,13,119.54658904109583,1460
2021,14,125.66967808219185,1460
2021,15,135.30818493150684,1460
2021,16,155.8697808219178,1460
2021,17,173.03527397260282,1460
2021,18,168.70154109589032,1460
2021,19,161.1565205479453,1460
2021,20,146.37593150684933,1460
2021,21,140.7246575342466,1460
2021,22,144.66659589041106,1460
2021,23,144.93873287671224,1460
2022,0,40.6973219178082,1460
2022,1,36.23326502732238,1464
2022,2,34.90635989010989,1456
2022,3,34.11299315068493,1460
2022,4,34.82933561643835,1460
2022,5,41.16465753424658,1460
2022,6,59.08874657534245,1460
2022,7,62.22871232876712,1460
2022,8,48.90689726027396,1460
2022,9,42.43286986301369,1460
2022,10,37.40498630136986,1460
2022,11,38.809232876712315,1460
2022,12,47.372205479452056,1460
2022,13,55.322643835616454,1460
2022,14,73.18929452054792,1460
2022,15,88.03521232876705,1460
2022,16,99.71381506849313,1460
2022,17,98.99791095890407,1460
2022,18,89.70580136986304,1460
2022,19,85.87708904109586,1460
2022,20,81.10834931506844,1460
2022,21,56.2025410958904,1460
2022,22,47.965499999999984,1460
2022,23,44.50297260273973,1460
2023,0,22.11013698630138,1460
2023,1,20.640437158469933,1464
2023,2,20.135796703296705,1456
2023,3,20.125109589041102,1460
2023,4,21.993013698630126,1460
2023,5,25.977034246575343,1460
2023,6,31.358089041095898,1460
2023,7,29.954554794520543,1460
2023,8,20.94211643835615,1460
2023,9,18.306917808219175,1460
2023,10,18.26939041095891,1460
2023,11,19.478835616438356,1460
2023,12,21.601109589041094,1460
2023,13,29.505294520547952,1460
2023,14,51.7124383561644,1460
2023,15,76.94947260273969,1460
2023,16,116.2401027397261,1460
2023,17,105.44432876712322,1460
2023,18,125.37398630136978,1460
2023,19,201.51658904109587,1460
2023,20,104.5524452054795,1460
2023,21,34.55171232876713,1460
2023,22,26.9162671232877,1460
2023,23,23.05315753424659,1460
2024,0,20.749678961748643,1464
2024,1,19.397193460490463,1468
2024,2,18.165630136986294,1460
2024,3,18.570689890710373,1464
2024,4,20.42218579234972,1464
2024,5,23.968784153005448,1464
2024,6,29.82181693989072,1464
2024,7,29.110990437158474,1464
2024,8,19.100703551912563,1464
2024,9,14.262677595628409,1464
2024,10,13.766967213114757,1464
2024,11,14.462165300546449,1464
2024,12,15.674767759562847,1464
2024,13,17.353968579234966,1464
2024,14,17.841229508196726,1464
2024,15,22.77358606557378,1464
2024,16,27.692575136612007,1464
2024,17,39.745580601092904,1464
2024,18,50.74650956284152,1464
2024,19,79.14003415300549,1464
2024,20,66.50178961748635,1464
2024,21,33.017411202185784,1464
2024,22,25.11626366120219,1464
2024,23,21.357595628415304,1464
