zone_name,month,avg_solar_hour_price,solar_hours_count
houston,1,26.563807603686634,1736
houston,2,20.688258928571436,1568
houston,3,29.024614055299516,1736
houston,4,22.480250000000016,1680
houston,5,33.49211405529957,1736
houston,6,82.49437499999993,1680
houston,7,58.435869815668134,1736
houston,8,284.0192165898613,1736
houston,9,128.15073214285738,1680
houston,10,33.97468894009216,1736
houston,11,33.91292857142857,1680
houston,12,20.928559907834092,1736
west,1,24.089205069124407,1736
west,2,17.088698979591857,1568
west,3,26.762563364055335,1736
west,4,15.709982142857163,1680
west,5,29.59075460829492,1736
west,6,78.87094642857143,1680
west,7,52.425581797235,1736
west,8,274.71467165898554,1736
west,9,129.39131547619056,1680
west,10,32.07448156682026,1736
west,11,34.51509523809521,1680
west,12,23.626094470046127,1736
