zone_name,hour_of_day,avg_lmp,count
houston,6,27.72434246575343,1460
houston,7,25.692349315068505,1460
houston,8,21.87573972602739,1460
houston,9,21.10299315068494,1460
houston,10,21.88549315068493,1460
houston,11,23.94711643835616,1460
houston,12,26.11350684931507,1460
houston,13,35.10115068493151,1460
houston,14,59.34677397260275,1460
houston,15,88.74804794520544,1460
houston,16,130.36978767123293,1460
houston,17,111.8804315068493,1460
houston,18,121.92217123287664,1460
west,6,31.35808904109591,1460
west,7,29.95455479452057,1460
west,8,20.94211643835616,1460
west,9,18.306917808219186,1460
west,10,18.269390410958902,1460
west,11,19.478835616438353,1460
west,12,21.601109589041087,1460
west,13,29.50529452054793,1460
west,14,51.712438356164405,1460
west,15,76.94947260273977,1460
west,16,116.2401027397261,1460
west,17,105.44432876712327,1460
west,18,125.37398630136985,1460
