id,timestamp_utc,timestamp,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,timezone,source_file
352693858,2006-07-13 21:00:00+00:00,2006-07-13 17:00:00,49550,ERIEW,115 KV,2 TX,LOAD,PENELEC,nan,84.61,nan,nan,EST,day_ahead_hourly_LMPs_07-13.csv
352693859,2006-07-13 21:00:00+00:00,2006-07-13 17:00:00,49551,FAIRVIEW,115 KV,LOAD1,LOAD,PENELEC,nan,85.86,nan,nan,EST,day_ahead_hourly_LMPs_07-13.csv
352693860,2006-07-13 21:00:00+00:00,2006-07-13 17:00:00,49552,FAIRVIEW,115 KV,LOAD2,LOAD,PENELEC,nan,85.86,nan,nan,EST,day_ahead_hourly_LMPs_07-13.csv
352693861,2006-07-13 21:00:00+00:00,2006-07-13 17:00:00,49554,FRENCHRD,115 KV,1 TX,LOAD,PENELEC,nan,86.33,nan,nan,EST,day_ahead_hourly_LMPs_07-13.csv
352693862,2006-07-13 21:00:00+00:00,2006-07-13 17:00:00,49555,FRENCHRD,115 KV,2 TX,LOAD,PENELEC,nan,86.33,nan,nan,EST,day_ahead_hourly_LMPs_07-13.csv
352693863,2006-07-13 21:00:00+00:00,2006-07-13 17:00:00,49556,FRENCHRD,115 KV,5 TX,LOAD,PENELEC,nan,86.33,nan,nan,EST,day_ahead_hourly_LMPs_07-13.csv
352693864,2006-07-13 21:00:00+00:00,2006-07-13 17:00:00,49557,FARMERSV,115 KV,LOAD1,LOAD,PENELEC,nan,95.74,nan,nan,EST,day_ahead_hourly_LMPs_07-13.csv
352693865,2006-07-13 21:00:00+00:00,2006-07-13 17:00:00,49558,FARMERSV,115 KV,LOAD2,LOAD,PENELEC,nan,95.74,nan,nan,EST,day_ahead_hourly_LMPs_07-13.csv
352693866,2006-07-13 21:00:00+00:00,2006-07-13 17:00:00,49559,GARMAN,115 KV,1 TX,LOAD,PENELEC,nan,89.71,nan,nan,EST,day_ahead_hourly_LMPs_07-13.csv
352693867,2006-07-13 21:00:00+00:00,2006-07-13 17:00:00,49560,GENEVA,115 KV,NO3 TX,LOAD,PENELEC,nan,85.57,nan,nan,EST,day_ahead_hourly_LMPs_07-13.csv
352693868,2006-07-13 21:00:00+00:00,2006-07-13 17:00:00,49561,GENEVA,115 KV,NO1 TX,LOAD,PENELEC,nan,85.57,nan,nan,EST,day_ahead_hourly_LMPs_07-13.csv
352693869,2006-07-13 21:00:00+00:00,2006-07-13 17:00:00,49562,GENEVA,115 KV,NO2 TX,LOAD,PENELEC,nan,85.57,nan,nan,EST,day_ahead_hourly_LMPs_07-13.csv
