pnode_name,type,zone
02AMSTED,LOAD,ATSI
02ANGOLA,LOAD,ATSI
02ARMCO,LOAD,ATSI
02AYERSV,LOAD,ATSI
02BRUSH,LOAD,ATSI
02BRWELL,LOAD,ATSI
02BWAK,LOAD,ATSI
02CARDNT,LOAD,ATSI
02CLINTN,LOAD,ATSI
02COLLIN,LOAD,ATSI
02CORTLD,LOAD,ATSI
02CPP_NH,LOAD,ATSI
02CRESTW,LOAD,ATSI
02CRYSTL,LOAD,ATSI
02DARWIN,LOAD,ATSI
02DAWSON,LOAD,ATSI
02DECANT,LOAD,ATSI
02DEFISW,LOAD,ATSI
02DELL,LOAD,ATSI
02DIVISN,LOAD,ATSI
02DUALRT,LOAD,ATSI
02DUNBAR,LOAD,ATSI
02DUNKRK,LOAD,ATSI
02EATON,LOAD,ATSI
02EBER,LOAD,ATSI
02E_IND,LOAD,ATSI
02ELDEN,LOAD,ATSI
02ELWOOD,LOAD,ATSI
02EMILY,LOAD,ATSI
02ERIE,LOAD,ATSI
02FABER,LOAD,ATSI
02FAYET,LOAD,ATSI
02FIVEPT,LOAD,ATSI
02FORD,LOAD,ATSI
02FORTIN,LOAD,ATSI
02FREY,LOAD,ATSI
02GARFLD,LOAD,ATSI
02GMC,LOAD,ATSI
02HAMILT,LOAD,ATSI
02HAMLTN,LOAD,ATSI
02HUMMEL,LOAD,ATSI
02INCA,LOAD,ATSI
02IRON,LOAD,ATSI
02JMP,LOAD,ATSI
02JMP2,LOAD,ATSI
02JOHNCT,LOAD,ATSI
02JP,LOAD,ATSI
02KYHS,LOAD,ATSI
02LAKERD,LOAD,ATSI
02LARK,LOAD,ATSI
