timestamp,zone_name,load_mw,is_forecast,timezone,utc_timestamp
2022-01-01 00:00:00,n.y.c.,4670.679,False,EST,2022-01-01 05:00:00
2022-01-01 00:05:00,n.y.c.,4623.908,False,EST,2022-01-01 05:05:00
2022-01-01 00:10:00,n.y.c.,4642.4116,False,EST,2022-01-01 05:10:00
2022-01-01 00:15:00,n.y.c.,4606.241,False,EST,2022-01-01 05:15:00
2022-01-01 00:20:00,n.y.c.,4589.085,False,EST,2022-01-01 05:20:00
2022-01-01 00:25:00,n.y.c.,4574.2725,False,EST,2022-01-01 05:25:00
2022-01-01 00:30:00,n.y.c.,4573.3516,False,EST,2022-01-01 05:30:00
2022-01-01 00:35:00,n.y.c.,4510.881,False,EST,2022-01-01 05:35:00
2022-01-01 00:40:00,n.y.c.,4510.0913,False,EST,2022-01-01 05:40:00
2022-01-01 00:45:00,n.y.c.,4499.758,False,EST,2022-01-01 05:45:00
2022-01-01 00:50:00,n.y.c.,4513.1025,False,EST,2022-01-01 05:50:00
2022-01-01 00:55:00,n.y.c.,4497.5947,False,EST,2022-01-01 05:55:00
2022-01-01 01:00:00,n.y.c.,4533.3545,False,EST,2022-01-01 06:00:00
2022-01-01 01:05:00,n.y.c.,4437.272,False,EST,2022-01-01 06:05:00
2022-01-01 01:10:00,n.y.c.,4402.066,False,EST,2022-01-01 06:10:00
2022-01-01 01:15:00,n.y.c.,4411.3687,False,EST,2022-01-01 06:15:00
2022-01-01 01:20:00,n.y.c.,4357.5664,False,EST,2022-01-01 06:20:00
2022-01-01 01:25:00,n.y.c.,4374.423,False,EST,2022-01-01 06:25:00
2022-01-01 01:30:00,n.y.c.,4332.5957,False,EST,2022-01-01 06:30:00
2022-01-01 01:35:00,n.y.c.,4330.996,False,EST,2022-01-01 06:35:00
2022-01-01 01:40:00,n.y.c.,4325.8213,False,EST,2022-01-01 06:40:00
2022-01-01 01:45:00,n.y.c.,4314.4316,False,EST,2022-01-01 06:45:00
2022-01-01 01:50:00,n.y.c.,4297.085,False,EST,2022-01-01 06:50:00
2022-01-01 01:55:00,n.y.c.,4305.0767,False,EST,2022-01-01 06:55:00
2022-01-01 02:00:00,n.y.c.,4263.1147,False,EST,2022-01-01 07:00:00
2022-01-01 02:05:00,n.y.c.,4252.369,False,EST,2022-01-01 07:05:00
2022-01-01 02:10:00,n.y.c.,4254.9824,False,EST,2022-01-01 07:10:00
2022-01-01 02:15:00,n.y.c.,4251.515,False,EST,2022-01-01 07:15:00
2022-01-01 02:20:00,n.y.c.,4193.1797,False,EST,2022-01-01 07:20:00
2022-01-01 02:25:00,n.y.c.,4231.309,False,EST,2022-01-01 07:25:00
2022-01-01 02:30:00,n.y.c.,4211.29,False,EST,2022-01-01 07:30:00
2022-01-01 02:35:00,n.y.c.,4193.657,False,EST,2022-01-01 07:35:00
2022-01-01 02:40:00,n.y.c.,4182.447,False,EST,2022-01-01 07:40:00
2022-01-01 02:45:00,n.y.c.,4173.161,False,EST,2022-01-01 07:45:00
2022-01-01 02:50:00,n.y.c.,4150.704,False,EST,2022-01-01 07:50:00
2022-01-01 02:55:00,n.y.c.,4151.2812,False,EST,2022-01-01 07:55:00
2022-01-01 03:00:00,n.y.c.,4143.7563,False,EST,2022-01-01 08:00:00
2022-01-01 03:05:00,n.y.c.,4141.968,False,EST,2022-01-01 08:05:00
2022-01-01 03:10:00,n.y.c.,4123.0957,False,EST,2022-01-01 08:10:00
2022-01-01 03:15:00,n.y.c.,4120.036,False,EST,2022-01-01 08:15:00
2022-01-01 03:20:00,n.y.c.,4125.9785,False,EST,2022-01-01 08:20:00
2022-01-01 03:25:00,n.y.c.,4102.6846,False,EST,2022-01-01 08:25:00
2022-01-01 03:30:00,n.y.c.,4095.6602,False,EST,2022-01-01 08:30:00
2022-01-01 03:35:00,n.y.c.,4086.1348,False,EST,2022-01-01 08:35:00
2022-01-01 03:40:00,n.y.c.,4068.6516,False,EST,2022-01-01 08:40:00
2022-01-01 03:45:00,n.y.c.,4065.4072,False,EST,2022-01-01 08:45:00
2022-01-01 03:50:00,n.y.c.,4058.357,False,EST,2022-01-01 08:50:00
2022-01-01 03:55:00,n.y.c.,4048.894,False,EST,2022-01-01 08:55:00
2022-01-01 04:00:00,n.y.c.,4044.6692,False,EST,2022-01-01 09:00:00
2022-01-01 04:05:00,n.y.c.,4053.9775,False,EST,2022-01-01 09:05:00
2022-01-01 04:10:00,n.y.c.,4049.71,False,EST,2022-01-01 09:10:00
2022-01-01 04:15:00,n.y.c.,4009.382,False,EST,2022-01-01 09:15:00
2022-01-01 04:20:00,n.y.c.,4016.9192,False,EST,2022-01-01 09:20:00
2022-01-01 04:25:00,n.y.c.,4036.5059,False,EST,2022-01-01 09:25:00
2022-01-01 04:30:00,n.y.c.,4031.8467,False,EST,2022-01-01 09:30:00
2022-01-01 04:35:00,n.y.c.,4000.1145,False,EST,2022-01-01 09:35:00
2022-01-01 04:40:00,n.y.c.,4004.87,False,EST,2022-01-01 09:40:00
2022-01-01 04:45:00,n.y.c.,4014.567,False,EST,2022-01-01 09:45:00
2022-01-01 04:50:00,n.y.c.,4004.5586,False,EST,2022-01-01 09:50:00
2022-01-01 04:55:00,n.y.c.,4006.5312,False,EST,2022-01-01 09:55:00
2022-01-01 05:00:00,n.y.c.,3983.7612,False,EST,2022-01-01 10:00:00
2022-01-01 05:05:00,n.y.c.,4010.4792,False,EST,2022-01-01 10:05:00
2022-01-01 05:10:00,n.y.c.,4019.341,False,EST,2022-01-01 10:10:00
2022-01-01 05:15:00,n.y.c.,4027.74,False,EST,2022-01-01 10:15:00
2022-01-01 05:20:00,n.y.c.,4040.4373,False,EST,2022-01-01 10:20:00
2022-01-01 05:25:00,n.y.c.,4031.7021,False,EST,2022-01-01 10:25:00
2022-01-01 05:30:00,n.y.c.,4030.5808,False,EST,2022-01-01 10:30:00
2022-01-01 05:35:00,n.y.c.,4027.3115,False,EST,2022-01-01 10:35:00
2022-01-01 05:40:00,n.y.c.,4043.5723,False,EST,2022-01-01 10:40:00
2022-01-01 05:45:00,n.y.c.,4048.2104,False,EST,2022-01-01 10:45:00
2022-01-01 05:50:00,n.y.c.,4064.6523,False,EST,2022-01-01 10:50:00
2022-01-01 05:55:00,n.y.c.,4053.4058,False,EST,2022-01-01 10:55:00
2022-01-01 06:00:00,n.y.c.,4084.3865,False,EST,2022-01-01 11:00:00
2022-01-01 06:05:00,n.y.c.,4120.2393,False,EST,2022-01-01 11:05:00
2022-01-01 06:10:00,n.y.c.,4116.5327,False,EST,2022-01-01 11:10:00
2022-01-01 06:15:00,n.y.c.,4097.4795,False,EST,2022-01-01 11:15:00
2022-01-01 06:20:00,n.y.c.,4125.196,False,EST,2022-01-01 11:20:00
2022-01-01 06:25:00,n.y.c.,4151.8105,False,EST,2022-01-01 11:25:00
2022-01-01 06:30:00,n.y.c.,4136.4224,False,EST,2022-01-01 11:30:00
2022-01-01 06:35:00,n.y.c.,4143.9824,False,EST,2022-01-01 11:35:00
2022-01-01 06:40:00,n.y.c.,4174.6855,False,EST,2022-01-01 11:40:00
2022-01-01 06:45:00,n.y.c.,4190.603,False,EST,2022-01-01 11:45:00
