model,tasks,categories,class_bal_accuracy_pct,class_bal_approach,class_bal_source_validity,class_bal_failure_rate_pct,avg_tokens_per_task,avg_tool_calls_per_task,avg_cost_per_task_usd,total_cost_usd,pricing_input_per_mtoken,pricing_output_per_mtoken,pricing_cached_per_mtoken
anthropic_claude-sonnet-4-6,212,4,59.4206,4.1833,2.1968,6.1711,320407.58,8.08,1.000506,212.107368,3.000000,15.000000,0.300000
anthropic_claude-sonnet-4-6-new,212,4,58.2640,4.0561,2.2011,5.8804,254032.16,6.91,0.792394,167.987514,3.000000,15.000000,0.300000
deepinfra_deepseek-ai_DeepSeek-V3.2,212,4,44.4037,3.9536,2.1288,22.8259,486384.71,12.33,0.080222,17.007159,0.260000,0.380000,0.130000
deepinfra_moonshotai_Kimi-K2.5,212,4,50.9731,4.0428,2.2253,15.8748,375119.69,9.71,0.056833,12.048643,0.450000,2.250000,0.070000
deepinfra_Qwen_Qwen3-Max-Thinking,212,4,39.1549,3.6999,2.3446,1.9151,291151.63,7.16,0.356445,75.566335,1.200000,6.000000,0.240000
google_gemini-3.1-pro-preview,212,4,61.3765,3.9806,2.3607,3.8303,292286.64,5.80,0.189872,40.252838,2.000000,12.000000,0.200000
openai_gpt-5-mini,212,4,41.2850,3.6512,2.7524,11.4916,105630.66,3.72,0.012734,2.699637,0.250000,2.000000,0.025000
openai_gpt-5.2,212,4,61.8901,4.1322,3.4517,2.9223,222780.38,8.31,0.136071,28.847058,1.750000,14.000000,0.175000
