model,tasks,categories,class_bal_accuracy_pct,class_bal_approach,class_bal_source_validity,class_bal_failure_rate_pct,avg_tokens_per_task,avg_tool_calls_per_task,avg_cost_per_task_usd,total_cost_usd,pricing_input_per_mtoken,pricing_output_per_mtoken,pricing_cached_per_mtoken
anthropic_claude-sonnet-4-6,107,2,68.2545,4.1538,2.1736,1.2346,339272.91,7.93,1.049492,112.295679,3.000000,15.000000,0.300000
anthropic_claude-sonnet-4-6-new,107,2,64.5283,4.0544,2.0973,1.2346,261096.80,7.18,0.807711,86.425098,3.000000,15.000000,0.300000
deepinfra_deepseek-ai_DeepSeek-V3.2,107,2,56.4703,4.1030,2.2415,6.7901,559561.08,14.93,0.087952,9.410899,0.260000,0.380000,0.130000
deepinfra_moonshotai_Kimi-K2.5,107,2,59.8424,4.1538,2.2915,8.0959,464217.23,11.19,0.063175,6.759706,0.450000,2.250000,0.070000
deepinfra_Qwen_Qwen3-Max-Thinking,107,2,42.4945,3.7600,2.5855,0.6173,314939.83,8.40,0.384837,41.177566,1.200000,6.000000,0.240000
google_gemini-3.1-pro-preview,107,2,70.9264,4.0138,2.4447,1.2346,272747.88,6.58,0.176119,18.844763,2.000000,12.000000,0.200000
openai_gpt-5-mini,107,2,53.1127,4.0242,2.6911,11.3248,107526.53,4.58,0.010194,1.090802,0.250000,2.000000,0.025000
openai_gpt-5.2,107,2,70.6648,4.3200,3.6192,0.0000,274984.22,10.28,0.135144,14.460423,1.750000,14.000000,0.175000
