model,tasks,categories,class_bal_accuracy_pct,class_bal_approach,class_bal_source_validity,class_bal_failure_rate_pct,avg_tokens_per_task,avg_tool_calls_per_task,avg_cost_per_task_usd,total_cost_usd,pricing_input_per_mtoken,pricing_output_per_mtoken,pricing_cached_per_mtoken
anthropic_claude-sonnet-4-6,61,3,72.5000,4.3236,2.0379,0.0000,305290.52,6.64,0.944410,57.608994,3.000000,15.000000,0.300000
anthropic_claude-sonnet-4-6-new,61,3,71.9535,4.1494,2.0411,0.0000,209087.52,5.26,0.648991,39.588441,3.000000,15.000000,0.300000
deepinfra_deepseek-ai_DeepSeek-V3.2,61,3,58.5855,4.1504,1.9383,8.1169,433877.16,12.28,0.071929,4.387659,0.260000,0.380000,0.130000
deepinfra_moonshotai_Kimi-K2.5,61,3,64.1558,4.2662,2.0628,6.2771,350416.44,7.89,0.050454,3.077672,0.450000,2.250000,0.070000
deepinfra_Qwen_Qwen3-Max-Thinking,61,3,50.4654,4.0855,2.3972,0.0000,290675.21,7.23,0.355222,21.668544,1.200000,6.000000,0.240000
google_gemini-3.1-pro-preview,61,3,70.3874,4.0152,2.1299,1.5152,216612.28,4.67,0.141501,8.631549,2.000000,12.000000,0.200000
openai_gpt-5-mini,61,3,57.2835,4.0076,2.4437,6.0606,90355.10,3.69,0.010344,0.630989,0.250000,2.000000,0.025000
openai_gpt-5.2,61,3,70.2706,4.3084,3.1634,0.0000,186134.97,6.93,0.112114,6.838970,1.750000,14.000000,0.175000
