model,tasks,categories,class_bal_accuracy_pct,class_bal_approach,class_bal_source_validity,class_bal_failure_rate_pct,avg_tokens_per_task,avg_tool_calls_per_task,avg_cost_per_task_usd,total_cost_usd,pricing_input_per_mtoken,pricing_output_per_mtoken,pricing_cached_per_mtoken
anthropic_claude-sonnet-4-6,30,3,56.2817,4.2167,1.9611,0.0000,386945.67,7.67,1.211085,36.332562,3.000000,15.000000,0.300000
anthropic_claude-sonnet-4-6-new,30,3,68.1429,4.0167,1.9429,0.0000,308373.73,6.40,0.959070,28.772100,3.000000,15.000000,0.300000
deepinfra_deepseek-ai_DeepSeek-V3.2,30,3,23.8492,3.5865,2.1619,31.4286,522629.67,9.63,0.091212,2.736366,0.260000,0.380000,0.130000
deepinfra_moonshotai_Kimi-K2.5,30,3,29.7817,3.3310,1.9944,28.3333,437711.77,8.23,0.070926,2.127787,0.450000,2.250000,0.070000
deepinfra_Qwen_Qwen3-Max-Thinking,30,3,33.6548,3.3683,2.1810,0.0000,264547.27,6.03,0.326562,9.796855,1.200000,6.000000,0.240000
google_gemini-3.1-pro-preview,30,3,51.1349,3.7357,2.0675,3.1746,447144.87,7.00,0.292069,8.762077,2.000000,12.000000,0.200000
openai_gpt-5-mini,30,3,24.5238,2.8310,2.5286,21.3492,130371.27,3.07,0.018622,0.558662,0.250000,2.000000,0.025000
openai_gpt-5.2,30,3,55.4683,3.7206,2.9452,6.6667,184530.03,5.50,0.146318,4.389541,1.750000,14.000000,0.175000
