model,tasks,categories,class_bal_accuracy_pct,class_bal_approach,class_bal_source_validity,class_bal_failure_rate_pct,avg_tokens_per_task,avg_tool_calls_per_task,avg_cost_per_task_usd,total_cost_usd,pricing_input_per_mtoken,pricing_output_per_mtoken,pricing_cached_per_mtoken
anthropic_claude-sonnet-4-6,61,3,75.2457,4.1602,2.4935,0.0000,286800.98,6.26,0.892209,54.424728,3.000000,15.000000,0.300000
anthropic_claude-sonnet-4-6-new,61,3,68.4199,4.0530,2.5606,0.0000,212742.72,5.49,0.661883,40.374882,3.000000,15.000000,0.300000
deepinfra_deepseek-ai_DeepSeek-V3.2,61,3,61.8074,4.0639,2.4448,8.1169,408914.70,11.05,0.067305,4.105604,0.260000,0.380000,0.130000
deepinfra_moonshotai_Kimi-K2.5,61,3,60.1006,4.1688,2.5465,6.9264,350639.92,8.15,0.052567,3.206606,0.450000,2.250000,0.070000
deepinfra_Qwen_Qwen3-Max-Thinking,61,3,49.2771,3.7890,2.6537,0.0000,260505.90,6.62,0.318256,19.413619,1.200000,6.000000,0.240000
google_gemini-3.1-pro-preview,61,3,66.1472,3.9827,2.7727,0.0000,188202.77,4.41,0.123241,7.517731,2.000000,12.000000,0.200000
openai_gpt-5-mini,61,3,52.6623,4.0541,2.9481,7.2511,129842.44,4.23,0.015086,0.920271,0.250000,2.000000,0.025000
openai_gpt-5.2,61,3,71.1147,4.1786,4.0433,0.0000,186434.97,6.69,0.116360,7.097962,1.750000,14.000000,0.175000
