model,tasks,categories,class_bal_accuracy_pct,class_bal_approach,class_bal_source_validity,class_bal_failure_rate_pct,avg_tokens_per_task,avg_tool_calls_per_task,avg_cost_per_task_usd,total_cost_usd,pricing_input_per_mtoken,pricing_output_per_mtoken,pricing_cached_per_mtoken
anthropic_claude-sonnet-4-6,19,1,43.4211,4.1579,1.6842,21.0526,500623.95,20.21,1.619985,30.779721,3.000000,15.000000,0.300000
anthropic_claude-sonnet-4-6-new,19,1,44.7368,3.8947,1.8421,21.0526,443304.74,18.00,1.413412,26.854830,3.000000,15.000000,0.300000
deepinfra_deepseek-ai_DeepSeek-V3.2,19,1,15.5263,3.6316,1.5789,68.4211,600960.63,21.58,0.096086,1.825637,0.260000,0.380000,0.130000
deepinfra_moonshotai_Kimi-K2.5,19,1,35.5263,3.5263,1.7368,36.8421,457033.89,20.63,0.071447,1.357490,0.450000,2.250000,0.070000
deepinfra_Qwen_Qwen3-Max-Thinking,19,1,25.9526,3.1053,1.6842,5.2632,452150.21,14.79,0.560616,10.651702,1.200000,6.000000,0.240000
google_gemini-3.1-pro-preview,19,1,53.5368,3.8947,2.1579,10.5263,553356.37,11.32,0.362450,6.886541,2.000000,12.000000,0.200000
openai_gpt-5-mini,19,1,26.1053,2.6842,2.8947,10.5263,111330.74,6.47,0.011357,0.215781,0.250000,2.000000,0.025000
openai_gpt-5.2,19,1,53.9053,3.8421,2.7895,10.5263,256666.68,14.89,0.169032,3.211601,1.750000,14.000000,0.175000
