model,tasks,categories,class_bal_accuracy_pct,class_bal_approach,class_bal_source_validity,class_bal_failure_rate_pct,avg_tokens_per_task,avg_tool_calls_per_task,avg_cost_per_task_usd,total_cost_usd,pricing_input_per_mtoken,pricing_output_per_mtoken,pricing_cached_per_mtoken
anthropic_claude-sonnet-4-6,86,1,57.7523,4.2674,2.7558,1.1628,257120.37,5.58,0.802697,69.031968,3.000000,15.000000,0.300000
anthropic_claude-sonnet-4-6-new,86,1,59.2628,4.2209,2.7674,0.0000,203426.40,4.13,0.636135,54.707586,3.000000,15.000000,0.300000
deepinfra_deepseek-ai_DeepSeek-V3.2,86,1,49.1477,3.9767,2.4535,9.3023,370026.41,7.07,0.067100,5.770623,0.260000,0.380000,0.130000
deepinfra_moonshotai_Kimi-K2.5,86,1,48.6814,4.3372,2.5814,10.4651,246168.45,5.47,0.045714,3.931447,0.450000,2.250000,0.070000
deepinfra_Qwen_Qwen3-Max-Thinking,86,1,45.6779,4.1744,2.5233,1.1628,225985.23,3.92,0.276012,23.737068,1.200000,6.000000,0.240000
google_gemini-3.1-pro-preview,86,1,50.1163,4.0000,2.3953,2.3256,258918.30,3.60,0.168855,14.521534,2.000000,12.000000,0.200000
openai_gpt-5-mini,86,1,32.8093,3.8721,2.7326,12.7907,102012.51,2.05,0.016198,1.393054,0.250000,2.000000,0.025000
openai_gpt-5.2,86,1,52.3256,4.0465,3.7791,1.1628,150342.57,4.41,0.129942,11.175034,1.750000,14.000000,0.175000
